protocol	species	regime	model	model_variant	feature_setting	label_regime	run_id	seed	is_deterministic	split_version	graph_source	graph_contract	threshold_strategy	evaluation_contract	feature_contract_group	label_manifest	split_manifest	config_used	val_auroc	val_auprc	val_mcc	val_f1	val_precision	val_recall	val_accuracy	val_specificity	test_auroc	test_auprc	test_mcc	test_f1	test_precision	test_recall	test_accuracy	test_specificity	train_count	val_count	test_count	feature_dim	node_count	edge_count	require_true_node2vec	embedding_method	embedding_backend	fallback_used	esm2_cache_path	fusion_mode	fusion_hidden_dim	fusion_dropout	loss_type	pos_weight_mode	pos_weight_scale	best_checkpoint	metrics_path	best_epoch	best_val_score	pos_weight	esm2_dim
celegans	celegans	standard	GCN	GCN	ORT_EXP_SUB	standard	seed_1032	1032.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9506562508219576	0.6715998024221972	0.3313120537853898	0.2669902912621359	0.1553672316384181	0.9482758620689656	0.7794010226442659	0.7719298245614035	0.8905688800010526	0.4255832454460394	0.2761804813555444	0.2313084112149532	0.1337837837837837	0.853448275862069	0.7595907928388747	0.7554368561617704	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GCN/ORT_EXP_SUB/run_1032/best_model.pt	outputs/Figure1/celegans/GCN/ORT_EXP_SUB/run_1032/metrics.tsv	81.0	0.6715998024221972		
celegans	celegans	standard	GCN	GCN	ORT_EXP_SUB	standard	seed_1033	1033.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9503537704831796	0.670906160434355	0.3359615560102705	0.2716049382716049	0.1585014409221902	0.9482758620689656	0.7845142439737034	0.7772692601067888	0.8909142338407293	0.4181675789820026	0.2820898916783735	0.2368421052631579	0.1375	0.853448275862069	0.7668980635732554	0.7630675314765357	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GCN/ORT_EXP_SUB/run_1033/best_model.pt	outputs/Figure1/celegans/GCN/ORT_EXP_SUB/run_1033/metrics.tsv	61.0	0.670906160434355		
celegans	celegans	standard	GIN	GIN	ORT_EXP_SUB	standard	seed_1029	1029.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9524316788973934	0.6721664786504115	0.4684645349327472	0.4279835390946502	0.2810810810810811	0.896551724137931	0.8984660336011687	0.8985507246376812	0.902006670262732	0.4929825472837111	0.4058236821645609	0.374015748031496	0.2423469387755102	0.8189655172413793	0.8838143953233467	0.8866844715757345	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1029/best_model.pt	outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1029/metrics.tsv	72.0	0.6721664786504115		
celegans	celegans	standard	GIN	GIN	ORT_EXP_SUB	standard	seed_1030	1030.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9466187958652252	0.6665706343844423	0.4670265194598859	0.430379746835443	0.2849162011173184	0.8793103448275862	0.9013878743608472	0.9023646071700993	0.8994822981489035	0.4893902426512945	0.3948692911178706	0.3711340206185567	0.2439024390243902	0.7758620689655172	0.8885641213006942	0.8935520793590233	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1030/best_model.pt	outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1030/metrics.tsv	31.0	0.6665706343844423		
celegans	celegans	standard	GIN	GIN	ORT_EXP_SUB	standard	seed_1031	1031.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9545884952260713	0.6759301457011443	0.4011381807844649	0.3475409836065574	0.2145748987854251	0.913793103448276	0.8546384222059897	0.8520213577421816	0.9034768908944992	0.5127474351208918	0.3373239222727692	0.2952815829528158	0.1792975970425138	0.8362068965517241	0.8308366824990866	0.8305990080122091	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1031/best_model.pt	outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1031/metrics.tsv	72.0	0.6759301457011443		
celegans	celegans	standard	GIN	GIN	ORT_EXP_SUB	standard	seed_1032	1032.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9501038954207108	0.6896240116779451	0.4001082180968066	0.3464052287581699	0.2137096774193548	0.913793103448276	0.8539079620160701	0.851258581235698	0.9067857095870228	0.5192294042968221	0.3356203579310999	0.2934947049924357	0.1779816513761468	0.8362068965517241	0.8293752283522104	0.829072872949256	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1032/best_model.pt	outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1032/metrics.tsv	62.0	0.6896240116779451		
celegans	celegans	standard	GIN	GIN	ORT_EXP_SUB	standard	seed_1033	1033.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9576922065283148	0.6777811835553051	0.4438179081351829	0.3955223880597015	0.2523809523809524	0.913793103448276	0.8816654492330168	0.8802440884820748	0.9066508571353392	0.5091752839476509	0.3715138828618403	0.3356890459363957	0.2111111111111111	0.8189655172413793	0.8626233101936427	0.8645555131629149	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1033/best_model.pt	outputs/Figure1/celegans/GIN/ORT_EXP_SUB/run_1033/metrics.tsv	51.0	0.6777811835553051		
celegans	celegans	standard	GraphSAGE	GraphSAGE_ORT_EXP_SUB	ORT_EXP_SUB	standard	seed_1029	1029.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.955364423051632	0.6984948794211291	0.4869315897914054	0.4453781512605042	0.2944444444444444	0.913793103448276	0.9035792549306064	0.9031273836765829	0.9202429975397648	0.4933495184048926	0.4089665331926074	0.3833333333333333	0.2527472527472527	0.7931034482758621	0.8918523931311655	0.8962228157191912	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GraphSAGE_ORT_EXP_SUB/ORT_EXP_SUB/run_1029/best_model.pt	outputs/Figure1/celegans/GraphSAGE_ORT_EXP_SUB/ORT_EXP_SUB/run_1029/metrics.tsv	102.0	0.6984948794211291		
celegans	celegans	standard	GraphSAGE	GraphSAGE_ORT_EXP_SUB	ORT_EXP_SUB	standard	seed_1030	1030.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9556800547094874	0.6852984289865304	0.4864481171112099	0.4365079365079364	0.2835051546391752	0.9482758620689656	0.8962746530314097	0.8939740655987796	0.9162993855990738	0.4786190555735198	0.396089538464617	0.3687374749498998	0.2402088772845953	0.7931034482758621	0.8849104859335039	0.888973674170164	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GraphSAGE_ORT_EXP_SUB/ORT_EXP_SUB/run_1030/best_model.pt	outputs/Figure1/celegans/GraphSAGE_ORT_EXP_SUB/ORT_EXP_SUB/run_1030/metrics.tsv	76.0	0.6852984289865304		
celegans	celegans	standard	GraphSAGE	GraphSAGE_ORT_EXP_SUB	ORT_EXP_SUB	standard	seed_1031	1031.0	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/celegans/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_contract	results/frozen_protocol/labels/celegans_labels.tsv	results/frozen_protocol/splits/celegans_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	0.9552329098608592	0.6690532156536245	0.4881200349916214	0.4426229508196722	0.2903225806451613	0.9310344827586208	0.9006574141709277	0.8993135011441648	0.9160823060427056	0.4757169691351866	0.410584224873017	0.381338742393509	0.2493368700265252	0.8103448275862069	0.8885641213006942	0.8920259442960702	9576	1369	2737	277	13682	996110	True								balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure1/celegans/GraphSAGE_ORT_EXP_SUB/ORT_EXP_SUB/run_1031/best_model.pt	outputs/Figure1/celegans/GraphSAGE_ORT_EXP_SUB/ORT_EXP_SUB/run_1031/metrics.tsv	70.0	0.6690532156536246		
