protocol	species	regime	model	feature_setting	feature_contract_group	label_regime	split_version	graph_source	graph_contract	threshold_strategy	evaluation_contract	label_manifest	split_manifest	config_used	is_deterministic	require_true_node2vec	embedding_method	embedding_backend	fallback_used	esm2_dim	n_runs	seed_list	run_ids	test_auroc_mean	test_auroc_std	test_auprc_mean	test_auprc_std	test_mcc_mean	test_mcc_std	test_f1_mean	test_f1_std	test_precision_mean	test_precision_std	test_recall_mean	test_recall_std	test_accuracy_mean	test_accuracy_std	test_specificity_mean	test_specificity_std	val_auroc_mean	val_auroc_std	val_auprc_mean	val_auprc_std	val_mcc_mean	val_mcc_std	val_f1_mean	val_f1_std	val_precision_mean	val_precision_std	val_recall_mean	val_recall_std	val_accuracy_mean	val_accuracy_std	val_specificity_mean	val_specificity_std
dmelanogaster	dmelanogaster	standard	CC	NETWORK	topology_embedding_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	True	True					1	nan	deterministic	0.4252748371335504	0.0	0.0497154648874939	0.0	-0.039686296077353	0.0	0.0246913580246913	0.0	0.024390243902439	0.0	0.025	0.0	0.8792048929663608	0.0	0.9348534201954396	0.0	0.3894951140065147	0.0	0.0486545483669128	0.0	-0.0361178222548717	0.0	0.0256410256410256	0.0	0.0263157894736842	0.0	0.025	0.0	0.8837920489296636	0.0	0.9397394136807816	0.0
dmelanogaster	dmelanogaster	standard	DC	NETWORK	topology_embedding_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	True	True					1	nan	deterministic	0.654906351791531	0.0	0.1307153373714337	0.0	0.1527453161165949	0.0	0.206060606060606	0.0	0.2	0.0	0.2125	0.0	0.8998470948012233	0.0	0.9446254071661238	0.0	0.580964983713355	0.0	0.103799218547848	0.0	0.0352727236244356	0.0	0.0963855421686746	0.0	0.0930232558139534	0.0	0.1	0.0	0.8853211009174312	0.0	0.9364820846905536	0.0
dmelanogaster	dmelanogaster	standard	GAT	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7038904723127036	0.02380054862169196	0.2141924484338586	0.036731700581232145	0.14251012261544252	0.07020303218095161	0.18563658797657231	0.055578940220021134	0.11105409457381651	0.04137607473993915	0.7474999999999999	0.1677796173556252	0.5186544342507645	0.26047462321159764	0.5037459283387622	0.288018897753213	0.687084690553746	0.04516914162846187	0.18971779913394426	0.042837577851107804	0.12983152196435305	0.07001377146524833	0.1816526400578442	0.05256917699563939	0.10987743184354777	0.04132273035970339	0.7150000000000001	0.18069310999592653	0.5250764525993883	0.26698596320733414	0.5127035830618892	0.29599676702812
dmelanogaster	dmelanogaster	standard	GCN	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7368485342019545	0.0053265009494590215	0.3114299422497937	0.0030586298708762997	0.16188802435352184	0.003265927452255515	0.18594406380135656	0.003178942630158584	0.1064161078174867	0.0024608396541116323	0.7375	0.020916500663351895	0.6047400611620795	0.01771326049856219	0.5960912052117264	0.02016520801209279	0.7113925081433224	0.011123832154429185	0.2117102613135501	0.012354644683879108	0.1473439359543441	0.018138717117283126	0.18069418947980628	0.01058109382367088	0.1039752620874294	0.006566660008928664	0.6900000000000001	0.01999999999999997	0.6165137614678898	0.015872708590044023	0.6117263843648209	0.015641963783117847
dmelanogaster	dmelanogaster	standard	GIN	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7465940553745929	0.006604802452315699	0.2901468938003703	0.01323314276356319	0.19028356719009365	0.01479955199893146	0.20955131266994384	0.01570920332395935	0.1236126330460929	0.012644543343227262	0.7125	0.07786205751198719	0.6662079510703365	0.06417757433130294	0.6631921824104234	0.07307895810062467	0.7263192182410425	0.009055235452262169	0.2750704852794907	0.010968287068969523	0.14141486280924875	0.022659258562796176	0.1843372532019441	0.0188169069960787	0.10932521527112127	0.01455979913434256	0.61	0.05147815070493501	0.662691131498471	0.06642917043511323	0.6661237785016286	0.07379845276760641
dmelanogaster	dmelanogaster	standard	GraphSAGE	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7252524429967427	0.0022006133072032747	0.28825900657392656	0.009754624029408167	0.17183617203582466	0.01175198869110897	0.20302062159344825	0.012331721519070568	0.12095404818437014	0.0098143488142146	0.6425	0.04513867521316946	0.6885321100917431	0.04596473716989954	0.6915309446254072	0.051783847995072706	0.6984609120521172	0.015562641350074317	0.21802162720719293	0.006917183662169764	0.17291691500761142	0.022461038207027856	0.20718679528632195	0.01844703842080358	0.12497494866937182	0.013649724205553668	0.615	0.020000000000000018	0.7079510703363915	0.04548255031823413	0.7140065146579804	0.0496205722504644
dmelanogaster	dmelanogaster	standard	MLP	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.6905394951140064	0.015368926940210609	0.2489404613163626	0.02429187038005296	0.13506998419448782	0.027993913081836373	0.1806237018638746	0.024233114327597085	0.10713843011817917	0.019133415802717584	0.6075	0.05338539126015656	0.6527522935779817	0.07398684258844662	0.655700325732899	0.08205527884222752	0.579584690553746	0.0493292847934339	0.18479737353465508	0.010534257521891046	0.02953447787671412	0.03853452306974433	0.12257309941520467	0.023380063957546753	0.07333906984239846	0.017062378293459527	0.39	0.02549509756796393	0.6467889908256881	0.06807287244511334	0.6635179153094463	0.07313846098077491
dmelanogaster	dmelanogaster	standard	N2V_MLP	N2V	topology_embedding_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True	node2vec_walk_based	native_walk_node2vec	False		5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7083631921824104	0.014586585878699876	0.18136812725421653	0.026080143159933008	0.1411182928564733	0.018760379223038158	0.17968523236996273	0.01313015340672367	0.1045324142219819	0.009452290844190482	0.6525	0.066332495807108	0.6327217125382262	0.0529824787787704	0.6314332247557003	0.06007895861036338	0.6794951140065146	0.006734611384770336	0.14517206681043698	0.007979388051308382	0.13057413520319522	0.023109884331963322	0.17631565443307423	0.01694140061927813	0.10352228028375496	0.012370106813662947	0.61	0.05830951894845301	0.6464831804281346	0.058771316578476084	0.6488599348534201	0.06562204344756672
dmelanogaster	dmelanogaster	standard	NB	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.6418159609120521	0.0025780903232273476	0.10313689523940991	0.0017858479719031755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9388379204892965	1.1102230246251565e-16	1.0	0.0	0.5330374592833877	0.009707590135114179	0.07264788976221881	0.0022893280907664588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9388379204892965	1.1102230246251565e-16	1.0	0.0
dmelanogaster	dmelanogaster	standard	SVM	ORT_EXP_SUB	ort_exp_sub_contract	standard	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/melanogaster/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/dmelanogaster_labels.tsv	results/frozen_protocol/splits/dmelanogaster_split.tsv	/home/jiehuang/software/fungi/ProGATE_v2/configs/frozen_protocol.yaml	False	True					5	1029.0,1030.0,1031.0,1032.0,1033.0	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.726457654723127	5.439897889204052e-05	0.17318319548932098	2.0240976579300492e-05	-0.0076456922663824586	0.00117127674523992	0.0	0.0	0.0	0.0	0.0	0.0	0.9379204892966362	0.0003058103975534632	0.9990228013029316	0.0003257328990228014	0.729128664495114	5.5230700188306395e-05	0.19272784225172815	1.9129101286253943e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9388379204892965	1.1102230246251565e-16	1.0	0.0
