source_id	source_type	canonical_gene_id	evidence_path	evidence_kind
FGSG_00021	FGSG	fgraminearum::FGRAMPH1_01G00091	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00023	FGSG	fgraminearum::FGRAMPH1_01G00095	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00023	FGSG	fgraminearum::FGRAMPH1_01G00095	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00024	FGSG	fgraminearum::FGRAMPH1_01G00097	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00024	FGSG	fgraminearum::FGRAMPH1_01G00097	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00025	FGSG	fgraminearum::FGRAMPH1_01G00099	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00025	FGSG	fgraminearum::FGRAMPH1_01G00099	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00026	FGSG	fgraminearum::FGRAMPH1_01G00101	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00026	FGSG	fgraminearum::FGRAMPH1_01G00101	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00027	FGSG	fgraminearum::FGRAMPH1_01G00103	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00027	FGSG	fgraminearum::FGRAMPH1_01G00103	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00028	FGSG	fgraminearum::FGRAMPH1_01G00105	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00028	FGSG	fgraminearum::FGRAMPH1_01G00105	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00029	FGSG	fgraminearum::FGRAMPH1_01G00109	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00029	FGSG	fgraminearum::FGRAMPH1_01G00109	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00030	FGSG	fgraminearum::FGRAMPH1_01G00111	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00030	FGSG	fgraminearum::FGRAMPH1_01G00111	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00031	FGSG	fgraminearum::FGRAMPH1_01G00115	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00031	FGSG	fgraminearum::FGRAMPH1_01G00115	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00032	FGSG	fgraminearum::FGRAMPH1_01G00117	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00032	FGSG	fgraminearum::FGRAMPH1_01G00117	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00033	FGSG	fgraminearum::FGRAMPH1_01G00119	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00034	FGSG	fgraminearum::FGRAMPH1_01G00121	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00034	FGSG	fgraminearum::FGRAMPH1_01G00121	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00036	FGSG	fgraminearum::FGRAMPH1_01G00127	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00036	FGSG	fgraminearum::FGRAMPH1_01G00127	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00038	FGSG	fgraminearum::FGRAMPH1_01G00133	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00038	FGSG	fgraminearum::FGRAMPH1_01G00133	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00039	FGSG	fgraminearum::FGRAMPH1_01G00135	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
