source_layer	source_node	target_layer	target_node	count
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001104	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001107	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001113	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001126	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001144	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001145	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001151	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001176	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001179	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001183	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001185	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001191	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001195	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001201	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001207	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001210	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001213	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001235	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001264	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001272	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001273	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001275	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001285	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001332	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001340	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001342	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001350	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001377	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001378	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001387	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001412	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001417	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001419	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001421	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001422	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001438	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001443	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001457	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001458	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001467	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001471	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001472	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001473	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001474	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001483	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001498	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001507	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001516	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001533	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001536	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001541	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001548	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001549	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001550	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001564	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001569	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001579	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001581	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001587	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001593	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001594	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001595	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001610	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001611	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001615	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001616	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001621	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001624	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001628	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001629	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001633	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001638	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001645	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001651	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001652	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001657	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001661	1
