layer	node	count
Layer2_Orthogroup	OG0000824	1
Layer2_Orthogroup	OG0000829	1
Layer2_Orthogroup	OG0000836	1
Layer2_Orthogroup	OG0000838	1
Layer2_Orthogroup	OG0000844	1
Layer2_Orthogroup	OG0000847	1
Layer2_Orthogroup	OG0000849	1
Layer2_Orthogroup	OG0000851	1
Layer2_Orthogroup	OG0000855	1
Layer2_Orthogroup	OG0000859	1
Layer2_Orthogroup	OG0000863	1
Layer2_Orthogroup	OG0000864	1
Layer2_Orthogroup	OG0000873	1
Layer2_Orthogroup	OG0000893	1
Layer2_Orthogroup	OG0000906	1
Layer2_Orthogroup	OG0000914	1
Layer2_Orthogroup	OG0000930	1
Layer2_Orthogroup	OG0000932	1
Layer2_Orthogroup	OG0000939	1
Layer2_Orthogroup	OG0000955	1
Layer2_Orthogroup	OG0000957	1
Layer2_Orthogroup	OG0000962	1
Layer2_Orthogroup	OG0000966	1
Layer2_Orthogroup	OG0000975	1
Layer2_Orthogroup	OG0000978	2
Layer2_Orthogroup	OG0000979	1
Layer2_Orthogroup	OG0000990	1
Layer2_Orthogroup	OG0000993	1
Layer2_Orthogroup	OG0001003	1
Layer2_Orthogroup	OG0001012	1
Layer2_Orthogroup	OG0001016	1
Layer2_Orthogroup	OG0001022	1
Layer2_Orthogroup	OG0001024	1
Layer2_Orthogroup	OG0001028	1
Layer2_Orthogroup	OG0001037	1
Layer2_Orthogroup	OG0001039	2
Layer2_Orthogroup	OG0001044	1
Layer2_Orthogroup	OG0001045	1
Layer2_Orthogroup	OG0001046	1
Layer2_Orthogroup	OG0001050	1
Layer2_Orthogroup	OG0001053	1
Layer2_Orthogroup	OG0001059	1
Layer2_Orthogroup	OG0001079	1
Layer2_Orthogroup	OG0001081	1
Layer2_Orthogroup	OG0001088	1
Layer2_Orthogroup	OG0001089	1
Layer2_Orthogroup	OG0001092	1
Layer2_Orthogroup	OG0001093	1
Layer2_Orthogroup	OG0001094	1
Layer2_Orthogroup	OG0001096	1
Layer2_Orthogroup	OG0001103	1
Layer2_Orthogroup	OG0001104	1
Layer2_Orthogroup	OG0001107	1
Layer2_Orthogroup	OG0001113	1
Layer2_Orthogroup	OG0001115	1
Layer2_Orthogroup	OG0001116	1
Layer2_Orthogroup	OG0001118	1
Layer2_Orthogroup	OG0001119	1
Layer2_Orthogroup	OG0001123	1
Layer2_Orthogroup	OG0001126	1
Layer2_Orthogroup	OG0001129	1
Layer2_Orthogroup	OG0001144	1
Layer2_Orthogroup	OG0001145	1
Layer2_Orthogroup	OG0001146	1
Layer2_Orthogroup	OG0001150	1
Layer2_Orthogroup	OG0001151	1
Layer2_Orthogroup	OG0001169	1
Layer2_Orthogroup	OG0001176	1
Layer2_Orthogroup	OG0001177	1
Layer2_Orthogroup	OG0001179	1
Layer2_Orthogroup	OG0001183	1
Layer2_Orthogroup	OG0001185	1
Layer2_Orthogroup	OG0001188	1
Layer2_Orthogroup	OG0001191	1
Layer2_Orthogroup	OG0001195	1
Layer2_Orthogroup	OG0001198	1
Layer2_Orthogroup	OG0001199	1
Layer2_Orthogroup	OG0001200	1
Layer2_Orthogroup	OG0001201	1
Layer2_Orthogroup	OG0001206	1
Layer2_Orthogroup	OG0001207	1
Layer2_Orthogroup	OG0001209	1
Layer2_Orthogroup	OG0001210	1
Layer2_Orthogroup	OG0001211	1
Layer2_Orthogroup	OG0001213	1
Layer2_Orthogroup	OG0001217	1
Layer2_Orthogroup	OG0001226	1
Layer2_Orthogroup	OG0001235	1
Layer2_Orthogroup	OG0001252	1
Layer2_Orthogroup	OG0001259	1
Layer2_Orthogroup	OG0001264	1
Layer2_Orthogroup	OG0001265	1
Layer2_Orthogroup	OG0001266	1
Layer2_Orthogroup	OG0001268	1
Layer2_Orthogroup	OG0001269	1
Layer2_Orthogroup	OG0001272	1
Layer2_Orthogroup	OG0001273	1
Layer2_Orthogroup	OG0001275	1
Layer2_Orthogroup	OG0001282	1
Layer2_Orthogroup	OG0001285	1
Layer2_Orthogroup	OG0001288	1
Layer2_Orthogroup	OG0001294	1
Layer2_Orthogroup	OG0001304	1
Layer2_Orthogroup	OG0001315	1
Layer2_Orthogroup	OG0001317	1
Layer2_Orthogroup	OG0001325	1
Layer2_Orthogroup	OG0001329	1
Layer2_Orthogroup	OG0001332	1
Layer2_Orthogroup	OG0001336	1
Layer2_Orthogroup	OG0001337	1
Layer2_Orthogroup	OG0001339	1
Layer2_Orthogroup	OG0001340	1
Layer2_Orthogroup	OG0001342	1
Layer2_Orthogroup	OG0001344	1
Layer2_Orthogroup	OG0001345	1
Layer2_Orthogroup	OG0001347	1
Layer2_Orthogroup	OG0001350	1
Layer2_Orthogroup	OG0001361	1
Layer2_Orthogroup	OG0001362	1
Layer2_Orthogroup	OG0001368	1
Layer2_Orthogroup	OG0001369	1
Layer2_Orthogroup	OG0001371	1
Layer2_Orthogroup	OG0001376	1
Layer2_Orthogroup	OG0001377	1
Layer2_Orthogroup	OG0001378	1
Layer2_Orthogroup	OG0001380	1
Layer2_Orthogroup	OG0001387	1
Layer2_Orthogroup	OG0001397	1
Layer2_Orthogroup	OG0001408	1
Layer2_Orthogroup	OG0001410	1
Layer2_Orthogroup	OG0001412	1
Layer2_Orthogroup	OG0001417	1
Layer2_Orthogroup	OG0001419	1
Layer2_Orthogroup	OG0001421	1
Layer2_Orthogroup	OG0001422	1
Layer2_Orthogroup	OG0001426	1
Layer2_Orthogroup	OG0001427	1
Layer2_Orthogroup	OG0001432	1
Layer2_Orthogroup	OG0001438	1
Layer2_Orthogroup	OG0001439	1
Layer2_Orthogroup	OG0001443	1
Layer2_Orthogroup	OG0001444	1
Layer2_Orthogroup	OG0001445	1
Layer2_Orthogroup	OG0001447	1
Layer2_Orthogroup	OG0001451	1
Layer2_Orthogroup	OG0001457	1
Layer2_Orthogroup	OG0001458	1
Layer2_Orthogroup	OG0001460	1
Layer2_Orthogroup	OG0001465	1
Layer2_Orthogroup	OG0001467	1
Layer2_Orthogroup	OG0001469	1
Layer2_Orthogroup	OG0001471	1
Layer2_Orthogroup	OG0001472	1
Layer2_Orthogroup	OG0001473	1
Layer2_Orthogroup	OG0001474	1
Layer2_Orthogroup	OG0001483	1
Layer2_Orthogroup	OG0001485	1
Layer2_Orthogroup	OG0001487	1
Layer2_Orthogroup	OG0001498	1
Layer2_Orthogroup	OG0001506	1
Layer2_Orthogroup	OG0001507	1
Layer2_Orthogroup	OG0001514	1
Layer2_Orthogroup	OG0001516	1
Layer2_Orthogroup	OG0001524	1
Layer2_Orthogroup	OG0001530	1
Layer2_Orthogroup	OG0001532	1
Layer2_Orthogroup	OG0001533	1
Layer2_Orthogroup	OG0001535	1
Layer2_Orthogroup	OG0001536	1
Layer2_Orthogroup	OG0001541	1
Layer2_Orthogroup	OG0001547	1
Layer2_Orthogroup	OG0001548	1
Layer2_Orthogroup	OG0001549	1
Layer2_Orthogroup	OG0001550	1
Layer2_Orthogroup	OG0001564	1
Layer2_Orthogroup	OG0001569	1
Layer2_Orthogroup	OG0001575	1
Layer2_Orthogroup	OG0001579	1
Layer2_Orthogroup	OG0001581	1
Layer2_Orthogroup	OG0001584	1
Layer2_Orthogroup	OG0001587	2
Layer2_Orthogroup	OG0001593	1
Layer2_Orthogroup	OG0001594	1
Layer2_Orthogroup	OG0001595	1
Layer2_Orthogroup	OG0001601	1
Layer2_Orthogroup	OG0001605	1
Layer2_Orthogroup	OG0001607	1
Layer2_Orthogroup	OG0001610	1
Layer2_Orthogroup	OG0001611	1
Layer2_Orthogroup	OG0001615	1
Layer2_Orthogroup	OG0001616	1
Layer2_Orthogroup	OG0001617	1
Layer2_Orthogroup	OG0001620	1
Layer2_Orthogroup	OG0001621	1
Layer2_Orthogroup	OG0001622	1
Layer2_Orthogroup	OG0001624	1
Layer2_Orthogroup	OG0001628	1
Layer2_Orthogroup	OG0001629	1
Layer2_Orthogroup	OG0001633	1
Layer2_Orthogroup	OG0001634	1
Layer2_Orthogroup	OG0001638	1
Layer2_Orthogroup	OG0001639	1
Layer2_Orthogroup	OG0001640	1
Layer2_Orthogroup	OG0001644	1
Layer2_Orthogroup	OG0001645	1
Layer2_Orthogroup	OG0001647	1
Layer2_Orthogroup	OG0001651	1
Layer2_Orthogroup	OG0001652	1
Layer2_Orthogroup	OG0001657	1
Layer2_Orthogroup	OG0001661	1
Layer2_Orthogroup	OG0001662	1
Layer2_Orthogroup	OG0001666	1
Layer2_Orthogroup	OG0001668	1
Layer2_Orthogroup	OG0001669	1
Layer2_Orthogroup	OG0001673	1
Layer2_Orthogroup	OG0001679	1
Layer2_Orthogroup	OG0001681	1
Layer2_Orthogroup	OG0001687	1
Layer2_Orthogroup	OG0001688	1
Layer2_Orthogroup	OG0001689	1
Layer2_Orthogroup	OG0001692	1
Layer2_Orthogroup	OG0001693	1
Layer2_Orthogroup	OG0001695	1
Layer2_Orthogroup	OG0001697	1
Layer2_Orthogroup	OG0001699	1
Layer2_Orthogroup	OG0001700	1
Layer2_Orthogroup	OG0001702	1
Layer2_Orthogroup	OG0001703	1
Layer2_Orthogroup	OG0001704	1
Layer2_Orthogroup	OG0001705	1
Layer2_Orthogroup	OG0001709	1
Layer2_Orthogroup	OG0001710	1
Layer2_Orthogroup	OG0001712	1
Layer2_Orthogroup	OG0001713	1
Layer2_Orthogroup	OG0001714	1
Layer2_Orthogroup	OG0001715	1
Layer2_Orthogroup	OG0001716	1
Layer2_Orthogroup	OG0001717	1
Layer2_Orthogroup	OG0001718	1
Layer2_Orthogroup	OG0001721	1
Layer2_Orthogroup	OG0001723	1
Layer2_Orthogroup	OG0001724	1
Layer2_Orthogroup	OG0001726	1
Layer2_Orthogroup	OG0001727	1
Layer2_Orthogroup	OG0001729	1
Layer2_Orthogroup	OG0001730	1
Layer2_Orthogroup	OG0001731	1
Layer2_Orthogroup	OG0001733	1
Layer2_Orthogroup	OG0001735	1
Layer2_Orthogroup	OG0001737	1
Layer2_Orthogroup	OG0001738	1
Layer2_Orthogroup	OG0001739	1
Layer2_Orthogroup	OG0001742	1
Layer2_Orthogroup	OG0001746	1
Layer2_Orthogroup	OG0001761	1
Layer2_Orthogroup	OG0001762	1
Layer2_Orthogroup	OG0001765	1
Layer2_Orthogroup	OG0001767	1
Layer2_Orthogroup	OG0001769	1
Layer2_Orthogroup	OG0001771	1
Layer2_Orthogroup	OG0001772	1
Layer2_Orthogroup	OG0001775	1
Layer2_Orthogroup	OG0001776	1
Layer2_Orthogroup	OG0001778	1
Layer2_Orthogroup	OG0001779	1
Layer2_Orthogroup	OG0001780	1
Layer2_Orthogroup	OG0001781	1
Layer2_Orthogroup	OG0001788	1
Layer2_Orthogroup	OG0001789	1
Layer2_Orthogroup	OG0001790	1
Layer2_Orthogroup	OG0001800	1
Layer2_Orthogroup	OG0001801	1
Layer2_Orthogroup	OG0001828	1
Layer2_Orthogroup	OG0001832	1
Layer2_Orthogroup	OG0001833	1
