raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
6239.2L52.1a.1	6239.F33D11.2.1		WBGene00018001	False	unmapped_A	173	0	173	0
6239.2L52.1a.1	6239.F21D5.8.1			False	unmapped_A	218	0	218	0
6239.2L52.1a.1	6239.F53F10.5.2		WBGene00003797	False	unmapped_A	241	0	242	0
6239.2L52.1a.1	6239.Y43F8B.13.1		WBGene00012823	False	unmapped_A	180	57	167	0
6239.2L52.1a.1	6239.C45B11.3.2		WBGene00000981	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.F01G4.4b.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.K01G5.7.2			False	unmapped_A	163	0	163	0
6239.2L52.1a.1	6239.C09G1.4.1		WBGene00007486	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.E02H1.8.1		WBGene00008459	False	unmapped_A	177	0	177	0
6239.2L52.1a.1	6239.C26E6.6.1			False	unmapped_A	225	49	219	0
6239.2L52.1a.1	6239.Y71H2AM.8.1		WBGene00022173	False	unmapped_A	178	0	94	130
6239.2L52.1a.1	6239.D1037.1.1		WBGene00017025	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.C32E12.5.2		WBGene00004771	False	unmapped_A	158	0	148	0
6239.2L52.1a.1	6239.F38C2.4a.1		WBGene00009536	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.F43C1.3.1		WBGene00009648	False	unmapped_A	167	61	150	0
6239.2L52.1a.1	6239.Y40H7A.4b.1		WBGene00012744	False	unmapped_A	160	57	146	0
6239.2L52.1a.1	6239.F10B5.1.2		WBGene00004421	False	unmapped_A	190	58	176	0
6239.2L52.1a.1	6239.F44F1.3.1		WBGene00009695	False	unmapped_A	177	58	163	0
6239.2L52.1a.1	6239.B0035.8.1		WBGene00001922	False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.F44E5.5.1		WBGene00009692	False	unmapped_A	167	0	168	0
6239.2L52.1a.1	6239.T26A5.7a.1			False	unmapped_A	165	82	129	0
6239.2L52.1a.1	6239.F58D2.2.1		WBGene00010241	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.W04D2.4.1			False	unmapped_A	203	50	196	0
6239.2L52.1a.1	6239.H27M09.3.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.B0286.5.1		WBGene00001438	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.F53A9.4.1		WBGene00018727	False	unmapped_A	179	55	167	0
6239.2L52.1a.1	6239.C06G4.2a.2			False	unmapped_A	177	58	163	0
6239.2L52.1a.1	6239.C50F2.8.1		WBGene00016841	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.F11F1.4.1		WBGene00008716	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.ZC178.2.1			False	unmapped_A	157	54	146	0
6239.2L52.1a.1	6239.C37H5.8.1			False	unmapped_A	159	50	152	0
6239.2L52.1a.1	6239.B0403.2.2		WBGene00006712	False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.T14B4.2.1			False	unmapped_A	201	62	184	0
6239.2L52.1a.1	6239.Y73B6BL.4.1		WBGene00022233	False	unmapped_A	151	0	143	0
6239.2L52.1a.1	6239.R08H2.1.2		WBGene00000986	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.F26A1.2.1		WBGene00001437	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.Y116A8C.12.1			False	unmapped_A	162	94	114	0
6239.2L52.1a.1	6239.C12C8.1.1		WBGene00002026	False	unmapped_A	167	0	168	0
6239.2L52.1a.1	6239.C44B11.3.1		WBGene00003175	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.K12C11.2.1			False	unmapped_A	189	0	189	0
6239.2L52.1a.1	6239.F25C8.3d.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.F54C9.2.1			False	unmapped_A	167	0	168	0
6239.2L52.1a.1	6239.Y71A12B.9.1		WBGene00013506	False	unmapped_A	165	87	123	0
6239.2L52.1a.1	6239.W03F9.9.1		WBGene00021003	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.C09G4.5.1			False	unmapped_A	177	0	178	0
6239.2L52.1a.1	6239.F26D2.15.1		WBGene00009153	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.K11E4.4a.1		WBGene00010776	False	unmapped_A	200	200	0	0
