Gene,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
S000002370,0.366628826,0.343352616,0.392735511,0.286839157,0.271604955,0.263616562,0.358613193,0.375130653,0.514527857,0.966367722,0.665525138,0.569543123,0.493685454,0.3215909,0.340857804,0.207762569,0.26867336,0.386734694,0.339737087,0.384449214,0.513142884,0.67971164,0.669527888,0.441906661,0.395604432,0.37988165,0.393665165,0.295131862,0.267561972,0.336134464,0.264544457,0.390605658,0.400000036,0.570866168,0.583417594,0.659750998
S000005972,1.12372303,1.332947969,1.161180496,1.307086587,1.351290822,1.356209159,1.282773495,1.794148326,1.669491529,1.390134573,1.404109597,1.384771466,1.330654502,1.442045569,1.442437887,1.511415482,1.570791483,1.653061152,1.517694592,2.295896292,1.367999911,1.5921731,1.509656668,1.574975252,1.39438343,1.301775217,1.433257937,1.351927042,1.450413108,1.620798349,1.960483074,2.341161728,1.380219817,1.472440958,1.348837137,1.39107883
S000003449,0.49754068355555553,0.2757867682222222,0.3786101673333333,0.3143357228888889,0.3691233498888889,0.35766158744444443,0.3836523211111111,0.3559735306666667,0.6154156704444445,0.2754110677777778,0.34893454955555553,0.3155104263333333,0.3736446113333333,0.2554293034444444,0.24416854166666666,0.3542618043333333,0.2927040888888889,0.27925169377777775,0.3887203465555556,0.44264457733333334,0.41384126144444444,0.33916923322222226,0.4029565972222222,0.410570457,0.42083842188888887,0.21604208233333333,0.2677224762222222,0.26707236855555555,0.2817952178888889,0.29365080744444444,0.4107818112222222,0.5397609875555555,0.2954823065555556,0.30807086255555555,0.42433432511111113,0.4281926846666667
S000006217,0.597048819,0.512138724,0.683314443,0.857142866,0.783389509,0.757080615,0.869989157,0.707418978,2.27118659,1.974215388,1.492009163,1.568527937,1.458094239,0.777272761,0.812641084,1.289954305,0.777034521,0.779591858,0.529828072,1.547516227,1.817142844,1.741503596,1.851931334,1.848063707,1.418803453,0.776331365,0.807692349,0.665314436,0.851239681,0.672268927,1.093304038,2.257107496,2.945055008,1.685039282,1.689585447,1.458506227
S000028819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003438,2.043132782,2.153757095,1.7219069,1.753655791,1.542087555,1.912854075,1.86782217,1.795193434,1.412832975,2.090807199,2.175799131,1.762436628,1.366245747,2.329545498,2.344243765,2.31735158,2.942028999,2.661224365,2.048533916,1.58963275,1.513142824,1.516992807,1.481759667,1.292949319,2.688644648,2.970414162,2.036199093,3.290060997,2.903925657,3.186974764,2.228320599,1.861557484,1.557142854,1.486220479,1.338725805,1.647302866
S000005612,3.441543818,5.048554897,4.803632259,6.20697403,4.919191837,4.075163364,4.659804821,4.130616665,0.772397101,2.692825317,2.344748735,2.593908548,3.301952124,4.068181992,5.220090389,4.563926697,3.823857307,3.62142849,3.7178967,2.547516108,2.495999813,2.694129705,2.106223106,2.217477798,3.373626232,3.381065369,6.475113392,4.587221146,4.219007969,3.739495993,4.633369923,2.265760183,2.38351655,2.367125988,1.972699642,1.827800632
S000003887,3.185017109,4.668207645,3.870601654,5.1934762,6.545454979,5.696078777,4.516792774,3.985370874,1.194915295,2.178251266,1.622146249,2.372588634,3.233065605,5.261363983,1.999999881,4.511415958,4.560758114,4.461224556,4.56622839,2.679265738,1.862857103,2.594232559,2.038626671,2.291956425,2.13919425,4.977514744,5.187782764,4.608519554,5.436983109,5.35924387,3.923161507,2.322620392,2.930769444,2.614173174,2.142568111,2.369294405
S000000103,5.06015873,7.038149834,7.293983936,6.620922089,5.988776684,5.840958595,5.28060627,4.640543461,2.094430923,4.505605698,4.550228596,3.569543123,4.06199789,6.896591187,6.777652264,6.623288155,5.309921741,5.26122427,4.987866402,3.165226936,3.657142878,4.297631264,4.07296133,4.796425343,5.666666985,6.422485352,6.898190022,5.230223656,4.888429642,4.809874058,4.755214214,2.840543747,5.096703053,3.739173174,3.790697336,4.672198772
S000004379,5.150964737,4.404623985,4.0,5.374577999,5.271605492,4.957516193,5.477789402,6.544409752,5.861985683,5.429372311,5.214612007,3.870050907,4.845005989,5.5715909,5.08465004,5.611872196,6.30546236,4.589795589,4.129423618,5.625270367,10.11199951,5.858908653,4.835836887,5.07646513,5.675213814,4.960947037,5.800904751,3.716024399,4.982437611,5.03256321,5.171240807,6.828182697,6.805494308,5.529527187,5.052578449,5.231327534
S000000125,0.503972769,0.47167629,0.395005673,0.438695163,0.41077441,0.434640527,0.491874307,0.714733601,4.158595562,1.10538125,1.388127923,1.121827364,0.555683196,0.406818181,0.425507903,0.39041099,0.758082509,0.375510186,0.487360954,1.638228893,2.329142809,0.983522117,1.328326225,1.424031734,0.761904776,0.489940852,0.402714938,0.361054778,0.353305787,0.328781515,0.571898997,2.967861414,1.537362576,0.817913353,1.10212326,1.290456414
S000002974,5.981838703,6.310982704,6.868331432,7.112485886,8.11335659,6.997821808,7.060671329,5.386624813,1.510895967,5.50896883,4.926940918,3.633502483,6.314581394,7.193181992,7.24266386,8.069635391,8.279821396,6.844897747,5.689585209,4.166306496,3.56914258,3.901132584,3.938841343,3.86494565,7.544567108,9.07692337,6.378959656,6.442191124,7.016529083,6.06407547,7.621295452,2.953028202,4.072527409,3.574803352,3.164812803,3.93879652
S000004365,1.539160132,1.872832298,1.755959153,1.136108041,1.151515245,0.872548997,0.679306567,0.812957227,0.594430983,0.70739913,1.107306004,1.545177579,1.067738295,2.162500143,1.185101509,0.535388172,0.981047928,0.819387794,0.873609662,0.886609077,0.937142849,1.20391345,1.447424769,1.623634577,1.274725318,1.559763312,1.300904989,1.176470637,0.836776853,0.832983255,1.041712403,0.933250904,0.502197802,1.579724431,1.556117177,1.238589168
S000004381,2.112372398,1.898265839,0.875141859,0.917885244,0.647587001,1.009803891,1.131094217,1.07314527,1.440678,1.405829668,1.695205569,1.158375621,1.570608616,1.669318199,0.538374722,1.388127923,1.232998848,0.905102015,0.90697664,0.965442777,3.138285637,1.811534405,1.330472112,2.232373476,1.673992753,0.854437828,1.097285151,0.759634912,1.278925657,1.010504246,0.692645431,1.489493132,2.441758156,1.842519641,1.604651093,1.232365131
S000000639,0.548240602,0.373410374,0.393870622,0.47019124,0.235690251,0.257080615,0.234019488,0.341692805,2.801452875,1.102017999,0.696347058,0.973604083,0.661308885,0.359090924,0.413092524,0.311643839,0.244147152,0.284693867,0.320525765,0.987041056,0.915428519,0.988671422,0.950643778,0.790466726,0.35164836,0.338461548,0.367647082,0.516227245,0.41219008,0.415966392,0.246981353,1.972805858,0.920879185,1.083661437,1.249747157,1.216804981
