raw_probe_id	mapped_gene_id	mapping_status	mapping_method
10159_at	S000004169	mapped	alias_bridge
10160_at	S000004170	mapped	alias_bridge
10161_g_at	S000004170	mapped	alias_bridge
10162_at	S000004171	mapped	alias_bridge
10163_at	S000004172	mapped	alias_bridge
10164_at	S000004173	mapped	alias_bridge
10165_at		unmapped	none
10166_at	S000004175	mapped	alias_bridge
10167_at	S000004176	mapped	alias_bridge
10168_at	S000004177	mapped	alias_bridge
10169_at	S000004178	mapped	alias_bridge
10170_g_at	S000004131	mapped	alias_bridge
10171_at	S000004131	mapped	alias_bridge
10172_at	S000004132	mapped	alias_bridge
10173_at	S000004133	mapped	alias_bridge
10174_at	S000004134	mapped	alias_bridge
10175_at	S000004135	mapped	alias_bridge
10176_at	S000004136	mapped	alias_bridge
10177_at	S000004137	mapped	alias_bridge
10178_at	S000004138	mapped	alias_bridge
10179_at	S000004139	mapped	alias_bridge
10180_at	S000004140	mapped	alias_bridge
10181_at	S000004141	mapped	alias_bridge
10182_at	S000004142	mapped	alias_bridge
10183_at	S000004143	mapped	alias_bridge
10184_at	S000004144	mapped	alias_bridge
10185_s_at		unmapped	none
10186_s_at		unmapped	none
10187_at		unmapped	none
10188_at	S000004153	mapped	alias_bridge
10189_at	S000004154	mapped	alias_bridge
10190_at	S000004155	mapped	alias_bridge
10191_at	S000004156	mapped	alias_bridge
10192_at	S000004109	mapped	alias_bridge
10193_at	S000004110	mapped	alias_bridge
10194_at	S000004111	mapped	alias_bridge
10195_at		unmapped	none
10196_g_at		unmapped	none
10197_at		unmapped	none
10198_at		unmapped	none
10199_at	S000004115	mapped	alias_bridge
10200_at	S000004116	mapped	alias_bridge
10201_at	S000004117	mapped	alias_bridge
10202_at	S000004118	mapped	alias_bridge
10203_at	S000004119	mapped	alias_bridge
10204_at	S000004120	mapped	alias_bridge
10205_at	S000004121	mapped	alias_bridge
10206_at	S000004122	mapped	alias_bridge
10207_at	S000004123	mapped	alias_bridge
10208_at	S000004124	mapped	alias_bridge
10209_at	S000004125	mapped	alias_bridge
10210_at	S000004126	mapped	alias_bridge
10211_at	S000004127	mapped	alias_bridge
10212_at	S000004128	mapped	alias_bridge
10213_at	S000004129	mapped	alias_bridge
10214_at	S000004131	mapped	alias_bridge
10215_at	S000004086	mapped	alias_bridge
10216_at	S000004087	mapped	alias_bridge
10217_at	S000004088	mapped	alias_bridge
10218_at	S000004089	mapped	alias_bridge
10219_at	S000004090	mapped	alias_bridge
10220_at		unmapped	none
10221_at	S000004092	mapped	alias_bridge
10222_at	S000004093	mapped	alias_bridge
10223_at	S000004094	mapped	alias_bridge
10224_at	S000004095	mapped	alias_bridge
10225_at	S000004096	mapped	alias_bridge
10226_at	S000004097	mapped	alias_bridge
10227_at	S000004098	mapped	alias_bridge
10228_at	S000004099	mapped	alias_bridge
10229_at	S000004100	mapped	alias_bridge
10230_at		unmapped	none
10231_at		unmapped	none
10232_at	S000004103	mapped	alias_bridge
10233_at	S000004104	mapped	alias_bridge
10234_at	S000004105	mapped	alias_bridge
10235_at	S000004106	mapped	alias_bridge
10236_at	S000004107	mapped	alias_bridge
10237_at	S000004108	mapped	alias_bridge
10238_at	S000004064	mapped	alias_bridge
10239_at	S000004065	mapped	alias_bridge
10240_at		unmapped	none
10241_at	S000004067	mapped	alias_bridge
10242_at	S000004068	mapped	alias_bridge
10243_at	S000004069	mapped	alias_bridge
10244_at	S000004070	mapped	alias_bridge
10245_at	S000004071	mapped	alias_bridge
10246_at	S000004072	mapped	alias_bridge
10247_at	S000004073	mapped	alias_bridge
10248_at	S000004074	mapped	alias_bridge
10249_at	S000004075	mapped	alias_bridge
10250_at	S000004076	mapped	alias_bridge
10251_at	S000004077	mapped	alias_bridge
10252_at	S000004078	mapped	alias_bridge
10253_at	S000004079	mapped	alias_bridge
10254_at	S000004080	mapped	alias_bridge
10255_at	S000004081	mapped	alias_bridge
10256_at	S000004082	mapped	alias_bridge
10257_at	S000004083	mapped	alias_bridge
10258_at	S000004084	mapped	alias_bridge
10259_at	S000004085	mapped	alias_bridge
10260_at	S000004041	mapped	alias_bridge
10261_at	S000004042	mapped	alias_bridge
10262_at	S000004043	mapped	alias_bridge
10263_at	S000004044	mapped	alias_bridge
10264_at	S000004045	mapped	alias_bridge
10265_at	S000004046	mapped	alias_bridge
10266_at	S000004047	mapped	alias_bridge
10267_at	S000004048	mapped	alias_bridge
10268_at	S000004049	mapped	alias_bridge
10269_at	S000004050	mapped	alias_bridge
10270_at	S000004051	mapped	alias_bridge
10271_at		unmapped	none
10272_at	S000004053	mapped	alias_bridge
10273_at	S000004054	mapped	alias_bridge
10274_at	S000004055	mapped	alias_bridge
10275_at	S000004056	mapped	alias_bridge
10276_at	S000004057	mapped	alias_bridge
10277_at	S000004058	mapped	alias_bridge
10278_at	S000004059	mapped	alias_bridge
10279_at	S000004060	mapped	alias_bridge
10280_at	S000004061	mapped	alias_bridge
10281_at	S000004062	mapped	alias_bridge
10282_at	S000004063	mapped	alias_bridge
10283_at	S000004021	mapped	alias_bridge
10284_at	S000004022	mapped	alias_bridge
10285_at	S000004023	mapped	alias_bridge
10286_at	S000004024	mapped	alias_bridge
10287_at	S000004025	mapped	alias_bridge
10288_at	S000004026	mapped	alias_bridge
10289_f_at	S000004027	mapped	alias_bridge
10290_at	S000004028	mapped	alias_bridge
10291_at	S000004029	mapped	alias_bridge
10292_at	S000004030	mapped	alias_bridge
10293_at		unmapped	none
10294_at	S000004032	mapped	alias_bridge
10295_at	S000004033	mapped	alias_bridge
10296_at	S000004034	mapped	alias_bridge
10297_at	S000004035	mapped	alias_bridge
10298_at	S000004036	mapped	alias_bridge
10299_at	S000004037	mapped	alias_bridge
10300_f_at	S000004038	mapped	alias_bridge
10301_at	S000004038	mapped	alias_bridge
10302_g_at	S000004038	mapped	alias_bridge
10303_at	S000004039	mapped	alias_bridge
10304_at	S000004040	mapped	alias_bridge
10305_at	S000003999	mapped	alias_bridge
10306_at	S000004000	mapped	alias_bridge
10307_at	S000004001	mapped	alias_bridge
10308_at	S000004002	mapped	alias_bridge
10309_at	S000004003	mapped	alias_bridge
10310_at	S000004004	mapped	alias_bridge
10311_at	S000004005	mapped	alias_bridge
10312_at	S000004006	mapped	alias_bridge
10313_at	S000004007	mapped	alias_bridge
10314_at	S000004008	mapped	alias_bridge
10315_at	S000004009	mapped	alias_bridge
10316_at	S000004010	mapped	alias_bridge
10317_at	S000004011	mapped	alias_bridge
10318_at	S000004012	mapped	alias_bridge
10319_at	S000004013	mapped	alias_bridge
10320_at	S000004014	mapped	alias_bridge
10321_at	S000004015	mapped	alias_bridge
10322_at	S000004016	mapped	alias_bridge
10323_at	S000004017	mapped	alias_bridge
10324_at	S000004018	mapped	alias_bridge
10325_at	S000004019	mapped	alias_bridge
10326_g_at	S000004019	mapped	alias_bridge
10327_at	S000004020	mapped	alias_bridge
10328_at	S000003938	mapped	alias_bridge
10329_at	S000003937	mapped	alias_bridge
10330_at	S000003936	mapped	alias_bridge
10331_at	S000003935	mapped	alias_bridge
10332_at	S000003934	mapped	alias_bridge
10333_at	S000003933	mapped	alias_bridge
10334_at	S000003932	mapped	alias_bridge
10335_at	S000003931	mapped	alias_bridge
10336_at	S000003930	mapped	alias_bridge
10337_at	S000003929	mapped	alias_bridge
10338_at	S000003928	mapped	alias_bridge
10339_at	S000003927	mapped	alias_bridge
10340_at	S000003926	mapped	alias_bridge
10341_at	S000003925	mapped	alias_bridge
10342_at	S000003924	mapped	alias_bridge
10343_at	S000003991	mapped	alias_bridge
10344_at	S000003992	mapped	alias_bridge
10345_at	S000003993	mapped	alias_bridge
10346_at	S000003994	mapped	alias_bridge
10347_at	S000003995	mapped	alias_bridge
