raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
229533.A0A098CYV1	229533.V6RUY9	FGRAMPH1_01G00009	FGRAMPH1_01G21785	True		375	181	0	0
229533.A0A098CYV1	229533.I1RCP7	FGRAMPH1_01G00009	FGRAMPH1_01G03383	True		159	96	0	0
229533.A0A098CYV1	229533.A0A1C3YLE2	FGRAMPH1_01G00009	FGRAMPH1_01G26147	True		254	100	0	0
229533.A0A098CYV1	229533.A0A098DW16	FGRAMPH1_01G00009	FGRAMPH1_01G20887	True		508	130	150	310
229533.A0A098CYV1	229533.A0A1C3YLX8	FGRAMPH1_01G00009	FGRAMPH1_01G27395	True		164	0	0	0
229533.A0A098CYV1	229533.A0A0E0SKE0	FGRAMPH1_01G00009	FGRAMPH1_01G18539	True		485	280	99	0
229533.A0A098CYV1	229533.A0A1C3YLL1	FGRAMPH1_01G00009	FGRAMPH1_01G25041	True		202	147	0	0
229533.A0A098CYV1	229533.I1RI50	FGRAMPH1_01G00009	FGRAMPH1_01G12973	True		162	145	0	0
229533.A0A098CYV1	229533.A0A098DEL8	FGRAMPH1_01G00009	FGRAMPH1_01G11241	True		157	148	0	0
229533.A0A098CYV1	229533.I1RWF5	FGRAMPH1_01G00009	FGRAMPH1_01G10409	True		161	0	0	0
229533.A0A098CYV1	229533.A0A1C3YIK0	FGRAMPH1_01G00009	FGRAMPH1_01G04553	True		843	150	268	597
229533.A0A098CYV1	229533.A0A098DMQ4	FGRAMPH1_01G00009	FGRAMPH1_01G23527	True		153	0	0	0
229533.A0A098CYV1	229533.I1RAD3	FGRAMPH1_01G00009	FGRAMPH1_01G01185	True		164	0	0	0
229533.A0A098CYV1	229533.I1S968	FGRAMPH1_01G00009	FGRAMPH1_01G09569	True		193	91	0	0
229533.A0A098CYV1	229533.A0A098DE31	FGRAMPH1_01G00009	FGRAMPH1_01G10783	True		202	147	0	0
229533.A0A098CYV1	229533.A0A098E525	FGRAMPH1_01G00009	FGRAMPH1_01G22175	True		191	134	0	0
229533.A0A098CYV1	229533.A0A1C3YKL7	FGRAMPH1_01G00009	FGRAMPH1_01G22485	True		264	0	0	0
229533.A0A098CYV1	229533.V6RV57	FGRAMPH1_01G00009	FGRAMPH1_01G27481	True		352	150	0	0
229533.A0A098CYV1	229533.I1RJS2	FGRAMPH1_01G00009	FGRAMPH1_01G14499	True		185	0	0	0
229533.A0A098CYV1	229533.A0A098DCJ4	FGRAMPH1_01G00009	FGRAMPH1_01G08735	True		283	280	0	0
