model	AUPRC@10%	AUPRC@90%	retention_AUPRC	rank_low_label	rank_retention
MLP	0.4215476610596903	0.5158553091490111	0.8171819763861752	1	5
SVM	0.3912527808072645	0.5020922998260147	0.7792447343702376	2	6
GraphSAGE	0.385083332807055	0.5354899649755239	0.7191233412276107	3	7
RF	0.37729989328916785	0.44422042083919033	0.849352878862253	4	4
DC	0.3646748255008892	0.3646748255008892	1	5	1
N2V_MLP	0.212329775045351	0.23687317982106904	0.8963858855010187	6	3
CC	0.1029228285786746	0.1029228285786746	1	7	1
