raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
C45G3.1.1		unmapped	none	no evidence found
C45G3.3.1		unmapped	none	no evidence found
C45G3.5.1	WBGene00044008	mapped	alias_bridge	STRING aliases bridge
C45G7.3.1	WBGene00016670	mapped	alias_bridge	STRING aliases bridge
C45G7.5.2	WBGene00000402	mapped	alias_bridge	STRING aliases bridge
C45G9.1.1	WBGene00016673	mapped	alias_bridge	STRING aliases bridge
C45H4.15.1	WBGene00006281	mapped	alias_bridge	STRING aliases bridge
C45H4.17a.1	WBGene00016697	mapped	alias_bridge	STRING aliases bridge
C45H4.2.1	WBGene00016686	mapped	alias_bridge	STRING aliases bridge
C46A5.2.1	WBGene00016699	mapped	alias_bridge	STRING aliases bridge
C46A5.3a.1	WBGene00000603	mapped	alias_bridge	STRING aliases bridge
C46A5.9.1		unmapped	none	no evidence found
C46C11.1a.1	WBGene00016704	mapped	alias_bridge	STRING aliases bridge
C46C11.2b.1	WBGene00016705	mapped	alias_bridge	STRING aliases bridge
C46C11.3.1	WBGene00016706	mapped	alias_bridge	STRING aliases bridge
C46C2.1n.2		unmapped	none	no evidence found
C46C2.2.2	WBGene00008110	mapped	alias_bridge	STRING aliases bridge
C46E1.2.1	WBGene00001556	mapped	alias_bridge	STRING aliases bridge
C46E1.3.1	WBGene00001362	mapped	alias_bridge	STRING aliases bridge
C46E10.8.1	WBGene00016712	mapped	alias_bridge	STRING aliases bridge
C46F11.1a.1	WBGene00006822	mapped	alias_bridge	STRING aliases bridge
C46F11.2a.1		unmapped	none	no evidence found
C46F11.3.1	WBGene00008118	mapped	alias_bridge	STRING aliases bridge
C46F11.4.2	WBGene00008119	mapped	alias_bridge	STRING aliases bridge
C46F11.6.1		unmapped	none	no evidence found
C46F4.1a.1	WBGene00001175	mapped	alias_bridge	STRING aliases bridge
C46F4.2.2		unmapped	none	no evidence found
C46G7.1.1	WBGene00016721	mapped	alias_bridge	STRING aliases bridge
C46G7.2.1	WBGene00016722	mapped	alias_bridge	STRING aliases bridge
C46H11.11e.1	WBGene00016735	mapped	alias_bridge	STRING aliases bridge
C46H11.2.1	WBGene00016728	mapped	alias_bridge	STRING aliases bridge
C46H11.3.1	WBGene00016729	mapped	alias_bridge	STRING aliases bridge
C46H11.4a.1	WBGene00002979	mapped	alias_bridge	STRING aliases bridge
C47A10.1.1		unmapped	none	no evidence found
C47A10.12.1		unmapped	none	no evidence found
C47A10.4.1	WBGene00008126	mapped	alias_bridge	STRING aliases bridge
C47A10.5a.1	WBGene00008127	mapped	alias_bridge	STRING aliases bridge
C47A10.6.1	WBGene00008128	mapped	alias_bridge	STRING aliases bridge
C47A10.8.1	WBGene00005909	mapped	alias_bridge	STRING aliases bridge
C47A4.1.1	WBGene00008122	mapped	alias_bridge	STRING aliases bridge
C47A4.2b.1	WBGene00008123	mapped	alias_bridge	STRING aliases bridge
C47A4.3.1	WBGene00008124	mapped	alias_bridge	STRING aliases bridge
C47B2.2.1	WBGene00008131	mapped	alias_bridge	STRING aliases bridge
C47B2.3.3		unmapped	none	no evidence found
C47B2.4.1		unmapped	none	no evidence found
C47B2.5.2		unmapped	none	no evidence found
C47B2.6b.1		unmapped	none	no evidence found
C47B2.8.1	WBGene00004196	mapped	alias_bridge	STRING aliases bridge
C47B2.9.1	WBGene00008134	mapped	alias_bridge	STRING aliases bridge
C47C12.3b.1		unmapped	none	no evidence found
C47C12.6.3		unmapped	none	no evidence found
C47D12.1a.1		unmapped	none	no evidence found
C47D12.2.1		unmapped	none	no evidence found
C47D12.3a.1	WBGene00008137	mapped	alias_bridge	STRING aliases bridge
C47D12.6a.1		unmapped	none	no evidence found
C47D12.7a.1	WBGene00002184	mapped	alias_bridge	STRING aliases bridge
C47D12.8.1		unmapped	none	no evidence found
C47D2.2.1	WBGene00000391	mapped	alias_bridge	STRING aliases bridge
C47E12.1.1	WBGene00005663	mapped	alias_bridge	STRING aliases bridge
C47E12.2.1		unmapped	none	no evidence found
C47E12.3a.1	WBGene00008148	mapped	alias_bridge	STRING aliases bridge
C47E12.4c.3	WBGene00008149	mapped	alias_bridge	STRING aliases bridge
C47E12.5a.2	WBGene00006699	mapped	alias_bridge	STRING aliases bridge
C47E12.6.1	WBGene00008150	mapped	alias_bridge	STRING aliases bridge
C47E12.7.1		unmapped	none	no evidence found
C47E12.8.1	WBGene00000964	mapped	alias_bridge	STRING aliases bridge
C47E8.3.1	WBGene00008142	mapped	alias_bridge	STRING aliases bridge
