graph_condition	graph_family	string_threshold	model	feature_setting	model_feature_setting	n_runs	test_auprc_mean	test_auprc_sd	test_auprc_sem	test_mcc_mean	test_mcc_sd	test_mcc_sem	val_auprc_mean	val_auprc_sd	val_auprc_sem	val_mcc_mean	val_mcc_sd	val_mcc_sem	test_auroc_mean	test_auroc_sd	test_auroc_sem	test_accuracy_mean	test_accuracy_sd	test_accuracy_sem
STRING_100	STRING	100	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.513734996719435	0.0113874321754485	0.0050926144866942	0.4745279759268233	0.0114530649266101	0.0051219663453237	0.6622031056532398	0.0044351223215855	0.0019834469999183	0.5266288707666393	0.0065867504803695	0.0029456843649871	0.9137305558005993	0.0014149483032662	0.0006327841181502	0.8422064354366905	0.0124403607764911	0.0055634984721712
STRING_200	STRING	200	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5283553470705913	0.0041151379750617	0.0018403456498057	0.4766807495478726	0.0036409004087035	0.0016282601626335	0.661208340599108	0.0085949790999907	0.0038437915065538	0.5483117230381118	0.0074319955402045	0.0033236894472745	0.9130851112987444	0.0005882069389611	0.0002630541400708	0.8508984538236521	0.0055211515469832	0.0024691340346265
STRING_300	STRING	300	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5497912364916027	0.0230214896324879	0.0102955231523099	0.5023376683637852	0.0054916103673837	0.0024559228174825	0.6670147070321564	0.0111554391064089	0.004988864032158	0.545309986172756	0.0082988107868712	0.0037113410103705	0.9176868176414494	0.0018887642673601	0.0008446810590579	0.8871709151692437	0.0142056486160119	0.0063529591939757
STRING_400	STRING	400	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5478859755865878	0.0229117440437344	0.0102464434329732	0.4957677061054216	0.0171721569662374	0.0076796220593607	0.6667541821203044	0.0082558913990289	0.0036921468766169	0.5265073180335553	0.0140710516508539	0.006292765601244	0.9156057684633254	0.0035978147020453	0.0016089916488443	0.8797325532804011	0.0285111856566489	0.0127505898494768
STRING_500	STRING	500	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5787749912903533	0.0144779009074398	0.0064747141201082	0.5134396009876868	0.0126104903645326	0.0056395827369402	0.6622998282479566	0.0090509058944519	0.0040476881675896	0.5373017648247582	0.0175908455856862	0.0078668653022592	0.9185248663112836	0.0021273750826571	0.0009513910596921	0.9139991642290012	0.0028636592894295	0.0012806673671126
STRING_600	STRING	600	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5910361509978719	0.0085025491239285	0.0038024555646271	0.5382635912488951	0.0146774445934142	0.0065639527693721	0.671742808806267	0.0103233622849137	0.0046167479650849	0.5560584114316202	0.0174437937606987	0.0078011017268818	0.9179905315202916	0.0013944635524642	0.0006236230590911	0.914751358127873	0.0102189880991537	0.0045700704101938
STRING_700	STRING	700	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5921686597706242	0.0103659094102043	0.0046357756179643	0.519342653619738	0.0079068209234925	0.0035360378141693	0.6625431415263547	0.0195399363473581	0.0087385251897423	0.5501372896852941	0.0318620916483303	0.014249160566199	0.9179060965415264	0.0023004949205954	0.0010288126048688	0.919097367321354	0.0036678827007925	0.0016403270104935
STRING_800	STRING	800	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.4960221918301101	0.0401012439675683	0.0179338214987572	0.4648636971035046	0.0219737512623156	0.0098269603086419	0.5883152828008418	0.025339320155795	0.0113320884743976	0.5312912996161916	0.0214670236203096	0.0096003448179212	0.9055067568986738	0.0102366774348624	0.004577981321618	0.8637693272043461	0.0267276899699675	0.0119529863308773
STRING_900	STRING	900	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5269734825314111	0.0208685115659163	0.0093326820901259	0.4827738976964008	0.005357343271637	0.0023958767468363	0.6157125254218743	0.0075004193173234	0.0033542894906575	0.5430185415327864	0.017227884675582	0.0077045442486256	0.9136625037281612	0.0017829386957419	0.0007973544246787	0.8762223150856665	0.0188176582634345	0.00841551261088
