raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
ENSP00000339613	ENSG00000186866	mapped	alias_bridge	STRING aliases bridge
ENSP00000339621		ambiguous	alias_bridge	multiple matches: ENSG00000187922;ENSG00000267206
ENSP00000339626	ENSG00000100036	mapped	alias_bridge	STRING aliases bridge
ENSP00000339634	ENSG00000189013	mapped	alias_bridge	STRING aliases bridge
ENSP00000339637	ENSG00000106009	mapped	alias_bridge	STRING aliases bridge
ENSP00000339659	ENSG00000109654	mapped	alias_bridge	STRING aliases bridge
ENSP00000339720	ENSG00000189043	mapped	alias_bridge	STRING aliases bridge
ENSP00000339723	ENSG00000138433	mapped	alias_bridge	STRING aliases bridge
ENSP00000339726	ENSG00000189181	mapped	alias_bridge	STRING aliases bridge
ENSP00000339730	ENSG00000113296	mapped	alias_bridge	STRING aliases bridge
ENSP00000339754	ENSG00000188042	mapped	alias_bridge	STRING aliases bridge
ENSP00000339764	ENSG00000152784	mapped	alias_bridge	STRING aliases bridge
ENSP00000339767	ENSG00000197647	mapped	alias_bridge	STRING aliases bridge
ENSP00000339787	ENSG00000068366	mapped	alias_bridge	STRING aliases bridge
ENSP00000339795	ENSG00000147604	mapped	alias_bridge	STRING aliases bridge
ENSP00000339801	ENSG00000010404	mapped	alias_bridge	STRING aliases bridge
ENSP00000339802	ENSG00000189127	mapped	alias_bridge	STRING aliases bridge
ENSP00000339804	ENSG00000145777	mapped	alias_bridge	STRING aliases bridge
ENSP00000339813	ENSG00000128294	mapped	alias_bridge	STRING aliases bridge
ENSP00000339823	ENSG00000187187	mapped	alias_bridge	STRING aliases bridge
ENSP00000339824	ENSG00000068078	mapped	alias_bridge	STRING aliases bridge
ENSP00000339826	ENSG00000155629	mapped	alias_bridge	STRING aliases bridge
ENSP00000339830	ENSG00000187824	mapped	alias_bridge	STRING aliases bridge
ENSP00000339834	ENSG00000168566	mapped	alias_bridge	STRING aliases bridge
ENSP00000339835	ENSG00000188375	mapped	alias_bridge	STRING aliases bridge
ENSP00000339844	ENSG00000055950	mapped	alias_bridge	STRING aliases bridge
ENSP00000339850	ENSG00000151640	mapped	alias_bridge	STRING aliases bridge
ENSP00000339867	ENSG00000188037	mapped	alias_bridge	STRING aliases bridge
ENSP00000339881	ENSG00000164654	mapped	alias_bridge	STRING aliases bridge
ENSP00000339883	ENSG00000143815	mapped	alias_bridge	STRING aliases bridge
ENSP00000339912	ENSG00000125848	mapped	alias_bridge	STRING aliases bridge
ENSP00000339916	ENSG00000182541	mapped	alias_bridge	STRING aliases bridge
ENSP00000339917	ENSG00000187325	mapped	alias_bridge	STRING aliases bridge
ENSP00000339918	ENSG00000166435	mapped	alias_bridge	STRING aliases bridge
ENSP00000339933	ENSG00000143627	mapped	alias_bridge	STRING aliases bridge
ENSP00000339976	ENSG00000143498	mapped	alias_bridge	STRING aliases bridge
