species	labels_path	splits_path	summary_path	final_essential_count	final_nonessential_count	source_strategy	notes
celegans	processed/essential_gene/celegans/labels.standard.tsv	processed/essential_gene/celegans/splits.standard.tsv	processed/essential_gene/celegans/summary.tsv	578	13104	Bingo	ID namespace mismatch between EPGAT and Bingo (0 overlap). Defaulted to Bingo.
fgraminearum	processed/essential_gene/fgraminearum/labels.standard.tsv	processed/essential_gene/fgraminearum/splits.standard.tsv	processed/essential_gene/fgraminearum/summary.tsv	440	13706	Bingo + EPGAT (Bingo priority)	Merged both sources. Prioritized Bingo in case of conflict due to newer project state.
human	processed/essential_gene/human/labels.standard.tsv	processed/essential_gene/human/splits.standard.tsv	processed/essential_gene/human/summary.tsv	1827	16631	Bingo	ID namespace mismatch between EPGAT and Bingo (0 overlap). Defaulted to Bingo.
melanogaster	processed/essential_gene/melanogaster/labels.standard.tsv	processed/essential_gene/melanogaster/splits.standard.tsv	processed/essential_gene/melanogaster/summary.tsv	402	6138	Bingo + EPGAT (Bingo priority)	Merged both sources. Prioritized Bingo in case of conflict due to newer project state.
scerevisiae	processed/essential_gene/scerevisiae/labels.standard.tsv	processed/essential_gene/scerevisiae/splits.standard.tsv	processed/essential_gene/scerevisiae/summary.tsv	1050	4578	Bingo	ID namespace mismatch between EPGAT and Bingo (0 overlap). Defaulted to Bingo.
