species_key	comparison_level	focal_taxid	focal_scientific_name	matched_taxid	matched_scientific_name	matched_phylum	matched_class	matched_order	matched_family	matched_genus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	426418	Pyrenophora tritici-repentis (strain Pt-1C-BFP)	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Pyrenophora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	436907	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Vanderwaltozyma
fgraminearum	phylum	229533	Fusarium graminearum PH-1	441959	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	502780	Paracoccidioides brasiliensis (strain Pb18)	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__unclassified Onygenales family	g__Paracoccidioides
fgraminearum	phylum	229533	Fusarium graminearum PH-1	498257	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137)	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Verticillium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	535722	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893)	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	g__Nannizzia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	559295	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Lachancea
fgraminearum	phylum	229533	Fusarium graminearum PH-1	559304	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Millerozyma
fgraminearum	phylum	229533	Fusarium graminearum PH-1	559305	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892)	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	g__Trichophyton
fgraminearum	phylum	229533	Fusarium graminearum PH-1	559307	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	573729	Myceliophthora thermophila (strain ATCC 42464 / BCRC 31852 / DSM 1799)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Thermothelomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	619300	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Spathaspora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	644223	Komagataella phaffii (strain GS115 / ATCC 20864)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Komagataella
fgraminearum	phylum	229533	Fusarium graminearum PH-1	644352	Gaeumannomyces tritici (strain R3-111a-1)	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Gaeumannomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	655819	Beauveria bassiana (strain ARSEF 2860)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria
fgraminearum	phylum	229533	Fusarium graminearum PH-1	655827	Metarhizium acridum (strain CQMa 102)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metarhizium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	655863	Grosmannia clavigera (strain kw1407 / UAMH 11150)	p__Ascomycota	c__Sordariomycetes	o__Ophiostomatales	f__Ophiostomataceae	g__Leptographium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	658429	Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21)	p__Ascomycota	c__Leotiomycetes	o__unclassified Leotiomycetes order	f__Pseudeurotiaceae	g__Pseudogymnoascus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	756982	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491)	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	771870	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	g__Sordaria
fgraminearum	phylum	229533	Fusarium graminearum PH-1	858893	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656)	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala
fgraminearum	phylum	229533	Fusarium graminearum PH-1	931890	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Eremothecium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	983644	Cordyceps militaris (strain CM01)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Cordyceps
fgraminearum	phylum	229533	Fusarium graminearum PH-1	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	999810	Botryotinia fuckeliana (strain T4)	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis
fgraminearum	phylum	229533	Fusarium graminearum PH-1	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	237561	Candida albicans (strain SC5314 / ATCC MYA-2876)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Candida
fgraminearum	phylum	229533	Fusarium graminearum PH-1	246410	Coccidioides immitis (strain RS)	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenaceae	g__Coccidioides
fgraminearum	phylum	229533	Fusarium graminearum PH-1	284591	Yarrowia lipolytica (strain CLIB 122 / E 150)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Yarrowia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	284811	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Eremothecium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	p__Ascomycota	c__Schizosaccharomycetes	o__Schizosaccharomycetales	f__Schizosaccharomycetaceae	g__Schizosaccharomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	321614	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173)	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Parastagonospora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	330879	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	367110	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	g__Neurospora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	447093	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Ajellomycetaceae	g__Histoplasma
fgraminearum	phylum	229533	Fusarium graminearum PH-1	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	656061	Tuber melanosporum (strain Mel28)	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Tuberaceae	g__Tuber
fgraminearum	phylum	229533	Fusarium graminearum PH-1	660122	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	665079	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1)	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Sclerotinia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	98403	Drechmeria coniospora	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Drechmeria
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1043005	Aureobasidium subglaciale (strain EXF-2481)	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Saccotheciaceae	g__Aureobasidium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1001833	Hypoxylon sp. CI-4A	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Hypoxylaceae	g__Hypoxylon
fgraminearum	phylum	229533	Fusarium graminearum PH-1	857342	Amorphotheca resinae ATCC 22711	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Amorphothecaceae	g__Amorphotheca
fgraminearum	phylum	229533	Fusarium graminearum PH-1	341454	Ascodesmis nigricans	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascodesmidaceae	g__Ascodesmis
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1157616	Hortaea werneckii EXF-2000	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Hortaea
fgraminearum	phylum	229533	Fusarium graminearum PH-1	574789	Mytilinidion resinicola	p__Ascomycota	c__Dothideomycetes	o__Mytilinidiales	f__Mytilinidiaceae	g__Mytilinidion
fgraminearum	phylum	229533	Fusarium graminearum PH-1	253628	Verruconis gallopava	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Sympoventuriaceae	g__Verruconis
fgraminearum	phylum	229533	Fusarium graminearum PH-1	158607	Diaporthe helianthi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	g__Diaporthe
fgraminearum	phylum	229533	Fusarium graminearum PH-1	765867	Pyrenochaeta sp. DS3sAY3a	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaeta
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1392247	Morchella conica CCBAS932	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Morchellaceae	g__Morchella
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1093900	Thyridium curvatum	p__Ascomycota	c__Sordariomycetes	o__unclassified Sordariomycetes order	f__Thyridiaceae	g__Thyridium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1230097	Cytospora leucostoma	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Valsaceae	g__Cytospora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	105696	Epicoccum nigrum	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Epicoccum
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1328760	Xylona heveae (strain CBS 132557 / TC161)	p__Ascomycota	c__Xylonomycetes	o__Xylonales	f__Xylonaceae	g__Xylona
fgraminearum	phylum	229533	Fusarium graminearum PH-1	196109	Microdochium bolleyi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Microdochiaceae	g__Microdochium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	913774	Oidiodendron maius Zn	p__Ascomycota	c__Leotiomycetes	o__unclassified Leotiomycetes order	f__Myxotrichaceae	g__Oidiodendron
