taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
1213859	UP000011096	Colletotrichum fructicola (strain Nara gc5)	Eukaryota	Colletotrichum fructicola Nara gc5	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Glomerellaceae	g__Colletotrichum	s__Colletotrichum fructicola
12968	UP000008312	Blastocystis hominis	Eukaryota	Blastocystis hominis	k__Eukaryota	p__unclassified Eukaryota phylum	c__Bigyra	o__Opalinata	f__Blastocystidae	g__Blastocystis	s__Blastocystis hominis
278856	UP000007151	Danaus plexippus plexippus	Eukaryota	Danaus plexippus plexippus	k__Eukaryota	p__Arthropoda	c__Insecta	o__Lepidoptera	f__Nymphalidae	g__Danaus	s__Danaus plexippus
135651	UP000008068	Caenorhabditis brenneri	Eukaryota	Caenorhabditis brenneri	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Rhabditidae	g__Caenorhabditis	s__Caenorhabditis brenneri
242507	UP000009058	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	Eukaryota	Pyricularia oryzae 70-15	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Pyriculariaceae	g__Pyricularia	s__Pyricularia oryzae
284590	UP000000598	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	Eukaryota	Kluyveromyces lactis NRRL Y-1140	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kluyveromyces	s__Kluyveromyces lactis
284592	UP000000599	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)	Eukaryota	Debaryomyces hansenii CBS767	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	s__Debaryomyces hansenii
284593	UP000002428	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65)	Eukaryota	Nakaseomyces glabratus CBS 138	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Nakaseomyces	s__Nakaseomyces glabratus
2880	UP000002630	Ectocarpus siliculosus	Eukaryota	Ectocarpus siliculosus	k__Eukaryota	p__unclassified Eukaryota phylum	c__Phaeophyceae	o__Ectocarpales	f__Ectocarpaceae	g__Ectocarpus	s__Ectocarpus siliculosus
29159	UP000005408	Crassostrea gigas	Eukaryota	Crassostrea gigas	k__Eukaryota	p__Mollusca	c__Bivalvia	o__Ostreida	f__Ostreidae	g__Crassostrea	s__Crassostrea gigas
294746	UP000001997	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)	Eukaryota	Meyerozyma guilliermondii ATCC 6260	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Meyerozyma	s__Meyerozyma guilliermondii
296587	UP000002009	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709)	Eukaryota	Micromonas commoda	k__Eukaryota	p__Chlorophyta	c__Mamiellophyceae	o__Mamiellales	f__Mamiellaceae	g__Micromonas	s__Micromonas commoda
3068	UP000001058	Volvox carteri f. nagariensis	Eukaryota	Volvox carteri f. nagariensis	k__Eukaryota	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Volvocaceae	g__Volvox	s__Volvox carteri
306901	UP000001056	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970)	Eukaryota	Chaetomium globosum CBS 148.51	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium	s__Chaetomium globosum
306902	UP000007703	Clavispora lusitaniae (strain ATCC 42720)	Eukaryota	Clavispora lusitaniae ATCC 42720	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Metschnikowiaceae	g__Clavispora	s__Clavispora lusitaniae
31234	UP000008281	Caenorhabditis remanei	Eukaryota	Caenorhabditis remanei	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Rhabditidae	g__Caenorhabditis	s__Caenorhabditis remanei
322104	UP000002258	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	Eukaryota	Scheffersomyces stipitis CBS 6054	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Scheffersomyces	s__Scheffersomyces stipitis
