taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
756982	UP000008784	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491)	Eukaryota	Orbilia oligospora ATCC 24927	k__Eukaryota	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia	s__Orbilia oligospora
764103	UP000009131	Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970)	Eukaryota	Mixia osmundae IAM 14324	k__Eukaryota	p__Basidiomycota	c__Mixiomycetes	o__Mixiales	f__Mixiaceae	g__Mixia	s__Mixia osmundae
771870	UP000001881	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	Eukaryota	Sordaria macrospora k-hell	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	g__Sordaria	s__Sordaria macrospora
79923	UP000286415	Clonorchis sinensis	Eukaryota	Clonorchis sinensis	k__Eukaryota	p__Platyhelminthes	c__Trematoda	o__Opisthorchiida	f__Opisthorchiidae	g__Clonorchis	s__Clonorchis sinensis
8083	UP000002852	Xiphophorus maculatus	Eukaryota	Xiphophorus maculatus	k__Eukaryota	p__Chordata	c__Actinopteri	o__Cyprinodontiformes	f__Poeciliidae	g__Xiphophorus	s__Xiphophorus maculatus
857967	UP000008983	Ichthyophthirius multifiliis (strain G5)	Eukaryota	Ichthyophthirius multifiliis strain G5	k__Eukaryota	p__Ciliophora	c__Oligohymenophorea	o__Hymenostomatida	f__unclassified Hymenostomatida family	g__Ichthyophthirius	s__Ichthyophthirius multifiliis
858893	UP000007304	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656)	Eukaryota	Exophiala dermatitidis NIH/UT8656	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__Exophiala dermatitidis
88036	UP000001514	Selaginella moellendorffii	Eukaryota	Selaginella moellendorffii	k__Eukaryota	p__Streptophyta	c__Lycopodiopsida	o__Selaginellales	f__Selaginellaceae	g__Selaginella	s__Selaginella moellendorffii
935791	UP000002872	Nematocida parisii (strain ERTm3)	Eukaryota	Nematocida parisii ERTm3	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__unclassified Microsporidia family	g__Nematocida	s__Nematocida parisii
931890	UP000006790	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)	Eukaryota	Eremothecium cymbalariae DBVPG#7215	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Eremothecium	s__Eremothecium cymbalariae
9402	UP000010552	Pteropus alecto	Eukaryota	Pteropus alecto	k__Eukaryota	p__Chordata	c__Mammalia	o__Chiroptera	f__Pteropodidae	g__Pteropus	s__Pteropus alecto
946362	UP000007799	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	Eukaryota	Salpingoeca rosetta	k__Eukaryota	p__unclassified Eukaryota phylum	c__Choanoflagellata	o__Craspedida	f__Salpingoecidae	g__Salpingoeca	s__Salpingoeca rosetta
948595	UP000011081	Vavraia culicis (isolate floridensis)	Eukaryota	Vavraia culicis subsp. floridensis	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Pleistophoridae	g__Vavraia	s__Vavraia culicis
9669	UP000000715	Mustela putorius furo	Eukaryota	Mustela putorius furo	k__Eukaryota	p__Chordata	c__Mammalia	o__Carnivora	f__Mustelidae	g__Mustela	s__Mustela putorius
9685	UP000011712	Felis catus	Eukaryota	Felis catus	k__Eukaryota	p__Chordata	c__Mammalia	o__Carnivora	f__Felidae	g__Felis	s__Felis catus
983644	UP000001610	Cordyceps militaris (strain CM01)	Eukaryota	Cordyceps militaris CM01	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Cordyceps	s__Cordyceps militaris
985895	UP000002668	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	Eukaryota	Plenodomus lingam JN3	k__Eukaryota	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus	s__Plenodomus lingam
993615	UP000011082	Vittaforma corneae (strain ATCC 50505)	Eukaryota	Vittaforma corneae ATCC 50505	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Nosematidae	g__Vittaforma	s__Vittaforma corneae
999810	UP000008177	Botryotinia fuckeliana (strain T4)	Eukaryota	Botrytis cinerea T4	k__Eukaryota	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	s__Botrytis cinerea
10090	UP000000589	Mus musculus	Eukaryota	Mus musculus	k__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Muridae	g__Mus	s__Mus musculus
10116	UP000002494	Rattus norvegicus	Eukaryota	Rattus norvegicus	k__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Muridae	g__Rattus	s__Rattus norvegicus
10141	UP000005447	Cavia porcellus	Eukaryota	Cavia porcellus	k__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Caviidae	g__Cavia	s__Cavia porcellus
10228	UP000009022	Trichoplax adhaerens	Eukaryota	Trichoplax adhaerens	k__Eukaryota	p__Placozoa	c__Uniplacotomia	o__Trichoplacea	f__Trichoplacidae	g__Trichoplax	s__Trichoplax adhaerens
121224	UP000009046	Pediculus humanus subsp. corporis	Eukaryota	Pediculus humanus corporis	k__Eukaryota	p__Arthropoda	c__Insecta	o__Phthiraptera	f__Pediculidae	g__Pediculus	s__Pediculus humanus
126793	UP000008333	Plasmodium vivax (strain Salvador I)	Eukaryota	Plasmodium vivax Sal-1	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Haemosporida	f__Plasmodiidae	g__Plasmodium	s__Plasmodium vivax
12957	UP000005205	Atta cephalotes	Eukaryota	Atta cephalotes	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Formicidae	g__Atta	s__Atta cephalotes
13616	UP000002280	Monodelphis domestica	Eukaryota	Monodelphis domestica	k__Eukaryota	p__Chordata	c__Mammalia	o__Didelphimorphia	f__Didelphidae	g__Monodelphis	s__Monodelphis domestica
670386	UP000001396	Polysphondylium pallidum (strain ATCC 26659 / Pp 5 / PN500)	Eukaryota	Heterostelium album PN500	k__Eukaryota	p__Evosea	c__Eumycetozoa	o__Acytosteliales	f__Acytosteliaceae	g__Heterostelium	s__Heterostelium album
3218	UP000006727	Physcomitrium patens	Eukaryota	Physcomitrium patens	k__Eukaryota	p__Streptophyta	c__Bryopsida	o__Funariales	f__Funariaceae	g__Physcomitrium	s__Physcomitrium patens
15368	UP000008810	Brachypodium distachyon	Eukaryota	Brachypodium distachyon	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Brachypodium	s__Brachypodium distachyon
164328	UP000005238	Phytophthora ramorum	Eukaryota	Phytophthora ramorum	k__Eukaryota	p__Oomycota	c__unclassified Oomycota class	o__Peronosporales	f__Peronosporaceae	g__Phytophthora	s__Phytophthora ramorum
184922	UP000001548	Giardia intestinalis (strain ATCC 50803 / WB clone C6)	Eukaryota	Giardia lamblia ATCC 50803	k__Eukaryota	p__Fornicata	c__unclassified Fornicata class	o__Diplomonadida	f__Hexamitidae	g__Giardia	s__Giardia intestinalis
214684	UP000002149	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565)	Eukaryota	Cryptococcus neoformans var. neoformans JEC21	k__Eukaryota	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Cryptococcus	s__Cryptococcus neoformans
227321	UP000000560	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Eukaryota	Aspergillus nidulans FGSC A4	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus nidulans
229533	UP000070720	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	Eukaryota	Fusarium graminearum PH-1	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium graminearum
237561	UP000000559	Candida albicans (strain SC5314 / ATCC MYA-2876)	Eukaryota	Candida albicans SC5314	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Candida	s__Candida albicans
237631	UP000000561	Ustilago maydis (strain 521 / FGSC 9021)	Eukaryota	Ustilago maydis 521	k__Eukaryota	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__Ustilago	s__Ustilago maydis
240176	UP000001861	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)	Eukaryota	Coprinopsis cinerea okayama7#130	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	s__Coprinopsis cinerea
246409	UP000009138	Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880)	Eukaryota	Rhizopus delemar RA 99-880	k__Eukaryota	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Rhizopodaceae	g__Rhizopus	s__Rhizopus delemar
246410	UP000001261	Coccidioides immitis (strain RS)	Eukaryota	Coccidioides immitis RS	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenaceae	g__Coccidioides	s__Coccidioides immitis
281687	UP000005237	Caenorhabditis japonica	Eukaryota	Caenorhabditis japonica	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Rhabditidae	g__Caenorhabditis	s__Caenorhabditis japonica
28377	UP000001646	Anolis carolinensis	Eukaryota	Anolis carolinensis	k__Eukaryota	p__Chordata	c__Lepidosauria	o__Squamata	f__Dactyloidae	g__Anolis	s__Anolis carolinensis
284591	UP000001300	Yarrowia lipolytica (strain CLIB 122 / E 150)	Eukaryota	Yarrowia lipolytica CLIB122	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Yarrowia	s__Yarrowia lipolytica
284811	UP000000591	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)	Eukaryota	Eremothecium gossypii ATCC 10895	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Eremothecium	s__Eremothecium gossypii
284812	UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Eukaryota	Schizosaccharomyces pombe 972h-	k__Eukaryota	p__Ascomycota	c__Schizosaccharomycetes	o__Schizosaccharomycetales	f__Schizosaccharomycetaceae	g__Schizosaccharomyces	s__Schizosaccharomyces pombe
284813	UP000000819	Encephalitozoon cuniculi (strain GB-M1)	Eukaryota	Encephalitozoon cuniculi GB-M1	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Unikaryonidae	g__Encephalitozoon	s__Encephalitozoon cuniculi
29760	UP000009183	Vitis vinifera	Eukaryota	Vitis vinifera	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Vitales	f__Vitaceae	g__Vitis	s__Vitis vinifera
3055	UP000006906	Chlamydomonas reinhardtii	Eukaryota	Chlamydomonas reinhardtii	k__Eukaryota	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlamydomonadaceae	g__Chlamydomonas	s__Chlamydomonas reinhardtii
30611	UP000005225	Otolemur garnettii	Eukaryota	Otolemur garnettii	k__Eukaryota	p__Chordata	c__Mammalia	o__Primates	f__Galagidae	g__Otolemur	s__Otolemur garnettii
31033	UP000005226	Takifugu rubripes	Eukaryota	Takifugu rubripes	k__Eukaryota	p__Chordata	c__Actinopteri	o__Tetraodontiformes	f__Tetraodontidae	g__Takifugu	s__Takifugu rubripes
312017	UP000009168	Tetrahymena thermophila (strain SB210)	Eukaryota	Tetrahymena thermophila SB210	k__Eukaryota	p__Ciliophora	c__Oligohymenophorea	o__Hymenostomatida	f__Tetrahymenidae	g__Tetrahymena	s__Tetrahymena thermophila
321614	UP000001055	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173)	Eukaryota	Parastagonospora nodorum SN15	k__Eukaryota	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Parastagonospora	s__Parastagonospora nodorum
330879	UP000002530	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)	Eukaryota	Aspergillus fumigatus Af293	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus fumigatus
35128	UP000001449	Thalassiosira pseudonana	Eukaryota	Thalassiosira pseudonana	k__Eukaryota	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira pseudonana
36329	UP000001450	Plasmodium falciparum (isolate 3D7)	Eukaryota	Plasmodium falciparum 3D7	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Haemosporida	f__Plasmodiidae	g__Plasmodium	s__Plasmodium falciparum
367110	UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Eukaryota	Neurospora crassa OR74A	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	g__Neurospora	s__Neurospora crassa
3694	UP000006729	Populus trichocarpa	Eukaryota	Populus trichocarpa	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Malpighiales	f__Salicaceae	g__Populus	s__Populus trichocarpa
3702	UP000006548	Arabidopsis thaliana	Eukaryota	Arabidopsis thaliana	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Brassicales	f__Brassicaceae	g__Arabidopsis	s__Arabidopsis thaliana
3847	UP000008827	Glycine max	Eukaryota	Glycine max	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae	g__Glycine	s__Glycine max
39947	UP000059680	Oryza sativa subsp. japonica	Eukaryota	Oryza sativa Japonica Group	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Oryza	s__Oryza sativa
400682	UP000007879	Amphimedon queenslandica	Eukaryota	Amphimedon queenslandica	k__Eukaryota	p__Porifera	c__Demospongiae	o__Haplosclerida	f__Niphatidae	g__Amphimedon	s__Amphimedon queenslandica
403677	UP000006643	Phytophthora infestans (strain T30-4)	Eukaryota	Phytophthora infestans T30-4	k__Eukaryota	p__Oomycota	c__unclassified Oomycota class	o__Peronosporales	f__Peronosporaceae	g__Phytophthora	s__Phytophthora infestans
4081	UP000004994	Solanum lycopersicum	Eukaryota	Solanum lycopersicum	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Solanales	f__Solanaceae	g__Solanum	s__Solanum lycopersicum
4113	UP000011115	Solanum tuberosum	Eukaryota	Solanum tuberosum	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Solanales	f__Solanaceae	g__Solanum	s__Solanum tuberosum
418459	UP000008783	Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL)	Eukaryota	Puccinia graminis f. sp. tritici CRL 75-36-700-3	k__Eukaryota	p__Basidiomycota	c__Pucciniomycetes	o__Pucciniales	f__Pucciniaceae	g__Puccinia	s__Puccinia graminis
43151	UP000000673	Anopheles darlingi	Eukaryota	Anopheles darlingi	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Culicidae	g__Anopheles	s__Anopheles darlingi
43179	UP000005215	Ictidomys tridecemlineatus	Eukaryota	Ictidomys tridecemlineatus	k__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Sciuridae	g__Ictidomys	s__Ictidomys tridecemlineatus
44689	UP000002195	Dictyostelium discoideum	Eukaryota	Dictyostelium discoideum	k__Eukaryota	p__Evosea	c__Eumycetozoa	o__Dictyosteliales	f__Dictyosteliaceae	g__Dictyostelium	s__Dictyostelium discoideum
447093	UP000001631	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Eukaryota	Histoplasma capsulatum G186AR	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Ajellomycetaceae	g__Histoplasma	s__Histoplasma capsulatum
45351	UP000001593	Nematostella vectensis	Eukaryota	Nematostella vectensis	k__Eukaryota	p__Cnidaria	c__Anthozoa	o__Actiniaria	f__Edwardsiidae	g__Nematostella	s__Nematostella vectensis
4558	UP000000768	Sorghum bicolor	Eukaryota	Sorghum bicolor	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Sorghum	s__Sorghum bicolor
46245	UP000001819	Drosophila pseudoobscura pseudoobscura	Eukaryota	Drosophila pseudoobscura pseudoobscura	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila pseudoobscura
51511	UP000007875	Ciona savignyi	Eukaryota	Ciona savignyi	k__Eukaryota	p__Chordata	c__Ascidiacea	o__Phlebobranchia	f__Cionidae	g__Ciona	s__Ciona savignyi
54126	UP000005239	Pristionchus pacificus	Eukaryota	Pristionchus pacificus	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Neodiplogasteridae	g__Pristionchus	s__Pristionchus pacificus
556484	UP000000759	Phaeodactylum tricornutum (strain CCAP 1055/1)	Eukaryota	Phaeodactylum tricornutum CCAP 1055/1	k__Eukaryota	p__Bacillariophyta	c__Bacillariophyceae	o__Naviculales	f__Phaeodactylaceae	g__Phaeodactylum	s__Phaeodactylum tricornutum
559292	UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Eukaryota	Saccharomyces cerevisiae S288C	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__Saccharomyces cerevisiae
5660	UP000007258	Leishmania braziliensis	Eukaryota	Leishmania braziliensis	k__Eukaryota	p__Euglenozoa	c__Kinetoplastea	o__Trypanosomatida	f__Trypanosomatidae	g__Leishmania	s__Leishmania braziliensis
5664	UP000000542	Leishmania major	Eukaryota	Leishmania major	k__Eukaryota	p__Euglenozoa	c__Kinetoplastea	o__Trypanosomatida	f__Trypanosomatidae	g__Leishmania	s__Leishmania major
5671	UP000008153	Leishmania infantum	Eukaryota	Leishmania infantum	k__Eukaryota	p__Euglenozoa	c__Kinetoplastea	o__Trypanosomatida	f__Trypanosomatidae	g__Leishmania	s__Leishmania infantum
353153	UP000002296	Trypanosoma cruzi (strain CL Brener)	Eukaryota	Trypanosoma cruzi strain CL Brener	k__Eukaryota	p__Euglenozoa	c__Kinetoplastea	o__Trypanosomatida	f__Trypanosomatidae	g__Trypanosoma	s__Trypanosoma cruzi
5722	UP000001542	Trichomonas vaginalis	Eukaryota	Trichomonas vaginalis	k__Eukaryota	p__Parabasalia	c__unclassified Parabasalia class	o__Trichomonadida	f__Trichomonadidae	g__Trichomonas	s__Trichomonas vaginalis
5759	UP000001926	Entamoeba histolytica	Eukaryota	Entamoeba histolytica	k__Eukaryota	p__Evosea	c__unclassified Evosea class	o__Mastigamoebida	f__Entamoebidae	g__Entamoeba	s__Entamoeba histolytica
5786	UP000001064	Dictyostelium purpureum	Eukaryota	Dictyostelium purpureum	k__Eukaryota	p__Evosea	c__Eumycetozoa	o__Dictyosteliales	f__Dictyosteliaceae	g__Dictyostelium	s__Dictyostelium purpureum
5811	UP000002437	Toxoplasma gondii	Eukaryota	Toxoplasma gondii	k__Eukaryota	p__Apicomplexa	c__Conoidasida	o__Eucoccidiorida	f__Sarcocystidae	g__Toxoplasma	s__Toxoplasma gondii
5823	UP000074855	Plasmodium berghei (strain Anka)	Eukaryota	Plasmodium berghei ANKA	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Haemosporida	f__Plasmodiidae	g__Plasmodium	s__Plasmodium berghei
5851	UP000031513	Plasmodium knowlesi (strain H)	Eukaryota	Plasmodium knowlesi strain H	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Haemosporida	f__Plasmodiidae	g__Plasmodium	s__Plasmodium knowlesi
5865	UP000002173	Babesia bovis	Eukaryota	Babesia bovis	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Piroplasmida	f__Babesiidae	g__Babesia	s__Babesia bovis
5874	UP000001950	Theileria annulata	Eukaryota	Theileria annulata	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Piroplasmida	f__Theileriidae	g__Theileria	s__Theileria annulata
5875	UP000001949	Theileria parva	Eukaryota	Theileria parva	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Piroplasmida	f__Theileriidae	g__Theileria	s__Theileria parva
5888	UP000000600	Paramecium tetraurelia	Eukaryota	Paramecium tetraurelia	k__Eukaryota	p__Ciliophora	c__Oligohymenophorea	o__Peniculida	f__Parameciidae	g__Paramecium	s__Paramecium tetraurelia
59463	UP000001074	Myotis lucifugus	Eukaryota	Myotis lucifugus	k__Eukaryota	p__Chordata	c__Mammalia	o__Chiroptera	f__Vespertilionidae	g__Myotis	s__Myotis lucifugus
59729	UP000007754	Taeniopygia guttata	Eukaryota	Taeniopygia guttata	k__Eukaryota	p__Chordata	c__Aves	o__Passeriformes	f__Estrildidae	g__Taeniopygia	s__Taeniopygia guttata
6183	UP000008854	Schistosoma mansoni	Eukaryota	Schistosoma mansoni	k__Eukaryota	p__Platyhelminthes	c__Trematoda	o__Strigeidida	f__Schistosomatidae	g__Schistosoma	s__Schistosoma mansoni
61853	UP000001073	Nomascus leucogenys	Eukaryota	Nomascus leucogenys	k__Eukaryota	p__Chordata	c__Mammalia	o__Primates	f__Hylobatidae	g__Nomascus	s__Nomascus leucogenys
6238	UP000008549	Caenorhabditis briggsae	Eukaryota	Caenorhabditis briggsae	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Rhabditidae	g__Caenorhabditis	s__Caenorhabditis briggsae
6239	UP000001940	Caenorhabditis elegans	Eukaryota	Caenorhabditis elegans	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Rhabditidae	g__Caenorhabditis	s__Caenorhabditis elegans
656061	UP000006911	Tuber melanosporum (strain Mel28)	Eukaryota	Tuber melanosporum Mel28	k__Eukaryota	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Tuberaceae	g__Tuber	s__Tuber melanosporum
660122	UP000005206	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)	Eukaryota	Fusarium vanettenii 77-13-4	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium vanettenii
665079	UP000001312	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1)	Eukaryota	Sclerotinia sclerotiorum 1980 UF-70	k__Eukaryota	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Sclerotinia	s__Sclerotinia sclerotiorum
6669	UP000000305	Daphnia pulex	Eukaryota	Daphnia pulex	k__Eukaryota	p__Arthropoda	c__Branchiopoda	o__Diplostraca	f__Daphniidae	g__Daphnia	s__Daphnia pulex
684364	UP000007241	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211)	Eukaryota	Batrachochytrium dendrobatidis JAM81	k__Eukaryota	p__Chytridiomycota	c__Chytridiomycetes	o__Rhizophydiales	f__unclassified Rhizophydiales family	g__Batrachochytrium	s__Batrachochytrium dendrobatidis
69293	UP000007635	Gasterosteus aculeatus	Eukaryota	Gasterosteus aculeatus	k__Eukaryota	p__Chordata	c__Actinopteri	o__Perciformes	f__Gasterosteidae	g__Gasterosteus	s__Gasterosteus aculeatus
6945	UP000001555	Ixodes scapularis	Eukaryota	Ixodes scapularis	k__Eukaryota	p__Arthropoda	c__Arachnida	o__Ixodida	f__Ixodidae	g__Ixodes	s__Ixodes scapularis
7091	UP000005204	Bombyx mori	Eukaryota	Bombyx mori	k__Eukaryota	p__Arthropoda	c__Insecta	o__Lepidoptera	f__Bombycidae	g__Bombyx	s__Bombyx mori
7159	UP000008820	Aedes aegypti	Eukaryota	Aedes aegypti	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Culicidae	g__Aedes	s__Aedes aegypti
7165	UP000007062	Anopheles gambiae	Eukaryota	Anopheles gambiae	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Culicidae	g__Anopheles	s__Anopheles gambiae
7227	UP000000803	Drosophila melanogaster	Eukaryota	Drosophila melanogaster	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila melanogaster
73239	UP000008553	Plasmodium yoelii yoelii	Eukaryota	Plasmodium yoelii yoelii	k__Eukaryota	p__Apicomplexa	c__Aconoidasida	o__Haemosporida	f__Plasmodiidae	g__Plasmodium	s__Plasmodium yoelii
7460	UP000005203	Apis mellifera	Eukaryota	Apis mellifera	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Apidae	g__Apis	s__Apis mellifera
7668	UP000007110	Strongylocentrotus purpuratus	Eukaryota	Strongylocentrotus purpuratus	k__Eukaryota	p__Echinodermata	c__Echinoidea	o__Camarodonta	f__Strongylocentrotidae	g__Strongylocentrotus	s__Strongylocentrotus purpuratus
7719	UP000008144	Ciona intestinalis	Eukaryota	Ciona intestinalis	k__Eukaryota	p__Chordata	c__Ascidiacea	o__Phlebobranchia	f__Cionidae	g__Ciona	s__Ciona intestinalis
7739	UP000001554	Branchiostoma floridae	Eukaryota	Branchiostoma floridae	k__Eukaryota	p__Chordata	c__Leptocardii	o__Amphioxiformes	f__Branchiostomatidae	g__Branchiostoma	s__Branchiostoma floridae
7897	UP000008672	Latimeria chalumnae	Eukaryota	Latimeria chalumnae	k__Eukaryota	p__Chordata	c__unclassified Chordata class	o__Coelacanthiformes	f__Coelacanthidae	g__Latimeria	s__Latimeria chalumnae
7955	UP000000437	Danio rerio	Eukaryota	Danio rerio	k__Eukaryota	p__Chordata	c__Actinopteri	o__Cypriniformes	f__Danionidae	g__Danio	s__Danio rerio
8090	UP000001038	Oryzias latipes	Eukaryota	Oryzias latipes	k__Eukaryota	p__Chordata	c__Actinopteri	o__Beloniformes	f__Adrianichthyidae	g__Oryzias	s__Oryzias latipes
8128	UP000005207	Oreochromis niloticus	Eukaryota	Oreochromis niloticus	k__Eukaryota	p__Chordata	c__Actinopteri	o__Cichliformes	f__Cichlidae	g__Oreochromis	s__Oreochromis niloticus
81824	UP000001357	Monosiga brevicollis	Eukaryota	Monosiga brevicollis	k__Eukaryota	p__unclassified Eukaryota phylum	c__Choanoflagellata	o__Craspedida	f__Salpingoecidae	g__Monosiga	s__Monosiga brevicollis
8364	UP000008143	Xenopus tropicalis	Eukaryota	Xenopus tropicalis	k__Eukaryota	p__Chordata	c__Amphibia	o__Anura	f__Pipidae	g__Xenopus	s__Xenopus tropicalis
9031	UP000000539	Gallus gallus	Eukaryota	Gallus gallus	k__Eukaryota	p__Chordata	c__Aves	o__Galliformes	f__Phasianidae	g__Gallus	s__Gallus gallus
