species_key	focal_taxid	query_level_taxid	query_level_name	member_orthodb_organism_id	member_taxid	member_scientific_name
celegans	6239	2759	Eukaryota	4432_0	4432	Nelumbo nucifera
celegans	6239	2759	Eukaryota	4442_0	4442	Camellia sinensis
celegans	6239	2759	Eukaryota	4460_0	4460	Colocasia esculenta
celegans	6239	2759	Eukaryota	4513_0	4513	Hordeum vulgare
celegans	6239	2759	Eukaryota	4522_0	4522	Lolium perenne
celegans	6239	2759	Eukaryota	4530_0	4530	Oryza sativa
celegans	6239	2759	Eukaryota	4533_0	4533	Oryza brachyantha
celegans	6239	2759	Eukaryota	4538_0	4538	Oryza glaberrima
celegans	6239	2759	Eukaryota	4540_0	4540	Panicum miliaceum
celegans	6239	2759	Eukaryota	4555_0	4555	Setaria italica
celegans	6239	2759	Eukaryota	4556_0	4556	Setaria viridis
celegans	6239	2759	Eukaryota	4558_0	4558	Sorghum bicolor
celegans	6239	2759	Eukaryota	4565_0	4565	Triticum aestivum
celegans	6239	2759	Eukaryota	4567_0	4567	Triticum turgidum subsp. durum
celegans	6239	2759	Eukaryota	4572_0	4572	Triticum urartu
celegans	6239	2759	Eukaryota	4577_0	4577	Zea mays
celegans	6239	2759	Eukaryota	4615_0	4615	Ananas comosus
celegans	6239	2759	Eukaryota	4639_0	4639	Ensete ventricosum
celegans	6239	2759	Eukaryota	4686_0	4686	Asparagus officinalis
celegans	6239	2759	Eukaryota	4779_0	4779	Bremia lactucae
celegans	6239	2759	Eukaryota	4781_0	4781	Plasmopara halstedii
celegans	6239	2759	Eukaryota	4784_0	4784	Phytophthora capsici
celegans	6239	2759	Eukaryota	4785_0	4785	Phytophthora cinnamomi
celegans	6239	2759	Eukaryota	4787_0	4787	Phytophthora infestans
celegans	6239	2759	Eukaryota	4790_0	4792	Phytophthora nicotianae
celegans	6239	2759	Eukaryota	4792_0	4792	Phytophthora nicotianae
celegans	6239	2759	Eukaryota	4795_0	4795	Phytophthora megakarya
celegans	6239	2759	Eukaryota	611791_0	4796	Phytophthora palmivora
celegans	6239	2759	Eukaryota	4803_0	4803	Lagenidium giganteum
celegans	6239	2759	Eukaryota	4814_0	4814	Chytriomyces hyalinus
celegans	6239	2759	Eukaryota	4829_0	4829	Absidia glauca
celegans	6239	2759	Eukaryota	4846_0	4846	Rhizopus stolonifer
celegans	6239	2759	Eukaryota	4850_0	4850	Blakeslea trispora
celegans	6239	2759	Eukaryota	4864_0	4864	Coemansia mojavensis
celegans	6239	2759	Eukaryota	4866_0	4866	Dipsacomyces acuminosporus
celegans	6239	2759	Eukaryota	4868_0	4868	Linderina macrospora
celegans	6239	2759	Eukaryota	4874_0	4874	Gigaspora margarita
celegans	6239	2759	Eukaryota	4896_0	4896	Schizosaccharomyces pombe
celegans	6239	2759	Eukaryota	4903_0	4903	Cyberlindnera jadinii
celegans	6239	2759	Eukaryota	4909_0	4909	Pichia kudriavzevii
celegans	6239	2759	Eukaryota	4911_0	4911	Kluyveromyces marxianus
celegans	6239	2759	Eukaryota	4922_0	4922	Komagataella pastoris
celegans	6239	2759	Eukaryota	4924_0	4924	Scheffersomyces stipitis
celegans	6239	2759	Eukaryota	4926_0	4926	Pichia membranifaciens
celegans	6239	2759	Eukaryota	4932_0	4932	Saccharomyces cerevisiae
celegans	6239	2759	Eukaryota	4950_0	4950	Torulaspora delbrueckii
celegans	6239	2759	Eukaryota	4952_0	4952	Yarrowia lipolytica
celegans	6239	2759	Eukaryota	4954_0	4954	Zygosaccharomyces bailii
celegans	6239	2759	Eukaryota	4955_0	4955	Lachancea fermentati
celegans	6239	2759	Eukaryota	4956_0	4956	Zygosaccharomyces rouxii
celegans	6239	2759	Eukaryota	4972_0	4972	Dioszegia hungarica
celegans	6239	2759	Eukaryota	4999_0	4999	Kockovaella imperatae
celegans	6239	2759	Eukaryota	5005_0	5005	Sporobolomyces salmonicolor
celegans	6239	2759	Eukaryota	5007_0	5007	Brettanomyces bruxellensis
celegans	6239	2759	Eukaryota	5016_0	5016	Bipolaris maydis
celegans	6239	2759	Eukaryota	5022_0	5022	Plenodomus lingam
celegans	6239	2759	Eukaryota	5025_0	5025	Venturia inaequalis
celegans	6239	2759	Eukaryota	5037_0	5037	Histoplasma capsulatum
celegans	6239	2759	Eukaryota	5037_1	5037	Histoplasma capsulatum
celegans	6239	2759	Eukaryota	5046_0	5046	Sarocladium strictum
celegans	6239	2759	Eukaryota	5059_0	5059	Aspergillus flavus
celegans	6239	2759	Eukaryota	5061_0	5061	Aspergillus niger
celegans	6239	2759	Eukaryota	5061_1	5061	Aspergillus niger
celegans	6239	2759	Eukaryota	5061_2	5061	Aspergillus niger
celegans	6239	2759	Eukaryota	5062_0	5062	Aspergillus oryzae
celegans	6239	2759	Eukaryota	5066_0	5066	Aspergillus wentii
celegans	6239	2759	Eukaryota	5067_0	5067	Aspergillus parasiticus
celegans	6239	2759	Eukaryota	5068_0	5068	Aspergillus tubingensis
celegans	6239	2759	Eukaryota	5074_0	5074	Penicillium brevicompactum
celegans	6239	2759	Eukaryota	5075_0	5075	Penicillium camemberti
celegans	6239	2759	Eukaryota	5076_0	5076	Penicillium chrysogenum
celegans	6239	2759	Eukaryota	5077_0	5077	Penicillium citrinum
celegans	6239	2759	Eukaryota	5078_0	5078	Penicillium griseofulvum
celegans	6239	2759	Eukaryota	5082_0	5082	Penicillium roqueforti
celegans	6239	2759	Eukaryota	5083_0	5083	Penicillium canescens
celegans	6239	2759	Eukaryota	5098_0	5098	Monascus purpureus
celegans	6239	2759	Eukaryota	5111_0	5111	Claviceps purpurea
celegans	6239	2759	Eukaryota	5127_0	5127	Fusarium fujikuroi
celegans	6239	2759	Eukaryota	5141_0	5141	Neurospora crassa
celegans	6239	2759	Eukaryota	5147_0	5147	Sordaria macrospora
celegans	6239	2759	Eukaryota	5207_0	5207	Cryptococcus neoformans
celegans	6239	2759	Eukaryota	5210_0	5210	Filobasidium floriforme
celegans	6239	2759	Eukaryota	5217_0	5217	Tremella mesenterica
celegans	6239	2759	Eukaryota	5286_0	5286	Rhodotorula toruloides
celegans	6239	2759	Eukaryota	5286_1	5286	Rhodotorula toruloides
celegans	6239	2759	Eukaryota	5286_2	5286	Rhodotorula toruloides
celegans	6239	2759	Eukaryota	5288_0	5288	Rhodotorula diobovata
celegans	6239	2759	Eukaryota	5319_0	5319	Irpex lacteus
celegans	6239	2759	Eukaryota	5321_0	5321	Pleurotus cornucopiae
celegans	6239	2759	Eukaryota	5322_0	5322	Pleurotus ostreatus
celegans	6239	2759	Eukaryota	5323_0	5323	Pleurotus eryngii
celegans	6239	2759	Eukaryota	5353_0	5353	Lentinula edodes
celegans	6239	2759	Eukaryota	5353_1	5353	Lentinula edodes
celegans	6239	2759	Eukaryota	5364_0	5364	Heliocybe sulcata
celegans	6239	2759	Eukaryota	5383_0	5383	Suillus spraguei
celegans	6239	2759	Eukaryota	5417_0	5417	Vanrija humicola
celegans	6239	2759	Eukaryota	5454_0	5454	Ascochyta rabiei
celegans	6239	2759	Eukaryota	5466_0	5466	Colletotrichum trifolii
celegans	6239	2759	Eukaryota	5467_0	5467	Colletotrichum truncatum
celegans	6239	2759	Eukaryota	5476_0	5476	Candida albicans
celegans	6239	2759	Eukaryota	5477_0	5477	[Candida] boidinii
celegans	6239	2759	Eukaryota	5477_1	5477	[Candida] boidinii
celegans	6239	2759	Eukaryota	5478_0	5478	Nakaseomyces glabratus
celegans	6239	2759	Eukaryota	5480_0	5480	Candida parapsilosis
celegans	6239	2759	Eukaryota	5481_0	5481	Diutina rugosa
celegans	6239	2759	Eukaryota	5482_0	5482	Candida tropicalis
celegans	6239	2759	Eukaryota	5486_0	5486	Candida viswanathii
celegans	6239	2759	Eukaryota	5499_0	5499	Fulvia fulva
celegans	6239	2759	Eukaryota	5501_0	5501	Coccidioides immitis
celegans	6239	2759	Eukaryota	5507_0	5507	Fusarium oxysporum
celegans	6239	2759	Eukaryota	5507_1	5507	Fusarium oxysporum
celegans	6239	2759	Eukaryota	5507_2	5507	Fusarium oxysporum
celegans	6239	2759	Eukaryota	5507_3	5507	Fusarium oxysporum
celegans	6239	2759	Eukaryota	5507_4	5507	Fusarium oxysporum
celegans	6239	2759	Eukaryota	5507_5	5507	Fusarium oxysporum
celegans	6239	2759	Eukaryota	5514_0	5514	Fusarium sporotrichioides
celegans	6239	2759	Eukaryota	5516_0	5516	Fusarium culmorum
celegans	6239	2759	Eukaryota	5518_0	5518	Fusarium graminearum
celegans	6239	2759	Eukaryota	5520_0	5520	Microdochium nivale
celegans	6239	2759	Eukaryota	5530_0	5530	Metarhizium anisopliae
celegans	6239	2759	Eukaryota	5537_0	5537	Rhodotorula mucilaginosa
celegans	6239	2759	Eukaryota	5539_0	5539	Scytalidium lignicola
celegans	6239	2759	Eukaryota	5544_0	5544	Trichoderma harzianum
celegans	6239	2759	Eukaryota	5544_1	5544	Trichoderma harzianum
celegans	6239	2759	Eukaryota	5544_2	5544	Trichoderma harzianum
celegans	6239	2759	Eukaryota	5551_0	5551	Trichophyton rubrum
celegans	6239	2759	Eukaryota	5580_0	5580	Aureobasidium pullulans
celegans	6239	2759	Eukaryota	5599_0	5599	Alternaria alternata
celegans	6239	2759	Eukaryota	5627_0	5627	Grifola frondosa
celegans	6239	2759	Eukaryota	5632_0	5632	Lenzites betulinus
celegans	6239	2759	Eukaryota	5643_0	5643	Trametes cinnabarina
celegans	6239	2759	Eukaryota	5660_0	5660	Leishmania braziliensis
celegans	6239	2759	Eukaryota	5661_0	5661	Leishmania donovani
celegans	6239	2759	Eukaryota	5663_0	5663	Leishmania enriettii
celegans	6239	2759	Eukaryota	5671_0	5671	Leishmania infantum
celegans	6239	2759	Eukaryota	5679_0	5679	Leishmania panamensis
celegans	6239	2759	Eukaryota	5684_0	5684	Leptomonas seymouri
