seed	protocol	species	bio_input__centroid_distance	bio_input__silhouette_score	bio_input__davies_bouldin_index	bio_esm2_input__centroid_distance	bio_esm2_input__silhouette_score	bio_esm2_input__davies_bouldin_index	bio_hidden__centroid_distance	bio_hidden__silhouette_score	bio_hidden__davies_bouldin_index	bio_esm2_hidden__centroid_distance	bio_esm2_hidden__silhouette_score	bio_esm2_hidden__davies_bouldin_index
1029	fgraminearum_newlabel	fgraminearum	2.6864843368530273	0.1295320838689804	6.007790224993793	13.08339786529541	0.009185663424432278	5.592016398438006	3.428318500518799	-0.09334962069988251	2.9652416081945683	23.47597885131836	-0.16643142700195312	2.1493990199101036
1030	fgraminearum_newlabel	fgraminearum	2.6864843368530273	0.1295320838689804	6.007790224993793	13.08339786529541	0.009185663424432278	5.592016398438006	3.8082275390625	-0.020123116672039032	2.690186924450532	24.104446411132812	-0.16016638278961182	2.1112704450941724
1031	fgraminearum_newlabel	fgraminearum	2.6864843368530273	0.1295320838689804	6.007790224993793	13.08339786529541	0.009185663424432278	5.592016398438006	3.4446024894714355	-0.08969317376613617	2.9032860933913462	23.661314010620117	-0.168943852186203	2.019780368515366
1032	fgraminearum_newlabel	fgraminearum	2.6864843368530273	0.1295320838689804	6.007790224993793	13.08339786529541	0.009185663424432278	5.592016398438006	3.3915860652923584	-0.07250335812568665	2.8383781695949084	25.616313934326172	-0.1827879250049591	2.0648147653429256
1033	fgraminearum_newlabel	fgraminearum	2.6864843368530273	0.1295320838689804	6.007790224993793	13.08339786529541	0.009185663424432278	5.592016398438006	3.4633305072784424	-0.08653482049703598	2.8123848895958377	24.385976791381836	-0.16209934651851654	2.0724658733310544
1029	scerevisiae	scerevisiae	4.017195701599121	0.06377463042736053	4.84108692658611	8.511728286743164	-0.012594479136168957	8.283249370460808	4.2807135581970215	0.03140733763575554	2.7249805518531427	15.850019454956055	-0.0811719000339508	2.789618888722142
1030	scerevisiae	scerevisiae	4.017195701599121	0.06377463042736053	4.84108692658611	8.511728286743164	-0.012594479136168957	8.283249370460808	3.87837290763855	0.030010178685188293	3.0682967431964845	15.521393775939941	-0.07519044727087021	2.867121534210082
1031	scerevisiae	scerevisiae	4.017195701599121	0.06377463042736053	4.84108692658611	8.511728286743164	-0.012594479136168957	8.283249370460808	3.8511898517608643	0.05842261761426926	3.0968639394609268	14.00820541381836	-0.0688219666481018	3.226574183159779
1032	scerevisiae	scerevisiae	4.017195701599121	0.06377463042736053	4.84108692658611	8.511728286743164	-0.012594479136168957	8.283249370460808	3.940121650695801	0.054363906383514404	3.0304194914240425	15.892976760864258	-0.10375519096851349	2.6722592779973295
1033	scerevisiae	scerevisiae	4.017195701599121	0.06377463042736053	4.84108692658611	8.511728286743164	-0.012594479136168957	8.283249370460808	4.042687892913818	0.03288443759083748	3.0750285821469414	14.917485237121582	-0.08650890737771988	2.8682806372843634
