protocol	species	n_seeds	stable_seed_threshold	representative_seed	total_test_genes	total_essential_test_genes	ever_rescued_genes	stable_rescued_genes_ge2	high_confidence_rescued_genes_ge4	stable_rescued_tier_genes_ge2_lt4	seed_specific_rescued_genes_1seed	not_rescued_essential_genes	stable_FN_to_TP_rescued_genes_ge2	ever_FN_to_TP_rescued_genes	stable_FP_to_TN_corrected_genes_ge2	ever_FP_to_TN_corrected_genes	stable_persistent_FN_genes_ge2	ever_persistent_FN_genes	stable_persistent_FP_genes_ge2	ever_persistent_FP_genes
fgraminearum_newlabel	fgraminearum	5	2	1029	2393	219	36	23	12	11	13	183	23	36	194	300	38	42	164	203
scerevisiae	scerevisiae	5	2	1029	1126	210	23	16	10	6	7	187	16	23	173	209	37	49	73	94
