protocol	species	seed	subset	feature_group	full_auprc	drop_auprc	delta_auprc	full_mcc	drop_mcc	delta_mcc	n_test_genes	n_positive_test_genes
fgraminearum_newlabel	fgraminearum	1029	test	ESM2	0.5388437611958251	0.3433124189208631	0.195531342274962	0.4994610654546409	0.28863309461118597	0.21082797084345495	2393	219
fgraminearum_newlabel	fgraminearum	1029	test	EXP	0.5388437611958251	0.5186829039372188	0.02016085725860628	0.4994610654546409	0.4908325361080921	0.008628529346548841	2393	219
fgraminearum_newlabel	fgraminearum	1029	test	ORT	0.5388437611958251	0.5286143511318303	0.010229410063994804	0.4994610654546409	0.4899701842882066	0.009490881166434317	2393	219
fgraminearum_newlabel	fgraminearum	1029	test	SUB	0.5388437611958251	0.5140841961840842	0.024759565011740925	0.4994610654546409	0.479814611294161	0.019646454160479943	2393	219
fgraminearum_newlabel	fgraminearum	1030	test	ESM2	0.5436111341873469	0.3472241762191706	0.19638695796817623	0.494752395203908	0.2832867437508004	0.21146565145310764	2393	219
fgraminearum_newlabel	fgraminearum	1030	test	EXP	0.5436111341873469	0.5179842245789905	0.02562690960835634	0.494752395203908	0.47634007466115125	0.018412320542756766	2393	219
fgraminearum_newlabel	fgraminearum	1030	test	ORT	0.5436111341873469	0.5315201018617602	0.012091032325586615	0.494752395203908	0.49179035092632617	0.0029620442775818434	2393	219
fgraminearum_newlabel	fgraminearum	1030	test	SUB	0.5436111341873469	0.5150487946209397	0.02856233956640719	0.494752395203908	0.48758120421031703	0.007171190993590981	2393	219
fgraminearum_newlabel	fgraminearum	1031	test	ESM2	0.529392323093059	0.35729938117934956	0.17209294191370939	0.5036103423093002	0.345863576036406	0.15774676627289425	2393	219
fgraminearum_newlabel	fgraminearum	1031	test	EXP	0.529392323093059	0.5107545843124001	0.018637738780658886	0.5036103423093002	0.48658558235465577	0.017024759954644475	2393	219
fgraminearum_newlabel	fgraminearum	1031	test	ORT	0.529392323093059	0.5204359035685605	0.008956419524498438	0.5036103423093002	0.48658558235465577	0.017024759954644475	2393	219
fgraminearum_newlabel	fgraminearum	1031	test	SUB	0.529392323093059	0.5098568529280123	0.019535470165046642	0.5036103423093002	0.4917012138943406	0.011909128414959613	2393	219
fgraminearum_newlabel	fgraminearum	1032	test	ESM2	0.594742929954417	0.3603818231885064	0.2343611067659106	0.5114675363484444	0.2968751106705291	0.21459242567791537	2393	219
fgraminearum_newlabel	fgraminearum	1032	test	EXP	0.594742929954417	0.5767242559956531	0.018018673958763887	0.5114675363484444	0.4994254507252584	0.012042085623186038	2393	219
fgraminearum_newlabel	fgraminearum	1032	test	ORT	0.594742929954417	0.589224493455548	0.005518436498869073	0.5114675363484444	0.5078793230444425	0.0035882133040019415	2393	219
fgraminearum_newlabel	fgraminearum	1032	test	SUB	0.594742929954417	0.5644870205229802	0.030255909431436856	0.5114675363484444	0.4840097771070227	0.027457759241421742	2393	219
fgraminearum_newlabel	fgraminearum	1033	test	ESM2	0.5248441867244971	0.3592527312986646	0.16559145542583248	0.49220989168014156	0.2860439774183468	0.20616591426179476	2393	219
fgraminearum_newlabel	fgraminearum	1033	test	EXP	0.5248441867244971	0.5018413072083315	0.02300287951616553	0.49220989168014156	0.4748155139698868	0.01739437771025476	2393	219
fgraminearum_newlabel	fgraminearum	1033	test	ORT	0.5248441867244971	0.5068513964558643	0.017992790268632763	0.49220989168014156	0.475541883394543	0.016668008285598557	2393	219
fgraminearum_newlabel	fgraminearum	1033	test	SUB	0.5248441867244971	0.497817456380964	0.02702673034353309	0.49220989168014156	0.4725812186212353	0.019628673058906254	2393	219
scerevisiae	scerevisiae	1029	test	ESM2	0.6648790299911831	0.33084580398226	0.3340332260089231	0.5000935453502413	0.21695384924084293	0.2831396961093984	1126	210
scerevisiae	scerevisiae	1029	test	EXP	0.6648790299911831	0.6012763926314135	0.06360263735976956	0.5000935453502413	0.4685401497462658	0.03155339560397552	1126	210
scerevisiae	scerevisiae	1029	test	ORT	0.6648790299911831	0.6257552482321794	0.03912378175900366	0.5000935453502413	0.4835190188426714	0.01657452650756991	1126	210
scerevisiae	scerevisiae	1029	test	SUB	0.6648790299911831	0.5748965370352042	0.08998249295597893	0.5000935453502413	0.43773399666808754	0.062359548682153765	1126	210
scerevisiae	scerevisiae	1030	test	ESM2	0.6803940176933342	0.33253330561494987	0.3478607120783843	0.5195111501231939	0.17558466629774064	0.3439264838254533	1126	210
scerevisiae	scerevisiae	1030	test	EXP	0.6803940176933342	0.6267752791413945	0.05361873855193966	0.5195111501231939	0.4832847934417093	0.036226356681484606	1126	210
scerevisiae	scerevisiae	1030	test	ORT	0.6803940176933342	0.638476187133066	0.04191783056026821	0.5195111501231939	0.4931100195545197	0.026401130568674214	1126	210
scerevisiae	scerevisiae	1030	test	SUB	0.6803940176933342	0.6106784797198423	0.06971553797349184	0.5195111501231939	0.46539350552522374	0.054117644597970194	1126	210
scerevisiae	scerevisiae	1031	test	ESM2	0.6758060202321905	0.3327826947026595	0.343023325529531	0.4984390656746152	0.1227511168476043	0.3756879488270109	1126	210
scerevisiae	scerevisiae	1031	test	EXP	0.6758060202321905	0.6207341343748297	0.05507188585736078	0.4984390656746152	0.4940515903819936	0.004387475292621623	1126	210
scerevisiae	scerevisiae	1031	test	ORT	0.6758060202321905	0.6392827476900869	0.036523272542103635	0.4984390656746152	0.5008502620548191	-0.0024111963802038727	1126	210
scerevisiae	scerevisiae	1031	test	SUB	0.6758060202321905	0.5942230454712694	0.08158297476092113	0.4984390656746152	0.4641476363978949	0.0342914292767203	1126	210
scerevisiae	scerevisiae	1032	test	ESM2	0.6657723323623557	0.3325218196339599	0.3332505127283958	0.5002918232413893	0.21824462177859286	0.2820472014627965	1126	210
scerevisiae	scerevisiae	1032	test	EXP	0.6657723323623557	0.6015707362952216	0.06420159606713405	0.5002918232413893	0.45987267634640194	0.04041914689498738	1126	210
scerevisiae	scerevisiae	1032	test	ORT	0.6657723323623557	0.6234443562852966	0.04232797607705907	0.5002918232413893	0.4557859108539226	0.044505912387466706	1126	210
scerevisiae	scerevisiae	1032	test	SUB	0.6657723323623557	0.5767042146469243	0.08906811771543133	0.5002918232413893	0.42653600908577	0.07375581415561933	1126	210
scerevisiae	scerevisiae	1033	test	ESM2	0.6694524691114796	0.3337816771019242	0.3356707920095554	0.5153174487977039	0.21123348591490804	0.3040839628827959	1126	210
scerevisiae	scerevisiae	1033	test	EXP	0.6694524691114796	0.6092542810811131	0.06019818803036647	0.5153174487977039	0.47648473201133507	0.03883271678636885	1126	210
