raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00229	ph1_gene_id	FGRAMPH1_01G00229	fgraminearum::FGRAMPH1_01G00229	resolved	exact_mainline_graph_id
FGRAMPH1_01G00233	ph1_gene_id	FGRAMPH1_01G00233	fgraminearum::FGRAMPH1_01G00233	resolved	exact_mainline_graph_id
FGRAMPH1_01G00237	ph1_gene_id	FGRAMPH1_01G00237	fgraminearum::FGRAMPH1_01G00237	resolved	exact_mainline_graph_id
FGRAMPH1_01G00239	ph1_gene_id	FGRAMPH1_01G00239	fgraminearum::FGRAMPH1_01G00239	resolved	exact_mainline_graph_id
FGRAMPH1_01G00245	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00247	ph1_gene_id	FGRAMPH1_01G00247	fgraminearum::FGRAMPH1_01G00247	resolved	exact_mainline_graph_id
FGRAMPH1_01G00255	ph1_gene_id	FGRAMPH1_01G00255	fgraminearum::FGRAMPH1_01G00255	resolved	exact_mainline_graph_id
FGRAMPH1_01G00257	ph1_gene_id	FGRAMPH1_01G00257	fgraminearum::FGRAMPH1_01G00257	resolved	exact_mainline_graph_id
FGRAMPH1_01G00261	ph1_gene_id	FGRAMPH1_01G00261	fgraminearum::FGRAMPH1_01G00261	resolved	exact_mainline_graph_id
FGRAMPH1_01G00267	ph1_gene_id	FGRAMPH1_01G00267	fgraminearum::FGRAMPH1_01G00267	resolved	exact_mainline_graph_id
FGRAMPH1_01G00269	ph1_gene_id	FGRAMPH1_01G00269	fgraminearum::FGRAMPH1_01G00269	resolved	exact_mainline_graph_id
FGRAMPH1_01G00271	ph1_gene_id	FGRAMPH1_01G00271	fgraminearum::FGRAMPH1_01G00271	resolved	exact_mainline_graph_id
FGRAMPH1_01G00273	ph1_gene_id	FGRAMPH1_01G00273	fgraminearum::FGRAMPH1_01G00273	resolved	exact_mainline_graph_id
FGRAMPH1_01G00281	ph1_gene_id	FGRAMPH1_01G00281	fgraminearum::FGRAMPH1_01G00281	resolved	exact_mainline_graph_id
FGRAMPH1_01G00289	ph1_gene_id	FGRAMPH1_01G00289	fgraminearum::FGRAMPH1_01G00289	resolved	exact_mainline_graph_id
FGRAMPH1_01G00291	ph1_gene_id	FGRAMPH1_01G00291	fgraminearum::FGRAMPH1_01G00291	resolved	exact_mainline_graph_id
FGRAMPH1_01G00295	ph1_gene_id	FGRAMPH1_01G00295	fgraminearum::FGRAMPH1_01G00295	resolved	exact_mainline_graph_id
FGRAMPH1_01G00297	ph1_gene_id	FGRAMPH1_01G00297	fgraminearum::FGRAMPH1_01G00297	resolved	exact_mainline_graph_id
FGRAMPH1_01G00313	ph1_gene_id	FGRAMPH1_01G00313	fgraminearum::FGRAMPH1_01G00313	resolved	exact_mainline_graph_id
FGRAMPH1_01G00315	ph1_gene_id	FGRAMPH1_01G00315	fgraminearum::FGRAMPH1_01G00315	resolved	exact_mainline_graph_id
FGRAMPH1_01G00327	ph1_gene_id	FGRAMPH1_01G00327	fgraminearum::FGRAMPH1_01G00327	resolved	exact_mainline_graph_id
FGRAMPH1_01G00329	ph1_gene_id	FGRAMPH1_01G00329	fgraminearum::FGRAMPH1_01G00329	resolved	exact_mainline_graph_id
FGRAMPH1_01G00347	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00351	ph1_gene_id	FGRAMPH1_01G00351	fgraminearum::FGRAMPH1_01G00351	resolved	exact_mainline_graph_id
FGRAMPH1_01G00361	ph1_gene_id	FGRAMPH1_01G00361	fgraminearum::FGRAMPH1_01G00361	resolved	exact_mainline_graph_id
FGRAMPH1_01G00363	ph1_gene_id	FGRAMPH1_01G00363	fgraminearum::FGRAMPH1_01G00363	resolved	exact_mainline_graph_id
FGRAMPH1_01G00365	ph1_gene_id	FGRAMPH1_01G00365	fgraminearum::FGRAMPH1_01G00365	resolved	exact_mainline_graph_id
FGRAMPH1_01G00375	ph1_gene_id	FGRAMPH1_01G00375	fgraminearum::FGRAMPH1_01G00375	resolved	exact_mainline_graph_id
FGRAMPH1_01G00377	ph1_gene_id	FGRAMPH1_01G00377	fgraminearum::FGRAMPH1_01G00377	resolved	exact_mainline_graph_id
FGRAMPH1_01G00379	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00381	ph1_gene_id	FGRAMPH1_01G00381	fgraminearum::FGRAMPH1_01G00381	resolved	exact_mainline_graph_id
