raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00441	ph1_gene_id	FGRAMPH1_01G00441	fgraminearum::FGRAMPH1_01G00441	resolved	exact_mainline_graph_id
FGRAMPH1_01G00443	ph1_gene_id	FGRAMPH1_01G00443	fgraminearum::FGRAMPH1_01G00443	resolved	exact_mainline_graph_id
FGRAMPH1_01G00447	ph1_gene_id	FGRAMPH1_01G00447	fgraminearum::FGRAMPH1_01G00447	resolved	exact_mainline_graph_id
FGRAMPH1_01G00455	ph1_gene_id	FGRAMPH1_01G00455	fgraminearum::FGRAMPH1_01G00455	resolved	exact_mainline_graph_id
FGRAMPH1_01G00457	ph1_gene_id	FGRAMPH1_01G00457	fgraminearum::FGRAMPH1_01G00457	resolved	exact_mainline_graph_id
FGRAMPH1_01G00465	ph1_gene_id	FGRAMPH1_01G00465	fgraminearum::FGRAMPH1_01G00465	resolved	exact_mainline_graph_id
FGRAMPH1_01G00477	ph1_gene_id	FGRAMPH1_01G00477	fgraminearum::FGRAMPH1_01G00477	resolved	exact_mainline_graph_id
FGRAMPH1_01G00481	ph1_gene_id	FGRAMPH1_01G00481	fgraminearum::FGRAMPH1_01G00481	resolved	exact_mainline_graph_id
FGRAMPH1_01G00483	ph1_gene_id	FGRAMPH1_01G00483	fgraminearum::FGRAMPH1_01G00483	resolved	exact_mainline_graph_id
FGRAMPH1_01G00485	ph1_gene_id	FGRAMPH1_01G00485	fgraminearum::FGRAMPH1_01G00485	resolved	exact_mainline_graph_id
FGRAMPH1_01G00489	ph1_gene_id	FGRAMPH1_01G00489	fgraminearum::FGRAMPH1_01G00489	resolved	exact_mainline_graph_id
FGRAMPH1_01G00499	ph1_gene_id	FGRAMPH1_01G00499	fgraminearum::FGRAMPH1_01G00499	resolved	exact_mainline_graph_id
FGRAMPH1_01G00503	ph1_gene_id	FGRAMPH1_01G00503	fgraminearum::FGRAMPH1_01G00503	resolved	exact_mainline_graph_id
FGRAMPH1_01G00507	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00511	ph1_gene_id	FGRAMPH1_01G00511	fgraminearum::FGRAMPH1_01G00511	resolved	exact_mainline_graph_id
FGRAMPH1_01G00513	ph1_gene_id	FGRAMPH1_01G00513	fgraminearum::FGRAMPH1_01G00513	resolved	exact_mainline_graph_id
FGRAMPH1_01G00521	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00525	ph1_gene_id	FGRAMPH1_01G00525	fgraminearum::FGRAMPH1_01G00525	resolved	exact_mainline_graph_id
FGRAMPH1_01G00557	ph1_gene_id	FGRAMPH1_01G00557	fgraminearum::FGRAMPH1_01G00557	resolved	exact_mainline_graph_id
FGRAMPH1_01G00585	ph1_gene_id	FGRAMPH1_01G00585	fgraminearum::FGRAMPH1_01G00585	resolved	exact_mainline_graph_id
FGRAMPH1_01G00589	ph1_gene_id	FGRAMPH1_01G00589	fgraminearum::FGRAMPH1_01G00589	resolved	exact_mainline_graph_id
FGRAMPH1_01G00609	ph1_gene_id	FGRAMPH1_01G00609	fgraminearum::FGRAMPH1_01G00609	resolved	exact_mainline_graph_id
FGRAMPH1_01G00619	ph1_gene_id	FGRAMPH1_01G00619	fgraminearum::FGRAMPH1_01G00619	resolved	exact_mainline_graph_id
FGRAMPH1_01G00627	ph1_gene_id	FGRAMPH1_01G00627	fgraminearum::FGRAMPH1_01G00627	resolved	exact_mainline_graph_id
