graph_condition	graph_family	model	feature_setting	model_feature_setting	n_runs	test_auprc_mean	test_auprc_sd	test_auprc_sem	test_mcc_mean	test_mcc_sd	test_mcc_sem	val_auprc_mean	val_auprc_sd	val_auprc_sem	val_mcc_mean	val_mcc_sd	val_mcc_sem	test_auroc_mean	test_auroc_sd	test_auroc_sem	test_accuracy_mean	test_accuracy_sd	test_accuracy_sem	error_bar_definition
STRING_300	STRING	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5497912364916027	0.02302148963248798	0.010295523152309955	0.5023376683637852	0.005491610367383724	0.00245592281748252	0.6670147070321564	0.011155439106408987	0.004988864032158001	0.545309986172756	0.008298810786871273	0.003711341010370537	0.9176868176414494	0.0018887642673601783	0.0008446810590579892	0.8871709151692437	0.014205648616011987	0.006352959193975722	mean_plus_minus_sd
STRING_700	STRING	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5921686597706242	0.010365909410204367	0.004635775617964343	0.519342653619738	0.007906820923492524	0.003536037814169389	0.6625431415263547	0.01953993634735814	0.008738525189742349	0.5501372896852941	0.031862091648330364	0.014249160566199003	0.9179060965415264	0.002300494920595404	0.0010288126048688608	0.9190973673213539	0.0036678827007925706	0.0016403270104935418	mean_plus_minus_sd
eFG	eFG	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5341976903557144	0.009168139991018509	0.0041001168494303394	0.4664148157577225	0.0026557059974820015	0.001187667827724728	0.6441881014678816	0.011300807697661524	0.005053874842524811	0.5113616071799102	0.021492190458009302	0.009611599769896227	0.913041633585798	0.0004393838929405129	0.00019649845056669534	0.9048892603426661	0.008187143766825541	0.0036614020008371197	mean_plus_minus_sd
