protocol	species	regime	model	feature_setting	feature_contract_group	label_regime	split_version	graph_source	graph_contract	threshold_strategy	evaluation_contract	label_manifest	split_manifest	config_used	is_deterministic	require_true_node2vec	embedding_method	embedding_backend	fallback_used	esm2_dim	n_runs	seed_list	run_ids	test_auroc_mean	test_auroc_std	test_auprc_mean	test_auprc_std	test_mcc_mean	test_mcc_std	test_f1_mean	test_f1_std	test_precision_mean	test_precision_std	test_recall_mean	test_recall_std	test_accuracy_mean	test_accuracy_std	test_specificity_mean	test_specificity_std	val_auroc_mean	val_auroc_std	val_auprc_mean	val_auprc_std	val_mcc_mean	val_mcc_std	val_f1_mean	val_f1_std	val_precision_mean	val_precision_std	val_recall_mean	val_recall_std	val_accuracy_mean	val_accuracy_std	val_specificity_mean	val_specificity_std	target	feature_label	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	ORT	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.693977801268499	0.021350871090637984	0.17503052284436865	0.04848817777453291	0.13046382951804802	0.016250848104926587	0.14118323662814358	0.01567711024873446	0.081191363485587	0.010981599137124173	0.575	0.08761061485180177	0.7147453083109919	0.08938632465253109	0.7204651162790697	0.09646605816857565	0.7440465116279069	0.01474326413993293	0.19215004525842302	0.02103777176703896	0.18125687524719533	0.021246281147493745	0.16812191789375924	0.022239746924418515	0.09642509123250467	0.01505767691031525	0.6954545454545455	0.0869596657714045	0.7174262734584451	0.08890210505657727	0.7183255813953489	0.09583725162665611	fgraminearum	ortholog	0.693977801268499	0.021350871090637984	0.17503052284436865	0.04848817777453291	0.13046382951804802	0.016250848104926587	0.14118323662814358	0.01567711024873446
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	EXP	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7294883720930233	0.007106724839891487	0.11333622065088429	0.005726374936403764	0.15701706240079608	0.007062184944387053	0.15706549515563933	0.003910326174645948	0.09021529834823919	0.002282880710769205	0.6068181818181818	0.019813177016093954	0.7438784629133155	0.006135708273019429	0.7494883720930232	0.006814231282534856	0.7670190274841437	0.004863516776985456	0.15019967877783874	0.008103065898511957	0.18871587404848267	0.005264759697428371	0.17419141744426986	0.0016723914310531195	0.09986752614936356	0.000844519278011591	0.6818181818181818	0.024896479886598478	0.7458445040214479	0.0076791960889868996	0.7484651162790698	0.008972766922260452	fgraminearum	expression	0.7294883720930233	0.007106724839891487	0.11333622065088429	0.005726374936403764	0.15701706240079608	0.007062184944387053	0.15706549515563933	0.003910326174645948
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	SUB	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7553324524312897	0.007254110470898003	0.16371048932949975	0.008916308268822776	0.14323102851278618	0.010607518914688894	0.14711895027417143	0.006918964121016606	0.0838634766587119	0.004304203675277367	0.6000000000000001	0.022034908442801475	0.726005361930295	0.014060235884400137	0.7311627906976744	0.014898248723764638	0.7866384778012685	0.006798912410366839	0.14854149465131813	0.007971108626417943	0.1660029895143619	0.01760085300070364	0.15859220252410633	0.010366582336986837	0.09016538150636	0.0061429776676204	0.6590909090909091	0.03803000120609434	0.7245755138516532	0.013975347847953257	0.7272558139534884	0.014606724782430133	fgraminearum	subloc	0.7553324524312897	0.007254110470898003	0.16371048932949975	0.008916308268822776	0.14323102851278618	0.010607518914688894	0.14711895027417143	0.006918964121016606
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	ORT_EXP	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7043076109936575	0.013064923321353466	0.18475208002816873	0.011609255347278174	0.14196677830339907	0.004766639996823297	0.158586682966616	0.0043588542372660355	0.09525953912830476	0.003503448040050923	0.475	0.019550739243278697	0.8015192135835567	0.01236477609038638	0.8148837209302325	0.013566733085743026	0.7332431289640592	0.0033281710119147366	0.2280508236624263	0.012466576060323833	0.21116494464660893	0.007961954358778518	0.20231115943483405	0.009569796249777024	0.12093009032484944	0.0074542147151991965	0.6227272727272727	0.018181818181818164	0.806076854334227	0.016507238447211896	0.8135813953488373	0.017870152411625113	fgraminearum	ortholog+expression	0.7043076109936575	0.013064923321353466	0.18475208002816873	0.011609255347278174	0.14196677830339907	0.004766639996823297	0.158586682966616	0.0043588542372660355
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	ORT_SUB	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7551897463002114	0.002694527016665961	0.18108079708358482	0.011255542107687233	0.1477775941177944	0.007436210429690823	0.1479162121278728	0.005619902239398947	0.08386435881846695	0.003636826376809626	0.6272727272727272	0.008503766788122586	0.7153708668453976	0.012732624529736392	0.7189767441860464	0.013362362485955	0.7977632135306554	0.006180820307993198	0.19864085572971707	0.007651693692195707	0.18392485416598844	0.00477774483970448	0.1664243369143628	0.00230082928246135	0.09421161796687004	0.0014820696069679944	0.7136363636363636	0.02317736142542176	0.7188561215370866	0.009717445733024641	0.7190697674418605	0.010959387144203253	fgraminearum	ortholog+subloc	0.7551897463002114	0.002694527016665961	0.18108079708358482	0.011255542107687233	0.1477775941177944	0.007436210429690823	0.1479162121278728	0.005619902239398947
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	EXP_SUB	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7629450317124735	0.0037428159459016023	0.1463395432684841	0.005887617819277704	0.1506715181628042	0.005116174773079894	0.15229980285126538	0.0026211862656257347	0.0871300958619322	0.001494083745444163	0.6045454545454546	0.016701066428067107	0.7353887399463808	0.005357460156325934	0.7407441860465116	0.00606151983540276	0.7845243128964059	0.004184465928348181	0.15526536636249874	0.007110356926932507	0.17947147899895155	0.004457176349879024	0.1682830132697501	0.0036708448737614954	0.09627777926222916	0.0024630481492137987	0.6681818181818181	0.011134044285378073	0.7401251117068812	0.008671677905778882	0.7430697674418604	0.009328335729653345	fgraminearum	expression+subloc	0.7629450317124735	0.0037428159459016023	0.1463395432684841	0.005887617819277704	0.1506715181628042	0.005116174773079894	0.15229980285126538	0.0026211862656257347
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	ORT_EXP_SUB	ort_exp_sub_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7262336152219874	0.019904349076471022	0.14880647196466149	0.008825936605386962	0.1595546188747722	0.009805911728981062	0.1685705659791363	0.010219722691417434	0.10062232808771499	0.00772628804340288	0.525	0.024266086936434814	0.794816800714924	0.024930253117658868	0.8058604651162791	0.026861985258504695	0.7890274841437632	0.011243700624804997	0.19812727739428987	0.008086846756165928	0.2134382329714608	0.0172687113598532	0.20142893568869802	0.01697845239558699	0.11961452179138328	0.012057535421947572	0.6454545454545454	0.02317736142542173	0.7964253798033958	0.02807499511290964	0.8026046511627907	0.029903178897344274	fgraminearum	ortholog+expression+subloc	0.7262336152219874	0.019904349076471022	0.14880647196466149	0.008825936605386962	0.1595546188747722	0.009805911728981062	0.1685705659791363	0.010219722691417434
fgraminearum_oldlabel	fgraminearum	oldlabel	GCN	ORT	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7755687103594081	0.0030748157372802428	0.20831871018078352	0.014399114540240458	0.16598663969686317	0.007882904181364146	0.15679626810120106	0.004765272307748543	0.08870789763014372	0.0028726960488265657	0.675	0.01700753357624522	0.7143878462913316	0.008020025074596825	0.716	0.008447208249113642	0.775414376321353	0.006664612377122941	0.1733260476470328	0.006524867802501841	0.15893133423035397	0.0036314500923792597	0.1521200523522842	0.0022430102202132497	0.08583492125141272	0.001395149315182051	0.6681818181818182	0.011134044285378073	0.7070598748882931	0.0062785229920465846	0.7086511627906976	0.006820577778538933	fgraminearum	ortholog	0.7755687103594081	0.0030748157372802428	0.20831871018078352	0.014399114540240458	0.16598663969686317	0.007882904181364146	0.15679626810120106	0.004765272307748543
fgraminearum_oldlabel	fgraminearum	oldlabel	GCN	EXP	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.694838266384778	0.03432870057789738	0.07061603355621507	0.014980025742426956	0.12053775879655666	0.02092881998345798	0.1173459067086832	0.008039727597542885	0.06343979001796943	0.004442906657659953	0.7840909090909091	0.05969966152983498	0.5354781054512957	0.030119754867428714	0.5253023255813953	0.03234428102266156	0.7283974630021142	0.021761510877393135	0.0866291722076685	0.008134490320069857	0.1370084347529826	0.010454080297198428	0.12283417273519029	0.004824156414594847	0.0663447161588261	0.0028721614828361402	0.8318181818181818	0.04679831882266818	0.5319034852546917	0.03497560822582473	0.5196279069767442	0.03794892813460893	fgraminearum	expression	0.694838266384778	0.03432870057789738	0.07061603355621507	0.014980025742426956	0.12053775879655666	0.02092881998345798	0.1173459067086832	0.008039727597542885
fgraminearum_oldlabel	fgraminearum	oldlabel	GCN	SUB	feature_contract	old440	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	configs/frozen_protocol.yaml	False						5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7782891120507399	0.012999320073112117	0.14758908355189665	0.01154845426231426	0.16526921114097987	0.005063278909838805	0.1510023465014047	0.005016256369169215	0.08431985226755608	0.003374540862550538	0.725	0.02530801983104553	0.6787310098302056	0.021662611297409384	0.6768372093023256	0.02350084863201954	0.7610359408033827	0.010384970833752673	0.14910343037128543	0.009964615432965158	0.13407801882826753	0.004268394719536908	0.1351094657685935	0.0020665527167418167	0.07531587098432743	0.0015987559705838053	0.6590909090909091	0.040655781409087086	0.6679177837354782	0.024386141770595955	0.6682790697674419	0.027015849763670555	fgraminearum	subloc	0.7782891120507399	0.012999320073112117	0.14758908355189665	0.01154845426231426	0.16526921114097987	0.005063278909838805	0.1510023465014047	0.005016256369169215
