model	label_regime	best_feature_setting	best_feature_label	AUPRC_mean	AUPRC_std	AUROC_mean	AUROC_std	MCC_mean	MCC_std	F1_mean	F1_std	n_runs	seed_list
GraphSAGE	old440	ORT_EXP	ortholog+expression	0.18475208002816873	0.011609255347278174	0.7043076109936575	0.013064923321353466	0.14196677830339907	0.004766639996823297	0.158586682966616	0.0043588542372660355	5	1029,1030,1031,1032,1033
GraphSAGE	new_label	EXP_SUB	expression+subloc	0.5055624311943065	0.010365205155399758	0.8883971216493805	0.004438123081527553	0.41984840729637246	0.01852335063190054	0.44749409678818325	0.017914081563616846	5	1029,1030,1031,1032,1033
GCN	old440	ORT	ortholog	0.20831871018078352	0.014399114540240458	0.7755687103594081	0.0030748157372802428	0.16598663969686317	0.007882904181364146	0.15679626810120106	0.004765272307748543	5	1029,1030,1031,1032,1033
GCN	new_label	EXP_SUB	expression+subloc	0.43590754196980736	0.005245814862647095	0.8456301747930084	0.0018102251607913494	0.32068047629152757	0.0037043241266368015	0.3450269806757651	0.002328391325440679	5	1029,1030,1031,1032,1033
GAT	old440	SUB	subloc	0.18076569132379955	0.019688443870285347	0.7906855179704018	0.007226045390067364	0.16833198788259587	0.01981838263220162	0.1537299156984951	0.017397949777641836	5	1029,1030,1031,1032,1033
GAT	new_label	SUB	subloc	0.3264594262326778	0.019413998122530224	0.854180161560661	0.009630184110661105	0.3459548798139726	0.02733284594035301	0.3691901895042228	0.01848916217686365	5	1029,1030,1031,1032,1033
GIN	old440	ORT_EXP	ortholog+expression	0.17385723452883628	0.023911683161501707	0.7838905919661734	0.017883379365247958	0.20525477298947678	0.023269235465152725	0.21317393767491982	0.019781057364995185	5	1029,1030,1031,1032,1033
GIN	new_label	SUB	subloc	0.47640005580381384	0.013856085746271818	0.8559413239908759	0.004033961519781778	0.43196246661221505	0.020414233994786826	0.4675061347432317	0.024005227251960786	5	1029,1030,1031,1032,1033
