raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0082440	54	FBgn0038243(Ensembl_flybase_gene_id); FBgn0038243(Ensembl_gene); FBgn0038243(UniProt_DR_FlyBase)	FBgn0038243	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082441	69	FBgn0051313(Ensembl_flybase_gene_id); FBgn0051313(Ensembl_gene); FBgn0051313(UniProt_DR_FlyBase)	FBgn0051313	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt
7227.FBpp0082442	43			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082445	41			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082450	38			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_FlyBaseName_gene
7227.FBpp0082451	40	FBgn0038261(Ensembl_flybase_gene_id); FBgn0038261(Ensembl_gene); FBgn0038261(UniProt_DR_FlyBase)	FBgn0038261	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_EMBL
7227.FBpp0082452	39			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_FlyBaseName_gene
7227.FBpp0082453	42	FBgn0038266(Ensembl_flybase_gene_id); FBgn0038266(Ensembl_gene); FBgn0038266(UniProt_DR_FlyBase)	FBgn0038266	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082456	68	FBgn0038268(Ensembl_flybase_gene_id); FBgn0038268(Ensembl_gene); FBgn0038268(UniProt_DR_FlyBase)	FBgn0038268	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082457	43	FBgn0067628(Ensembl_flybase_gene_id); FBgn0067628(Ensembl_gene); FBgn0067628(UniProt_DR_FlyBase)	FBgn0067628	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082458	43	FBgn0067629(Ensembl_flybase_gene_id); FBgn0067629(Ensembl_gene); FBgn0067629(UniProt_DR_FlyBase)	FBgn0067629	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082459	63			unmapped		UniProt_DE_SubName_EC; UniProt_DE_SubName_EC; KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID
7227.FBpp0082462	39			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082464	59			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082465	52			unmapped		UniProt_DE_RecName_Full; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
