raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
7227.FBpp0070001	7227.FBpp0087877	FBgn0031085	FBgn0033280	True		330	330	0	0
7227.FBpp0070001	7227.FBpp0311605	FBgn0031085	FBgn0034152	True		151	152	0	0
7227.FBpp0070001	7227.FBpp0087929	FBgn0031085	FBgn0033238	True		203	203	0	0
7227.FBpp0070001	7227.FBpp0077198	FBgn0031085		False	unmapped_B	217	217	0	0
7227.FBpp0070001	7227.FBpp0289595	FBgn0031085		False	unmapped_B	179	180	0	0
7227.FBpp0070001	7227.FBpp0077755	FBgn0031085		False	unmapped_B	202	202	0	0
7227.FBpp0070001	7227.FBpp0080236	FBgn0031085		False	unmapped_B	208	208	0	0
7227.FBpp0070001	7227.FBpp0082714	FBgn0031085	FBgn0020399	True		380	380	0	0
7227.FBpp0070001	7227.FBpp0080229	FBgn0031085	FBgn0051835	True		256	257	0	0
7227.FBpp0070001	7227.FBpp0088683	FBgn0031085	FBgn0019828	True		355	355	0	0
7227.FBpp0070001	7227.FBpp0084964	FBgn0031085	FBgn0041102	True		277	277	0	0
7227.FBpp0070001	7227.FBpp0310089	FBgn0031085		False	unmapped_B	309	310	0	0
7227.FBpp0070001	7227.FBpp0088689	FBgn0031085		False	unmapped_B	353	353	0	0
7227.FBpp0070001	7227.FBpp0075051	FBgn0031085	FBgn0036687	True		242	243	0	0
7227.FBpp0070001	7227.FBpp0291175	FBgn0031085		False	unmapped_B	299	299	0	0
7227.FBpp0070001	7227.FBpp0312339	FBgn0031085	FBgn0038539	True		345	346	0	0
7227.FBpp0070001	7227.FBpp0078430	FBgn0031085		False	unmapped_B	157	158	0	0
7227.FBpp0070001	7227.FBpp0084552	FBgn0031085		False	unmapped_B	439	439	0	0
7227.FBpp0070001	7227.FBpp0071135	FBgn0031085	FBgn0030015	True		225	226	0	0
7227.FBpp0070001	7227.FBpp0292806	FBgn0031085	FBgn0262002	True		202	202	0	0
7227.FBpp0070001	7227.FBpp0087857	FBgn0031085	FBgn0028561	True		161	161	0	0
7227.FBpp0070001	7227.FBpp0085061	FBgn0031085		False	unmapped_B	245	246	0	0
7227.FBpp0070001	7227.FBpp0078437	FBgn0031085	FBgn0037325	True		244	245	0	0
7227.FBpp0070001	7227.FBpp0308320	FBgn0031085		False	unmapped_B	252	253	0	0
7227.FBpp0070001	7227.FBpp0078153	FBgn0031085	FBgn0052450	True		199	199	0	0
7227.FBpp0070001	7227.FBpp0310781	FBgn0031085	FBgn0031157	True		171	172	0	0
7227.FBpp0070001	7227.FBpp0072200	FBgn0031085	FBgn0035005	True		330	330	0	0
7227.FBpp0070001	7227.FBpp0309557	FBgn0031085	FBgn0051644	True		246	247	0	0
7227.FBpp0070001	7227.FBpp0087819	FBgn0031085	FBgn0033287	True		508	508	0	0
7227.FBpp0070001	7227.FBpp0290070	FBgn0031085		False	unmapped_B	398	399	0	0
7227.FBpp0070001	7227.FBpp0084963	FBgn0031085	FBgn0001281	True		338	338	0	0
7227.FBpp0070001	7227.FBpp0087273	FBgn0031085	FBgn0033610	True		198	198	0	0
7227.FBpp0070001	7227.FBpp0071037	FBgn0031085	FBgn0029952	True		375	375	0	0
7227.FBpp0070001	7227.FBpp0086388	FBgn0031085	FBgn0034082	True		384	385	0	0
7227.FBpp0070001	7227.FBpp0303052	FBgn0031085		False	unmapped_B	250	251	0	0
7227.FBpp0070001	7227.FBpp0082251	FBgn0031085	FBgn0038123	True		277	277	0	0
7227.FBpp0070001	7227.FBpp0086834	FBgn0031085	FBgn0033834	True		175	176	0	0
7227.FBpp0070001	7227.FBpp0080984	FBgn0031085	FBgn0053322	True		217	217	0	0
7227.FBpp0070001	7227.FBpp0289272	FBgn0031085	FBgn0259729	True		239	240	0	0
