raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
YKL049C	S000001532	mapped	alias_bridge	STRING aliases bridge
YKL050C	S000001533	mapped	alias_bridge	STRING aliases bridge
YKL051W	S000001534	mapped	alias_bridge	STRING aliases bridge
YKL052C	S000001535	mapped	alias_bridge	STRING aliases bridge
YKL053C-A	S000007243	mapped	alias_bridge	STRING aliases bridge
YKL053W		unmapped	none	no evidence found
YKL054C	S000001537	mapped	alias_bridge	STRING aliases bridge
YKL055C	S000001538	mapped	alias_bridge	STRING aliases bridge
YKL056C	S000001539	mapped	alias_bridge	STRING aliases bridge
YKL057C	S000001540	mapped	alias_bridge	STRING aliases bridge
YKL058W	S000001541	mapped	alias_bridge	STRING aliases bridge
YKL059C	S000001542	mapped	alias_bridge	STRING aliases bridge
YKL060C	S000001543	mapped	alias_bridge	STRING aliases bridge
YKL061W	S000001544	mapped	alias_bridge	STRING aliases bridge
YKL062W	S000001545	mapped	alias_bridge	STRING aliases bridge
YKL063C	S000001546	mapped	alias_bridge	STRING aliases bridge
YKL064W	S000001547	mapped	alias_bridge	STRING aliases bridge
YKL065C	S000001548	mapped	alias_bridge	STRING aliases bridge
YKL065W-A		unmapped	none	no evidence found
YKL066W		unmapped	none	no evidence found
YKL067W	S000001550	mapped	alias_bridge	STRING aliases bridge
YKL068W	S000001551	mapped	alias_bridge	STRING aliases bridge
YKL068W-A	S000028524	mapped	alias_bridge	STRING aliases bridge
YKL069W	S000001552	mapped	alias_bridge	STRING aliases bridge
YKL070W	S000001553	mapped	alias_bridge	STRING aliases bridge
YKL071W	S000001554	mapped	alias_bridge	STRING aliases bridge
YKL072W	S000001555	mapped	alias_bridge	STRING aliases bridge
YKL073W	S000001556	mapped	alias_bridge	STRING aliases bridge
YKL074C	S000001557	mapped	alias_bridge	STRING aliases bridge
YKL075C	S000001558	mapped	alias_bridge	STRING aliases bridge
YKL076C		unmapped	none	no evidence found
YKL077W	S000001560	mapped	alias_bridge	STRING aliases bridge
YKL078W	S000001561	mapped	alias_bridge	STRING aliases bridge
YKL079W	S000001562	mapped	alias_bridge	STRING aliases bridge
YKL080W	S000001563	mapped	alias_bridge	STRING aliases bridge
YKL081W	S000001564	mapped	alias_bridge	STRING aliases bridge
YKL082C	S000001565	mapped	alias_bridge	STRING aliases bridge
YKL083W		unmapped	none	no evidence found
YKL084W	S000001567	mapped	alias_bridge	STRING aliases bridge
YKL085W	S000001568	mapped	alias_bridge	STRING aliases bridge
YKL086W	S000001569	mapped	alias_bridge	STRING aliases bridge
YKL087C	S000001570	mapped	alias_bridge	STRING aliases bridge
YKL088W	S000001571	mapped	alias_bridge	STRING aliases bridge
YKL089W	S000001572	mapped	alias_bridge	STRING aliases bridge
YKL090W	S000001573	mapped	alias_bridge	STRING aliases bridge
YKL091C	S000001574	mapped	alias_bridge	STRING aliases bridge
YKL092C	S000001575	mapped	alias_bridge	STRING aliases bridge
YKL093W	S000001576	mapped	alias_bridge	STRING aliases bridge
YKL094W	S000001577	mapped	alias_bridge	STRING aliases bridge
YKL095W	S000001578	mapped	alias_bridge	STRING aliases bridge
YKL096C-B	S000028667	mapped	alias_bridge	STRING aliases bridge
YKL096W	S000001579	mapped	alias_bridge	STRING aliases bridge
YKL096W-A	S000001956	mapped	alias_bridge	STRING aliases bridge
YKL097C		unmapped	none	no evidence found
YKL098W	S000001581	mapped	alias_bridge	STRING aliases bridge
