Gene,Cytoplasm,Nucleus,Mitochondrion,Cell membrane,Cytoskeleton,Ribosome,Endoplasmic reticulum,Secreted,Vacuole,Peroxisome,Golgi,Endosome,Lysosome
S000002520,1,1,1,1,1,1,1,1,1,1,0,0,0
S000004821,1,1,1,1,1,1,1,1,1,1,1,1,0
S000001899,1,1,1,1,1,1,0,1,1,0,0,0,0
S000003802,1,1,1,1,0,1,1,0,0,1,1,0,0
S000005645,1,1,1,1,1,1,1,1,1,0,0,0,0
S000004984,1,1,1,0,0,1,0,0,0,0,0,0,0
S000004594,1,1,1,1,1,1,1,1,1,1,1,0,0
S000002298,1,1,0,0,1,0,0,0,0,0,0,0,0
S000001872,1,1,1,0,0,1,1,0,0,0,0,0,0
S000001454,1,1,1,1,1,1,0,0,0,0,0,0,0
S000002213,1,1,1,1,1,1,1,1,1,1,1,0,0
S000004681,1,1,1,1,1,1,0,0,0,0,0,0,0
S000004389,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003496,1,1,1,1,1,1,1,1,1,1,1,0,1
S000005096,1,1,1,1,1,0,1,1,0,0,1,1,0
S000000929,1,1,0,1,1,1,1,0,0,0,0,0,0
S000004477,1,1,0,1,1,1,1,1,0,0,0,0,0
S000000306,1,1,1,1,1,1,1,1,1,1,1,1,1
S000005786,1,1,1,1,1,1,0,0,0,1,0,1,0
S000002278,1,1,1,1,1,1,1,1,1,1,1,1,1
S000000559,1,1,1,1,1,1,1,1,0,0,1,0,0
S000001595,1,1,1,1,1,1,1,1,1,1,0,0,0
S000002469,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004615,1,1,1,1,0,0,1,1,1,1,1,0,0
S000003207,1,1,1,1,1,1,1,0,0,1,1,0,0
S000001380,1,1,1,1,1,1,1,1,1,0,1,1,1
S000002379,1,1,1,1,1,1,1,1,1,0,0,0,0
S000005132,1,1,1,1,1,1,1,0,1,0,0,0,0
S000003059,1,1,1,1,1,1,1,1,1,0,0,0,0
S000003506,1,1,0,0,1,1,0,0,0,0,0,0,0
S000005586,1,1,1,0,1,0,1,0,0,0,0,0,0
S000004233,1,1,0,0,1,1,0,1,1,0,0,0,0
S000002495,1,1,1,1,1,1,0,0,0,0,0,0,0
S000004534,1,1,1,1,1,1,1,0,0,0,0,0,0
S000005900,1,1,0,1,1,0,0,0,0,1,0,0,0
S000000948,1,1,0,1,0,1,0,0,0,0,0,0,0
S000005509,1,1,1,1,1,1,1,1,1,0,0,0,0
