graph_condition	graph_family	model	feature_setting	model_feature_setting	n_runs	test_auprc_mean	test_auprc_sd	test_auprc_sem	test_mcc_mean	test_mcc_sd	test_mcc_sem	val_auprc_mean	val_auprc_sd	val_auprc_sem	val_mcc_mean	val_mcc_sd	val_mcc_sem	test_auroc_mean	test_auroc_sd	test_auroc_sem	test_accuracy_mean	test_accuracy_sd	test_accuracy_sem	error_bar_definition	adapter_summary_path
STRING_300	STRING	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5497912364916027	0.0230214896324879	0.0102955231523099	0.5023376683637852	0.0054916103673837	0.0024559228174825	0.6670147070321564	0.0111554391064089	0.004988864032158	0.545309986172756	0.0082988107868712	0.0037113410103705	0.9176868176414494	0.0018887642673601	0.0008446810590579	0.8871709151692437	0.0142056486160119	0.0063529591939757	mean_plus_minus_sd	
STRING_700	STRING	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5921686597706242	0.0103659094102043	0.0046357756179643	0.519342653619738	0.0079068209234925	0.0035360378141693	0.6625431415263547	0.0195399363473581	0.0087385251897423	0.5501372896852941	0.0318620916483303	0.014249160566199	0.9179060965415264	0.0023004949205954	0.0010288126048688	0.919097367321354	0.0036678827007925	0.0016403270104935	mean_plus_minus_sd	
eFG_HIGH	eFG	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5170740383913364	0.006530293774587	0.002920436158604	0.4541486739092435	0.007574576812388	0.0033874537306586	0.5687247468299562	0.014851384438641	0.0066417410329568	0.4789257142190203	0.0246480443486482	0.0110229405352013	0.904064220992804	0.0033014769729241	0.0014764653875217	0.8611784371082323	0.0337773517106556	0.0151056909049889	mean_plus_minus_sd	results/Figure4/summary/Figure4_eFG_HIGH_adapter_summary.tsv
eFG_HIGH_MEDIUM	eFG	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5267824836285726	0.0055504412617616	0.0024822327932837	0.463978510359168	0.0164333979112217	0.0073492389661589	0.6316188704678772	0.0098081456458309	0.0043863360794593	0.5047366787051863	0.013461291068596	0.0060200723788582	0.9050446749253316	0.0020370601645744	0.000911001000449	0.8993731717509401	0.0093643655631788	0.0041878715930851	mean_plus_minus_sd	results/Figure4/summary/Figure4_eFG_HIGH_MEDIUM_adapter_summary.tsv
eFG_ALL	eFG	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	5	0.5341976903557144	0.0091681399910185	0.0041001168494303	0.4664148157577225	0.002655705997482	0.0011876678277247	0.6441881014678816	0.0113008076976615	0.0050538748425248	0.5113616071799102	0.0214921904580093	0.0096115997698962	0.913041633585798	0.0004393838929405	0.0001964984505666	0.904889260342666	0.0081871437668255	0.0036614020008371	mean_plus_minus_sd	results/Figure4/summary/Figure4_eFG_ALL_adapter_summary.tsv
