protocol	species	model	feature_setting	model_feature_setting	graph_condition	seed	test_auprc	test_mcc	val_auprc	val_mcc	metrics_path
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_ALL	1033	0.5367354388909861	0.466463889028387	0.6632288571901994	0.5217803195935021	outputs/Figure4/source_comparison/eFG_ALL/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH	1029	0.522008254285695	0.4539960835106751	0.5676103141747157	0.4950949214056093	outputs/Figure4/source_comparison/eFG_HIGH/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH	1030	0.5069473965890529	0.4429415152913585	0.5489300322370861	0.455528501131765	outputs/Figure4/source_comparison/eFG_HIGH/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH	1031	0.5259454280970494	0.4538971626369559	0.5945054134246219	0.5179111291159336	outputs/Figure4/source_comparison/eFG_HIGH/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH	1032	0.5145790488247505	0.4668016919004913	0.5622124204438638	0.4731620609320733	outputs/Figure4/source_comparison/eFG_HIGH/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH	1033	0.5158900641601345	0.4531069162067366	0.5703655538694932	0.4529319585097203	outputs/Figure4/source_comparison/eFG_HIGH/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH_MEDIUM	1029	0.5358978972576521	0.4716958740499495	0.6217202868586517	0.5241826631684421	outputs/Figure4/source_comparison/eFG_HIGH_MEDIUM/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH_MEDIUM	1030	0.5205493676546902	0.4422880524866117	0.6260304776218844	0.4854734200980996	outputs/Figure4/source_comparison/eFG_HIGH_MEDIUM/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH_MEDIUM	1031	0.5249111706352271	0.4464699082577958	0.6416552009876417	0.5145913888682023	outputs/Figure4/source_comparison/eFG_HIGH_MEDIUM/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH_MEDIUM	1032	0.5225298835252483	0.4827317845587114	0.6234767233500599	0.497559029369456	outputs/Figure4/source_comparison/eFG_HIGH_MEDIUM/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv
fgraminearum_newlabel	fgraminearum	GraphSAGE	ORT_EXP_SUB_ESM2	GraphSAGE + ORT_EXP_SUB_ESM2	eFG_HIGH_MEDIUM	1033	0.5300240990700456	0.4767069324427714	0.6452116635211482	0.5018768920217312	outputs/Figure4/source_comparison/eFG_HIGH_MEDIUM/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv
