Target	Species	Regime	Model	Feature_Setting	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
fgraminearum	fgraminearum	newlabel	GAT	EXP	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.799348509593485	0.010857250040892035	0.27876078352144956	0.022103449623820978	0.28346823699701373	0.017828496511943737	0.32584660153822953	0.015142503510414976	0.20533215313826786	0.012295853327807875	0.7917808219178082	0.016234145054457715	0.6718248175182482	0.027148923944986112
fgraminearum	fgraminearum	newlabel	GAT	EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.810443400104434	0.0076279021901504976	0.27827654854861694	0.004719873847035685	0.3010500070778582	0.02298450576092162	0.34208966917703765	0.012461108465042996	0.2193150103454645	0.007179806496497407	0.7799086757990867	0.057061184846806626	0.7041362530413625	0.019885953033287152
fgraminearum	fgraminearum	newlabel	GAT	ORT	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7657149840571498	0.03244160312485786	0.2343385913502773	0.03176671084805395	0.25196094937051594	0.05796566115968303	0.3071291097475424	0.049041019983960515	0.1945773356609224	0.03981183032171874	0.7680365296803653	0.0634949526786071	0.6352311435523115	0.13181065292200736
fgraminearum	fgraminearum	newlabel	GAT	ORT_EXP	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8117239387172394	0.011012316703615842	0.27387044445405084	0.017409612888697454	0.3079222117016392	0.01661044985650574	0.3489399167363407	0.016916752692523344	0.2253834612562679	0.015283926644541309	0.7780821917808219	0.029536002974970284	0.7125060827250608	0.03589301792878906
fgraminearum	fgraminearum	newlabel	GAT	ORT_EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8072374984723749	0.01743464643240752	0.2572438398684152	0.021991310403691948	0.2981017975467667	0.02136910131702516	0.3372830368580403	0.018881770277920946	0.21479161313744238	0.01684649850570589	0.7963470319634702	0.056782800207159145	0.6858394160583942	0.049108991436820904
fgraminearum	fgraminearum	newlabel	GAT	ORT_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8075550222755501	0.022782198609661842	0.2684644457474351	0.0338815031289056	0.2938046048407276	0.029641467731018924	0.3440533932520961	0.023457084018830114	0.22627696448890328	0.01987969823320822	0.7269406392694063	0.06162861303672323	0.7320681265206813	0.04101193911554136
fgraminearum	fgraminearum	newlabel	GAT	SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8249499494494994	0.014089297549567538	0.31135620571707745	0.022758763044077215	0.31170742081520475	0.018642320349711708	0.3496972096534305	0.01891434754167464	0.22469594558983874	0.016937187770421726	0.7945205479452054	0.02467444033992018	0.7049148418491484	0.03728726140403568
fgraminearum	fgraminearum	newlabel	GCN	EXP	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7292281882922819	0.005925718045338678	0.20957106509916806	0.005710438555575288	0.20629451476082541	0.018412854135654026	0.26831686470427224	0.012231980811111934	0.16245968245204934	0.009206479736770015	0.7753424657534247	0.044683579261096146	0.571970802919708	0.04264795263309034
fgraminearum	fgraminearum	newlabel	GCN	EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7572653845726537	0.004429765334484509	0.2377560461569792	0.00416127073889077	0.22954217562048512	0.012969996401059745	0.28066818911448566	0.016581445864155823	0.17064314498021876	0.01552522931636921	0.8100456621004566	0.06958640438921915	0.5730413625304137	0.07683055712310607
fgraminearum	fgraminearum	newlabel	GCN	ORT	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7351651501516515	0.0033455206247492123	0.22819919010983775	0.00785720693371357	0.22222287955171924	0.024418552652395665	0.27981871857806284	0.024576702663423912	0.1719565504809464	0.022706333732173428	0.7799086757990867	0.069694188231375	0.5879318734793187	0.08615057451884606
