protocol	species	regime	model	feature_setting	feature_contract_group	label_regime	split_version	graph_source	graph_contract	threshold_strategy	evaluation_contract	label_manifest	split_manifest	config_used	is_deterministic	require_true_node2vec	embedding_method	embedding_backend	fallback_used	n_runs	seed_list	run_ids	test_auroc_mean	test_auroc_std	test_auprc_mean	test_auprc_std	test_mcc_mean	test_mcc_std	test_f1_mean	test_f1_std	test_precision_mean	test_precision_std	test_recall_mean	test_recall_std	test_accuracy_mean	test_accuracy_std	test_specificity_mean	test_specificity_std	val_auroc_mean	val_auroc_std	val_auprc_mean	val_auprc_std	val_mcc_mean	val_mcc_std	val_f1_mean	val_f1_std	val_precision_mean	val_precision_std	val_recall_mean	val_recall_std	val_accuracy_mean	val_accuracy_std	val_specificity_mean	val_specificity_std	target
fgraminearum_newlabel	fgraminearum	newlabel	GAT	EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.799348509593485	0.010857250040892035	0.27876078352144956	0.022103449623820978	0.28346823699701373	0.017828496511943737	0.32584660153822953	0.015142503510414976	0.20533215313826786	0.012295853327807875	0.7917808219178082	0.016234145054457715	0.683377308707124	0.023818257609840736	0.6718248175182482	0.027148923944986112	0.7881534920775427	0.010663602348861975	0.27622505708819	0.013162627109284274	0.2674736175240383	0.024244828252886947	0.3156543860592337	0.01895103441134481	0.19831193952102597	0.014645510144704449	0.7763636363636364	0.019582417480489125	0.6728232189973615	0.027312920220501663	0.6617332035053554	0.030373504464399792	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GAT	EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.810443400104434	0.0076279021901504976	0.27827654854861694	0.004719873847035685	0.3010500070778582	0.02298450576092162	0.34208966917703765	0.012461108465042996	0.2193150103454645	0.007179806496497407	0.7799086757990867	0.057061184846806626	0.7114335971855761	0.013846028956309177	0.7041362530413625	0.019885953033287152	0.798089758342923	0.010556767915720834	0.2751295459427663	0.009174333393845352	0.27853338184624493	0.018393169277984234	0.3275494029302027	0.010689967433282896	0.209652900846539	0.007900737306599084	0.7527272727272728	0.053443412569814816	0.7009674582233949	0.020094388142121142	0.6954235637779942	0.026782508068299824	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GAT	ORT		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7657149840571498	0.03244160312485786	0.2343385913502773	0.03176671084805395	0.25196094937051594	0.05796566115968303	0.3071291097475424	0.049041019983960515	0.1945773356609224	0.03981183032171874	0.7680365296803653	0.0634949526786071	0.6480211081794194	0.11395498393972939	0.6352311435523115	0.13181065292200736	0.7531521642914049	0.03063990223577114	0.22017003770976734	0.026773594135137416	0.2278514139778897	0.04209992181523249	0.290134987924902	0.03730396453463508	0.18209737127292608	0.031197417793134993	0.7472727272727273	0.07074573257579536	0.6330694810905892	0.1001826577997338	0.6208373904576436	0.11782548848075818	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GAT	ORT_EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8117239387172394	0.011012316703615842	0.27387044445405084	0.017409612888697454	0.3079222117016392	0.01661044985650574	0.3489399167363407	0.016916752692523344	0.2253834612562679	0.015283926644541309	0.7780821917808219	0.029536002974970284	0.7188214599824099	0.030058832698857667	0.7125060827250608	0.03589301792878906	0.7873895724528636	0.012211210332970053	0.2583285961546584	0.014173480089185356	0.2881578590227673	0.01725961156020417	0.3361659596688663	0.014875234313743168	0.21722957773991194	0.013813527920774988	0.7509090909090909	0.0535052326165897	0.7118733509234828	0.03235153213608465	0.7076923076923077	0.040595176322843714	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GAT	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8072374984723749	0.01743464643240752	0.2572438398684152	0.021991310403691948	0.2981017975467667	0.02136910131702516	0.3372830368580403	0.018881770277920946	0.21479161313744238	0.01684649850570589	0.7963470319634702	0.056782800207159145	0.6964819700967457	0.04013234149038406	0.6858394160583942	0.049108991436820904	0.787800300964858	0.013642043964395561	0.2468454134692016	0.02892759026064797	0.2806487870879729	0.00432532539542364	0.3254848680511368	0.01018472181726073	0.20674993395909236	0.01304418080869214	0.7781818181818182	0.06595766235351654	0.6863676341248901	0.04022571450553639	0.6765335929892892	0.05150694936539727	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GAT	ORT_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8075550222755501	0.022782198609661842	0.2684644457474351	0.0338815031289056	0.2938046048407276	0.029641467731018924	0.3440533932520961	0.023457084018830114	0.22627696448890328	0.01987969823320822	0.7269406392694063	0.06162861303672323	0.7315743183817063	0.03332695107178428	0.7320681265206813	0.04101193911554136	0.7897326723909003	0.02191157555374282	0.2644608795098189	0.03892734453042581	0.2718607213000554	0.030000815295067856	0.32866049012933124	0.02191325427108157	0.21545233891739463	0.018403773635601927	0.7036363636363636	0.07102554539863494	0.7206684256816183	0.03520931081681506	0.7224926971762414	0.04417681922278155	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GAT	SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8249499494494994	0.014089297549567538	0.31135620571707745	0.022758763044077215	0.31170742081520475	0.018642320349711708	0.3496972096534305	0.01891434754167464	0.22469594558983874	0.016937187770421726	0.7945205479452054	0.02467444033992018	0.7135444151275285	0.0316691090041928	0.7049148418491484	0.03728726140403568	0.8051827918916526	0.017038845585277764	0.30931171370371463	0.016773163390020673	0.27208706524236526	0.029024681036700157	0.32308734023292524	0.023557291932840826	0.20611625651333595	0.019081375325121688	0.7527272727272728	0.019412869549147834	0.6923482849604221	0.03508959282754589	0.6858812074001948	0.0393195557322135	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GCN	EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7292281882922819	0.005925718045338678	0.20957106509916806	0.005710438555575288	0.20629451476082541	0.018412854135654026	0.26831686470427224	0.012231980811111934	0.16245968245204934	0.009206479736770015	0.7753424657534247	0.044683579261096146	0.59155672823219	0.03540320761421628	0.571970802919708	0.04264795263309034	0.7533035319111269	0.0062984899837944365	0.225241103075745	0.0040910465443835115	0.20796269808798792	0.021269772857131414	0.270586348531396	0.01401780691976558	0.16420288020352697	0.010239302767631648	0.7727272727272727	0.03770262064241405	0.5956024626209323	0.033497113438642416	0.576630963972736	0.03930894459837237	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GCN	EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7572653845726537	0.004429765334484509	0.2377560461569792	0.00416127073889077	0.22954217562048512	0.012969996401059745	0.28066818911448566	0.016581445864155823	0.17064314498021876	0.01552522931636921	0.8100456621004566	0.06958640438921915	0.5958663148636762	0.06286602299605777	0.5730413625304137	0.07683055712310607	0.788175621846508	0.0034804701059969307	0.2570730209250368	0.007233194122660288	0.24529194030620044	0.010277227312143963	0.290136521005421	0.012189099614774932	0.17694988647096374	0.012956281444544386	0.8254545454545454	0.0859367439861562	0.6063324538258575	0.059870109489721164	0.5828627069133399	0.07533670450232972	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GCN	ORT		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7351651501516515	0.0033455206247492123	0.22819919010983775	0.00785720693371357	0.22222287955171924	0.024418552652395665	0.27981871857806284	0.024576702663423912	0.1719565504809464	0.022706333732173428	0.7799086757990867	0.069694188231375	0.6064204045734389	0.07153645863794778	0.5879318734793187	0.08615057451884606	0.7365265114632203	0.011554474145997562	0.2301102196158526	0.020126934303158858	0.20853576334454416	0.019905065614374474	0.2715988248226133	0.019651937473328364	0.1659796517234609	0.01810641084604661	0.7690909090909092	0.06670522301034232	0.595778364116095	0.06520609348704672	0.5772151898734178	0.07895435934780207	fgraminearum
