raw_probe_id	mapped_gene_id	mapping_status	mapping_method
FGRAMPH1_01G18185	FGRAMPH1_01G18185	mapped	direct_gene_id
FGRAMPH1_01G06647	FGRAMPH1_01G06647	mapped	direct_gene_id
FGRAMPH1_01G00471	FGRAMPH1_01G00471	mapped	direct_gene_id
FGRAMPH1_01G21141	FGRAMPH1_01G21141	mapped	direct_gene_id
FGRAMPH1_01G02503	FGRAMPH1_01G02503	mapped	direct_gene_id
FGRAMPH1_01G10011	FGRAMPH1_01G10011	mapped	direct_gene_id
FGRAMPH1_01G09741	FGRAMPH1_01G09741	mapped	direct_gene_id
FGRAMPH1_01G19379	FGRAMPH1_01G19379	mapped	direct_gene_id
FGRAMPH1_01G22469	FGRAMPH1_01G22469	mapped	direct_gene_id
FGRAMPH1_01G10413	FGRAMPH1_01G10413	mapped	direct_gene_id
FGRAMPH1_01G07581	FGRAMPH1_01G07581	mapped	direct_gene_id
FGRAMPH1_01G25755	FGRAMPH1_01G25755	mapped	direct_gene_id
FGRAMPH1_01G11689	FGRAMPH1_01G11689	mapped	direct_gene_id
FGRAMPH1_01G02911	FGRAMPH1_01G02911	mapped	direct_gene_id
FGRAMPH1_01G23311	FGRAMPH1_01G23311	mapped	direct_gene_id
FGRAMPH1_01G07921	FGRAMPH1_01G07921	mapped	direct_gene_id
FGRAMPH1_01G12663	FGRAMPH1_01G12663	mapped	direct_gene_id
FGRAMPH1_01G00965	FGRAMPH1_01G00965	mapped	direct_gene_id
FGRAMPH1_01G18435	FGRAMPH1_01G18435	mapped	direct_gene_id
FGRAMPH1_01G14207	FGRAMPH1_01G14207	mapped	direct_gene_id
FGRAMPH1_01G27801	FGRAMPH1_01G27801	mapped	direct_gene_id
FGRAMPH1_01G04295	FGRAMPH1_01G04295	mapped	direct_gene_id
FGRAMPH1_01G09059	FGRAMPH1_01G09059	mapped	direct_gene_id
FGRAMPH1_01G13095	FGRAMPH1_01G13095	mapped	direct_gene_id
FGRAMPH1_01G03539	FGRAMPH1_01G03539	mapped	direct_gene_id
FGRAMPH1_01G22929	FGRAMPH1_01G22929	mapped	direct_gene_id
FGRAMPH1_01G06053	FGRAMPH1_01G06053	mapped	direct_gene_id
FGRAMPH1_01G10683	FGRAMPH1_01G10683	mapped	direct_gene_id
FGRAMPH1_01G07931	FGRAMPH1_01G07931	mapped	direct_gene_id
FGRAMPH1_01G07253	FGRAMPH1_01G07253	mapped	direct_gene_id
FGRAMPH1_01G24087	FGRAMPH1_01G24087	mapped	direct_gene_id
FGRAMPH1_01G20775	FGRAMPH1_01G20775	mapped	direct_gene_id
FGRAMPH1_01G08117	FGRAMPH1_01G08117	mapped	direct_gene_id
FGRAMPH1_01G12939	FGRAMPH1_01G12939	mapped	direct_gene_id
FGRAMPH1_01G24443	FGRAMPH1_01G24443	mapped	direct_gene_id
FGRAMPH1_01G14025	FGRAMPH1_01G14025	mapped	direct_gene_id
FGRAMPH1_01G21471	FGRAMPH1_01G21471	mapped	direct_gene_id
FGRAMPH1_01G09857	FGRAMPH1_01G09857	mapped	direct_gene_id
