Target	Species	Regime	Model	Feature_Setting	Label_Regime	Split_Version	Runs	Seed_List	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	AUROC_mean	AUROC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std	ESM2_Dim
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.4768762593982583	0.02851769522345895	0.4478198347064035	0.020235462301480194	0.9041528567167816	0.006413143673780959	0.46869948096097414	0.02617657152379833	0.3201730031219536	0.04117153469317239	0.8264840182648401	0.0410958904109589	0.8171573137074517	0.043008279668813265	1280.0
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.5179812308303571	0.02822908872266846	0.48140856137583066	0.01604344039441499	0.9127967301399267	0.0025126363411438375	0.5127538753257354	0.027217009156491806							1280.0
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.5044003030236237	0.012993163474179238	0.44248609941210953	0.016901067869212014	0.8791369989036054	0.004288039273020773	0.47591698000862903	0.018517029478749104							
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.544978242379204	0.02634622450542348	0.500400875981205	0.006703178913302752	0.917002516246382	0.002251723493375383	0.5353207046038266	0.012550868557176806	0.3887640449438202	0.0	0.7899543378995434	0.0	0.874885004599816	0.0	1280.0
