Target	Species	Regime	Model	Feature_Setting	Label_Regime	Split_Version	Run_ID	Seed	AUPRC	MCC	Metrics_Path
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	seed_1029	1029	0.5388437611958252	0.4994610654546409	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	seed_1030	1030	0.5436111341873469	0.494752395203908	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	seed_1031	1031	0.529392323093059	0.5036103423093002	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	seed_1032	1032	0.594742929954417	0.5114675363484444	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	newlabel	frozen_protocol_v1_seed20260409_test20_val10	seed_1033	1033	0.5183010634653716	0.4927130405897314	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1029	1029	0.6382851306204107	0.4848129969495655	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ESM2/run_1029/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1030	1030	0.6352298982814435	0.4868281637575711	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ESM2/run_1030/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1031	1031	0.625282309838409	0.4809421607193118	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ESM2/run_1031/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1032	1032	0.6392673904139667	0.4683070905213332	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ESM2/run_1032/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1033	1033	0.6339341409239464	0.4843813659166855	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ESM2/run_1033/metrics.tsv
