protocol	species	regime	model	feature_setting	feature_combo	label_regime	run_id	seed	is_deterministic	split_version	graph_source	label_manifest	split_manifest	config_used	val_auroc	val_auprc	val_mcc	val_f1	val_accuracy	test_auroc	test_auprc	test_mcc	test_f1	test_accuracy	train_count	val_count	test_count	feature_dim	esm2_dim	node_count	edge_count	best_checkpoint	best_epoch	best_val_score	metrics_path	feature_contract_group	graph_contract	threshold_strategy	evaluation_contract	require_true_node2vec	embedding_method	embedding_backend	fallback_used	test_precision	test_recall	test_specificity	val_precision	val_recall	val_specificity	target
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1029	1029	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-320.yaml	0.9394413314376516	0.6580151740627125	0.5566108504591154	0.5983606557377049	0.9181286549707602	0.911311766707414	0.5652787905371911	0.4884909676567163	0.5367793240556661	0.902632678646051	8375	1197	2393	560	320	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/best_model.pt	94	0.6580151740627125	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1030	1030	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-320.yaml	0.9333528477042736	0.6620465503168932	0.5561678203881971	0.5982905982905983	0.921470342522974	0.9113894804938396	0.5631919448201459	0.4685930766442329	0.5186813186813186	0.9084830756372754	8375	1197	2393	560	320	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/best_model.pt	102	0.6620465503168932	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1031	1031	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-320.yaml	0.9412478046332692	0.6597026348371652	0.5566478212036545	0.5836065573770493	0.8939014202172096	0.9132147042885408	0.558400731318271	0.506919807109654	0.5407166123778502	0.8821562891767656	8375	1197	2393	560	320	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/best_model.pt	54	0.6597026348371652	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1032	1032	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-320.yaml	0.9417245128376684	0.6550619220481619	0.5633173979713575	0.5773809523809524	0.8813700918964077	0.911294963726565	0.5323289161460699	0.4954696686249688	0.5214814814814815	0.8650229837024656	8375	1197	2393	560	320	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/best_model.pt	37	0.6550619220481619	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1033	1033	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-320.yaml	0.9420088650999414	0.6449656452468833	0.5470388042369086	0.5584045584045584	0.8705096073517126	0.912072101590822	0.5243143358576455	0.4880880789411918	0.5122302158273382	0.8583368157124948	8375	1197	2393	560	320	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/best_model.pt	34	0.6449656452468833	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-320/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1029	1029	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-640.yaml	0.936104374006858	0.6501696312630909	0.5382670120224594	0.5704697986577182	0.8930659983291562	0.91680214069976	0.5542752350627932	0.515286417250247	0.5523156089193825	0.8909318846636022	8375	1197	2393	880	640	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/best_model.pt	58	0.6501696312630909	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1030	1030	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-640.yaml	0.9429288283014132	0.6853687564788075	0.5321946618941532	0.5764192139737991	0.9189640768588136	0.9150126232393628	0.5760437675273572	0.4979739561619608	0.54421768707483	0.9160050146259924	8375	1197	2393	880	640	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/best_model.pt	125	0.6853687564788075	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1031	1031	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-640.yaml	0.9368152546625408	0.6414135399615023	0.5321786665391789	0.5519287833827893	0.8738512949039264	0.9158065640844684	0.5245369958970619	0.5107552238849556	0.5363636363636364	0.8721270371918094	8375	1197	2393	880	640	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/best_model.pt	37	0.6414135399615023	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1032	1032	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-640.yaml	0.9396002341724512	0.6459131987041724	0.5365628654574669	0.5454545454545454	0.8621553884711779	0.90976799284193	0.5027741730561759	0.467535695296412	0.4885290148448042	0.8416213957375679	8375	1197	2393	880	640	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/best_model.pt	27	0.6459131987041724	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv															fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1033	1033	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	results/Figure3b/runtime/ESM2-640.yaml	0.9371246968303084	0.6507813192164413	0.545263377269095	0.5546218487394958	0.8671679197994987	0.9114923987515384	0.5104731988917957	0.4934260338348843	0.5087956698240865	0.8483075637275387	8375	1197	2393	880	640	13022	724046	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/best_model.pt	25	0.6507813192164413	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3b/ESM2-640/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv															fgraminearum
