train_fraction	train_fraction_tag	seed	split_manifest_path	split_version	train_count	val_count	test_count	train_positive_count	val_positive_count	test_positive_count	base_split_version
0.7	70	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1029	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1030	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1031	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1032	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1033	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1029	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1030	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1031	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1032	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1033	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1029	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1030	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1031	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1032	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1033	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
