seed	protocol	species	space	metric	value
1033	fgraminearum_newlabel	fgraminearum	bio_esm2_hidden	davies_bouldin_index	2.0724658733310544
1029	scerevisiae	scerevisiae	bio_input	centroid_distance	4.017195701599121
1029	scerevisiae	scerevisiae	bio_input	silhouette_score	0.06377463042736053
1029	scerevisiae	scerevisiae	bio_input	davies_bouldin_index	4.84108692658611
1029	scerevisiae	scerevisiae	bio_esm2_input	centroid_distance	8.511728286743164
1029	scerevisiae	scerevisiae	bio_esm2_input	silhouette_score	-0.012594479136168957
1029	scerevisiae	scerevisiae	bio_esm2_input	davies_bouldin_index	8.283249370460808
1029	scerevisiae	scerevisiae	bio_hidden	centroid_distance	4.2807135581970215
1029	scerevisiae	scerevisiae	bio_hidden	silhouette_score	0.03140733763575554
1029	scerevisiae	scerevisiae	bio_hidden	davies_bouldin_index	2.7249805518531427
1029	scerevisiae	scerevisiae	bio_esm2_hidden	centroid_distance	15.850019454956055
1029	scerevisiae	scerevisiae	bio_esm2_hidden	silhouette_score	-0.0811719000339508
1029	scerevisiae	scerevisiae	bio_esm2_hidden	davies_bouldin_index	2.789618888722142
1030	scerevisiae	scerevisiae	bio_input	centroid_distance	4.017195701599121
1030	scerevisiae	scerevisiae	bio_input	silhouette_score	0.06377463042736053
1030	scerevisiae	scerevisiae	bio_input	davies_bouldin_index	4.84108692658611
1030	scerevisiae	scerevisiae	bio_esm2_input	centroid_distance	8.511728286743164
1030	scerevisiae	scerevisiae	bio_esm2_input	silhouette_score	-0.012594479136168957
1030	scerevisiae	scerevisiae	bio_esm2_input	davies_bouldin_index	8.283249370460808
1030	scerevisiae	scerevisiae	bio_hidden	centroid_distance	3.87837290763855
1030	scerevisiae	scerevisiae	bio_hidden	silhouette_score	0.030010178685188293
1030	scerevisiae	scerevisiae	bio_hidden	davies_bouldin_index	3.0682967431964845
1030	scerevisiae	scerevisiae	bio_esm2_hidden	centroid_distance	15.521393775939941
1030	scerevisiae	scerevisiae	bio_esm2_hidden	silhouette_score	-0.07519044727087021
1030	scerevisiae	scerevisiae	bio_esm2_hidden	davies_bouldin_index	2.867121534210082
1031	scerevisiae	scerevisiae	bio_input	centroid_distance	4.017195701599121
1031	scerevisiae	scerevisiae	bio_input	silhouette_score	0.06377463042736053
1031	scerevisiae	scerevisiae	bio_input	davies_bouldin_index	4.84108692658611
1031	scerevisiae	scerevisiae	bio_esm2_input	centroid_distance	8.511728286743164
1031	scerevisiae	scerevisiae	bio_esm2_input	silhouette_score	-0.012594479136168957
1031	scerevisiae	scerevisiae	bio_esm2_input	davies_bouldin_index	8.283249370460808
1031	scerevisiae	scerevisiae	bio_hidden	centroid_distance	3.8511898517608643
1031	scerevisiae	scerevisiae	bio_hidden	silhouette_score	0.05842261761426926
1031	scerevisiae	scerevisiae	bio_hidden	davies_bouldin_index	3.0968639394609268
1031	scerevisiae	scerevisiae	bio_esm2_hidden	centroid_distance	14.00820541381836
1031	scerevisiae	scerevisiae	bio_esm2_hidden	silhouette_score	-0.0688219666481018
1031	scerevisiae	scerevisiae	bio_esm2_hidden	davies_bouldin_index	3.226574183159779
1032	scerevisiae	scerevisiae	bio_input	centroid_distance	4.017195701599121
1032	scerevisiae	scerevisiae	bio_input	silhouette_score	0.06377463042736053
1032	scerevisiae	scerevisiae	bio_input	davies_bouldin_index	4.84108692658611
1032	scerevisiae	scerevisiae	bio_esm2_input	centroid_distance	8.511728286743164
1032	scerevisiae	scerevisiae	bio_esm2_input	silhouette_score	-0.012594479136168957
1032	scerevisiae	scerevisiae	bio_esm2_input	davies_bouldin_index	8.283249370460808
1032	scerevisiae	scerevisiae	bio_hidden	centroid_distance	3.940121650695801
1032	scerevisiae	scerevisiae	bio_hidden	silhouette_score	0.054363906383514404
1032	scerevisiae	scerevisiae	bio_hidden	davies_bouldin_index	3.0304194914240425
1032	scerevisiae	scerevisiae	bio_esm2_hidden	centroid_distance	15.892976760864258
1032	scerevisiae	scerevisiae	bio_esm2_hidden	silhouette_score	-0.10375519096851349
1032	scerevisiae	scerevisiae	bio_esm2_hidden	davies_bouldin_index	2.6722592779973295
1033	scerevisiae	scerevisiae	bio_input	centroid_distance	4.017195701599121
1033	scerevisiae	scerevisiae	bio_input	silhouette_score	0.06377463042736053
1033	scerevisiae	scerevisiae	bio_input	davies_bouldin_index	4.84108692658611
1033	scerevisiae	scerevisiae	bio_esm2_input	centroid_distance	8.511728286743164
1033	scerevisiae	scerevisiae	bio_esm2_input	silhouette_score	-0.012594479136168957
1033	scerevisiae	scerevisiae	bio_esm2_input	davies_bouldin_index	8.283249370460808
1033	scerevisiae	scerevisiae	bio_hidden	centroid_distance	4.042687892913818
1033	scerevisiae	scerevisiae	bio_hidden	silhouette_score	0.03288443759083748
1033	scerevisiae	scerevisiae	bio_hidden	davies_bouldin_index	3.0750285821469414
1033	scerevisiae	scerevisiae	bio_esm2_hidden	centroid_distance	14.917485237121582
1033	scerevisiae	scerevisiae	bio_esm2_hidden	silhouette_score	-0.08650890737771988
1033	scerevisiae	scerevisiae	bio_esm2_hidden	davies_bouldin_index	2.8682806372843634
