node_id	species	protocol	label	split	seed	baseline_pred_label	esm2_pred_label	baseline_pred_score	esm2_pred_score	transition	transition_display
FGRAMPH1_01G00147	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2670229375362396	1.5792324115082579e-09	TN_stable	TN_stable
FGRAMPH1_01G00153	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0583154745399951	4.8192673809954726e-12	TN_stable	TN_stable
FGRAMPH1_01G00165	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	2.3376665936325484e-08	4.296764018363319e-05	TN_stable	TN_stable
FGRAMPH1_01G00171	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	1.22384031797651e-08	0.0106914173811674	TN_stable	TN_stable
FGRAMPH1_01G00205	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0010894980514422	7.293002113328839e-08	TN_stable	TN_stable
FGRAMPH1_01G00217	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0176562778651714	0.0002568908093962	TN_stable	TN_stable
FGRAMPH1_01G00251	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0351015925407409	1.5104693537604238e-11	TN_stable	TN_stable
FGRAMPH1_01G00265	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0003429946373216	5.6193365932655226e-11	TN_stable	TN_stable
FGRAMPH1_01G00269	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0005318993935361	2.2260021950715192e-11	TN_stable	TN_stable
FGRAMPH1_01G00291	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0005358566413633	6.063331083735669e-19	TN_stable	TN_stable
FGRAMPH1_01G00311	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	2.017390161174193e-12	4.083413543208488e-29	TN_stable	TN_stable
FGRAMPH1_01G00331	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	5.572771624429152e-05	2.9519960147743142e-22	TN_stable	TN_stable
FGRAMPH1_01G00333	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0558614395558834	2.9992916097398847e-05	TN_stable	TN_stable
FGRAMPH1_01G00343	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0165684446692466	3.4182443542363213e-09	TN_stable	TN_stable
FGRAMPH1_01G00349	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0331343300640583	2.063961437670514e-05	TN_stable	TN_stable
FGRAMPH1_01G00351	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0888710170984268	0.0018388369353488	TN_stable	TN_stable
FGRAMPH1_01G00365	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0171725805848836	1.845458719174076e-08	TN_stable	TN_stable
FGRAMPH1_01G00377	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2591935098171234	0.0002548205084167	TN_stable	TN_stable
FGRAMPH1_01G00413	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.033993199467659	7.584882951050531e-06	TN_stable	TN_stable
FGRAMPH1_01G00421	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.161299929022789	0.0002453519264236	TN_stable	TN_stable
FGRAMPH1_01G00431	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1112661510705947	2.525256392882369e-10	TN_stable	TN_stable
FGRAMPH1_01G00443	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0382498390972614	0.0003679303044918	TN_stable	TN_stable
FGRAMPH1_01G00457	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0010158679215237	1.5353681867558144e-11	TN_stable	TN_stable
