node_id	species	protocol	label	split	rescue_count	rescue_frequency	stable_rescued_ge2	confidence_tier	mean_delta_probability	std_delta_probability
FGRAMPH1_01G03175	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.1911091089248657	0.07472747716638131
FGRAMPH1_01G03189	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.03387250304222107	0.19908522955336616
FGRAMPH1_01G03195	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.008188462257385254	0.012586954882447437
FGRAMPH1_01G03297	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.09813131093978882	0.07015101090189842
FGRAMPH1_01G03411	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.016688334941863968	0.017823525915359014
FGRAMPH1_01G03565	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.1229595422744751	0.030132491989736453
FGRAMPH1_01G03595	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.009994530677795387	0.06121287942430097
FGRAMPH1_01G03665	fgraminearum	fgraminearum_newlabel	1	test	2	0.4	True	stable_rescued	0.30507790595293044	0.26906797197957555
FGRAMPH1_01G03683	fgraminearum	fgraminearum_newlabel	1	test	1	0.2	False	seed_specific_rescued	0.2435783326625824	0.19229270801670945
FGRAMPH1_01G03685	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.3077154725790024	0.18666958796049654
FGRAMPH1_01G03715	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.5762251317501069	0.03681484895609353
FGRAMPH1_01G03819	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.08468152862042186	0.13925740168574208
FGRAMPH1_01G03965	fgraminearum	fgraminearum_newlabel	1	test	1	0.2	False	seed_specific_rescued	0.025037845969200112	0.2768812434116508
FGRAMPH1_01G04531	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.015489149093627952	0.022490499850277373
FGRAMPH1_01G04635	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.646522656083107	0.022173811477011494
FGRAMPH1_01G05279	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.00478746891021733	0.04462156524608418
FGRAMPH1_01G06013	fgraminearum	fgraminearum_newlabel	1	test	3	0.6	True	stable_rescued	0.5222152587695745	0.20447038513503302
FGRAMPH1_01G06079	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.15036977529525758	0.034302301139125184
FGRAMPH1_01G06103	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.0336344957351685	0.01923149885831639
FGRAMPH1_01G06105	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.2168673038482666	0.0724323197842478
FGRAMPH1_01G06129	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.06632161140441899	0.01568304884932815
FGRAMPH1_01G06141	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.004385638236999556	0.003584966226339935
FGRAMPH1_01G06145	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.17615092992782594	0.09597607351992497
FGRAMPH1_01G06233	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.13937602741643787	0.1966914377463025
