protocol	species	regime	model	feature_setting	train_fraction	train_fraction_tag	n_runs	seed_list	split_version_count	split_manifest_count	mean_AUPRC	sd_AUPRC	mean_AUROC	sd_AUROC	mean_MCC	sd_MCC	mean_F1	sd_F1	mean_PRECISION	sd_PRECISION	mean_RECALL	sd_RECALL	baseline_AUPRC_at_0.90	performance_retention_AUPRC	performance_drop_AUPRC
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.1	10	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.056670183048679934	0.003775040542707336	0.04011449502104446	0.004151425672311694	0.04005176318984384	0.0038344157686711327	0.04018264840182648	0.004473953868097128	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.2	20	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.05846343370210886	0.0036813275365197655	0.037681308930114676	0.004128100044123635	0.03793400243718498	0.003797133563015414	0.03744292237442922	0.004473953868097129	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.3	30	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.05634352849867822	0.0037921304859149067	0.04085433274613988	0.0038769548072433244	0.040617466216162024	0.003675008132786342	0.0410958904109589	0.0040841424246571495	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.4	40	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.05742506206055664	0.004210603253009867	0.0392440599908448	0.005003156425226711	0.0392306707629288	0.004526228499951558	0.039269406392694065	0.005479452054794521	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.5	50	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.05687612581478598	0.003716607454402643	0.04005762543299858	0.004117941723134501	0.039941000252217695	0.0037766299708758997	0.04018264840182648	0.004473953868097128	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.6	60	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.05700880613129437	0.00395104217082362	0.04002743638903584	0.0041835895408170185	0.03987862776528526	0.003905831588277193	0.04018264840182648	0.004473953868097128	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.7	70	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.05972646450246777	0.0016927584301716292	0.037387544340647824	0.0017200956474281873	0.037333997865827	0.0016276752875617872	0.03744292237442922	0.00182648401826484	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.8	80	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.059723016851892685	0.0019074280717901707	0.03738885453171162	0.001733468011199619	0.037339302210884606	0.001685008791881666	0.03744292237442922	0.00182648401826484	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK	0.9	90	5	1029,1030,1031,1032,1033	5	5	0.1029228285786746	0.0	0.6046636673345852	0.0	-0.060724963036992666	0.0007854705648813416	0.036480747557241	0.00019545670978201088	0.03643404475141816	0.0003928322218322051	0.0365296803652968	0.0	0.1029228285786746	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.1	10	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3137058247941359	0.004406269723234812	0.3770745473986556	0.0032376961344921357	0.373566054276673	0.008363516855086314	0.38082191780821917	0.00365296803652968	0.3646748255008892	1.0	0.0
