raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
FGSG_00085	FGRAMPH1_01G00253	mapped	alias_bridge	STRING aliases bridge
FGSG_00087	FGRAMPH1_01G00259	mapped	alias_bridge	STRING aliases bridge
FGSG_00089	FGRAMPH1_01G00265	mapped	alias_bridge	STRING aliases bridge
FGSG_00090	FGRAMPH1_01G00267	mapped	alias_bridge	STRING aliases bridge
FGSG_00091	FGRAMPH1_01G00269	mapped	alias_bridge	STRING aliases bridge
FGSG_00092	FGRAMPH1_01G00273	mapped	alias_bridge	STRING aliases bridge
FGSG_00093	FGRAMPH1_01G00275	mapped	alias_bridge	STRING aliases bridge
FGSG_00094	FGRAMPH1_01G00277	mapped	alias_bridge	STRING aliases bridge
FGSG_00095		unmapped	none	no evidence found
FGSG_00096	FGRAMPH1_01G00281	mapped	alias_bridge	STRING aliases bridge
FGSG_00097	FGRAMPH1_01G00283	mapped	alias_bridge	STRING aliases bridge
FGSG_00099	FGRAMPH1_01G00289	mapped	alias_bridge	STRING aliases bridge
FGSG_00100	FGRAMPH1_01G00291	mapped	alias_bridge	STRING aliases bridge
FGSG_00101	FGRAMPH1_01G00293	mapped	alias_bridge	STRING aliases bridge
FGSG_00102	FGRAMPH1_01G00295	mapped	alias_bridge	STRING aliases bridge
FGSG_00103	FGRAMPH1_01G00297	mapped	alias_bridge	STRING aliases bridge
FGSG_00105	FGRAMPH1_01G00301	mapped	alias_bridge	STRING aliases bridge
FGSG_00107	FGRAMPH1_01G00309	mapped	alias_bridge	STRING aliases bridge
FGSG_00108	FGRAMPH1_01G00311	mapped	alias_bridge	STRING aliases bridge
FGSG_00109	FGRAMPH1_01G00313	mapped	alias_bridge	STRING aliases bridge
FGSG_00110	FGRAMPH1_01G00315	mapped	alias_bridge	STRING aliases bridge
FGSG_00111	FGRAMPH1_01G00317	mapped	alias_bridge	STRING aliases bridge
FGSG_00112	FGRAMPH1_01G00319	mapped	alias_bridge	STRING aliases bridge
FGSG_00114	FGRAMPH1_01G00323	mapped	alias_bridge	STRING aliases bridge
FGSG_00115		unmapped	none	no evidence found
FGSG_00116	FGRAMPH1_01G00327	mapped	alias_bridge	STRING aliases bridge
FGSG_00117	FGRAMPH1_01G00329	mapped	alias_bridge	STRING aliases bridge
FGSG_00118	FGRAMPH1_01G00331	mapped	alias_bridge	STRING aliases bridge
FGSG_00119	FGRAMPH1_01G00333	mapped	alias_bridge	STRING aliases bridge
FGSG_00120	FGRAMPH1_01G00335	mapped	alias_bridge	STRING aliases bridge
FGSG_00122	FGRAMPH1_01G00341	mapped	alias_bridge	STRING aliases bridge
FGSG_00123	FGRAMPH1_01G00343	mapped	alias_bridge	STRING aliases bridge
FGSG_00124	FGRAMPH1_01G00345	mapped	alias_bridge	STRING aliases bridge
FGSG_00125	FGRAMPH1_01G00347	mapped	alias_bridge	STRING aliases bridge
FGSG_00126	FGRAMPH1_01G00349	mapped	alias_bridge	STRING aliases bridge
FGSG_00127	FGRAMPH1_01G00351	mapped	alias_bridge	STRING aliases bridge
FGSG_00128	FGRAMPH1_01G00355	mapped	alias_bridge	STRING aliases bridge
FGSG_00129		unmapped	none	no evidence found
FGSG_00130	FGRAMPH1_01G00359	mapped	alias_bridge	STRING aliases bridge
FGSG_00131	FGRAMPH1_01G00361	mapped	alias_bridge	STRING aliases bridge
FGSG_00132	FGRAMPH1_01G00363	mapped	alias_bridge	STRING aliases bridge
FGSG_00134	FGRAMPH1_01G00367	mapped	alias_bridge	STRING aliases bridge
FGSG_00135	FGRAMPH1_01G00369	mapped	alias_bridge	STRING aliases bridge
FGSG_00136	FGRAMPH1_01G00373	mapped	alias_bridge	STRING aliases bridge
FGSG_00137	FGRAMPH1_01G00375	mapped	alias_bridge	STRING aliases bridge
FGSG_00138	FGRAMPH1_01G00377	mapped	alias_bridge	STRING aliases bridge
FGSG_00139	FGRAMPH1_01G00379	mapped	alias_bridge	STRING aliases bridge
FGSG_00140	FGRAMPH1_01G00381	mapped	alias_bridge	STRING aliases bridge
FGSG_00141		unmapped	none	no evidence found
FGSG_00142	FGRAMPH1_01G00387	mapped	alias_bridge	STRING aliases bridge
FGSG_00143		unmapped	none	no evidence found
FGSG_00144	FGRAMPH1_01G00391	mapped	alias_bridge	STRING aliases bridge
