comparison	feature_setting	protocol	run_id	seed	metrics_path	predictions_path	best_threshold	best_threshold_by_mcc	best_threshold_by_f1	val_auroc	val_auprc	test_auroc	test_auprc	val_mcc_at_best_threshold	val_f1_at_best_threshold	val_precision_at_best_threshold	val_recall_at_best_threshold	test_mcc_at_best_threshold	test_f1_at_best_threshold	test_precision_at_best_threshold	test_recall_at_best_threshold	test_specificity_at_best_threshold
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1029/predictions.tsv	0.656465649605	0.656465649605	0.608292281628	0.9329764991218533	0.6651698974476966	0.9136221765741244	0.5752218122725361	0.5761799532235182	0.6132075471698113	0.6372549019607843	0.5909090909090909	0.49310262883330225	0.5352798053527981	0.5729166666666666	0.502283105022831	0.9622815087396505
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1030/predictions.tsv	0.459820330143	0.459820330143	0.574355244637	0.9318056368654345	0.6446714306081276	0.9168126425627906	0.5860560217596305	0.5563240608878258	0.592057761732852	0.49101796407185627	0.7454545454545455	0.5287652534502627	0.5683060109289617	0.4727272727272727	0.7123287671232876	0.9199632014719411
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/predictions.tsv	0.831142067909	0.831142067909	0.46343883872	0.9294388224471021	0.6618488465500408	0.9157246495528305	0.5852931388509812	0.553538270169833	0.5508982035928144	0.8070175438596491	0.41818181818181815	0.4419715021502503	0.4081632653061224	0.8	0.273972602739726	0.9931002759889604
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1032/predictions.tsv	0.572979927063	0.572979927063	0.572979927063	0.9306849544200049	0.6465937735328846	0.9156532368842232	0.5847475175304127	0.5669246482214688	0.6072874493927125	0.5474452554744526	0.6818181818181818	0.5131238338368577	0.5591836734693877	0.5055350553505535	0.6255707762557078	0.9383624655013799
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1033/predictions.tsv	0.60640925169	0.60640925169	0.60640925169	0.928351593208999	0.6411148574226722	0.9163064527647204	0.5706072291181863	0.5505191182946408	0.5932203389830508	0.5555555555555556	0.6363636363636364	0.4899031181779395	0.5384615384615384	0.5060240963855421	0.5753424657534246	0.9434222631094756
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1029/predictions.tsv	0.644608438015	0.644608438015	0.644608438015	0.9186334364807227	0.6072985192992862	0.9019798112185101	0.518778193466541	0.5561583231502929	0.5954198473282444	0.5131578947368421	0.7090909090909091	0.4921779285389559	0.5403225806451614	0.48375451263537905	0.6118721461187214	0.9342226310947562
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1030/predictions.tsv	0.713659346104	0.713659346104	0.713659346104	0.9286944885840929	0.6149893897695375	0.909553754836108	0.5327252894243198	0.5355182985693724	0.5745454545454546	0.47878787878787876	0.7181818181818181	0.4961562614858792	0.5401459854014599	0.44984802431610943	0.6757990867579908	0.9167433302667893
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1031/predictions.tsv	0.769974291325	0.769974291325	0.762099742889	0.920674082127624	0.6253059578781126	0.9012068740994652	0.5278219459334597	0.5521677800258793	0.5882352941176471	0.6382978723404256	0.5454545454545454	0.4606570978336226	0.5025125628140704	0.5586592178770949	0.45662100456621	0.9636614535418583
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1032/predictions.tsv	0.958268761635	0.958268761635	0.772682845592	0.9205235426946557	0.6177178265091016	0.9058507979315531	0.5413200284712901	0.5445077807390735	0.56353591160221	0.7183098591549296	0.4636363636363636	0.4228385986848461	0.44117647058823534	0.6198347107438017	0.3424657534246575	0.9788408463661453
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1033/predictions.tsv	0.66844701767	0.66844701767	0.66844701767	0.9300577067826377	0.6004669440844667	0.9082725275463867	0.535973993066391	0.5276595325330982	0.563573883161512	0.4530386740331492	0.7454545454545455	0.5183689901178091	0.5547945205479452	0.4438356164383562	0.7397260273972602	0.906623735050598
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1029/predictions.tsv	0.461613118649	0.461613118649	0.622254788876	0.930684954420005	0.6165897965480654	0.9104863202732165	0.5151109099364483	0.5284476517425974	0.5618729096989967	0.4444444444444444	0.7636363636363637	0.5013136951871064	0.5401709401709403	0.43169398907103823	0.7214611872146118	0.9043238270469182
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1030/predictions.tsv	0.630991995335	0.630991995335	0.630991995335	0.9270720080287698	0.6303430726151937	0.9100221379272682	0.5578796481429517	0.5410958180715795	0.5847457627118645	0.5476190476190477	0.6272727272727273	0.4739708041675763	0.5232815964523282	0.5086206896551724	0.5388127853881278	0.9475620975160993
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1031/predictions.tsv	0.531291127205	0.531291127205	0.531291127205	0.927164004348917	0.6362820384469503	0.9094823421675005	0.5309598897989103	0.5398220763066998	0.5787545787545788	0.48466257668711654	0.7181818181818181	0.48304128321935647	0.5298507462686567	0.4479495268138801	0.6484018264840182	0.9195032198712052
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1032/predictions.tsv	0.634054303169	0.634054303169	0.634054303169	0.9270970979342644	0.6231854783776308	0.9082515238203257	0.5383515733145305	0.5344149606429119	0.5787234042553191	0.544	0.6181818181818182	0.4610883769499278	0.5112107623318386	0.5022026431718062	0.5205479452054794	0.9480220791168353
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1033/predictions.tsv	0.648939073086	0.648939073086	0.648939073086	0.9291544701848289	0.6255139782182764	0.9097427883706568	0.5397148034154534	0.5371875529326112	0.5811965811965812	0.5483870967741935	0.6181818181818182	0.44098261813701845	0.49333333333333335	0.4805194805194805	0.5068493150684932	0.9448022079116836
