comparison	feature_setting	protocol	run_id	seed	metrics_path	predictions_path	split	brier_score	ece_10bin	nonempty_bins
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/predictions.tsv	test	0.063574906036331	0.04229533057726143	10
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1032/predictions.tsv	test	0.06528597832221832	0.05268308295558916	10
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1033/predictions.tsv	test	0.06560951618553988	0.05403952089913723	10
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1029/predictions.tsv	test	0.0831179912410545	0.07965926678975334	10
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1030/predictions.tsv	test	0.09524827724328248	0.09965119856965969	10
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1031/predictions.tsv	test	0.07365738759953724	0.06500217086959655	10
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1032/predictions.tsv	test	0.08245115354926723	0.07807512382399043	10
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1033/predictions.tsv	test	0.09796014701154539	0.10677861404151309	10
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1029/predictions.tsv	test	0.06983653079237208	0.05583713497384322	10
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1030/predictions.tsv	test	0.06855807446764701	0.05277075873283526	10
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1031/predictions.tsv	test	0.07179224282839451	0.05829230942420888	10
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1032/predictions.tsv	test	0.06945790791932967	0.05430688476194146	10
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1033/predictions.tsv	test	0.07033155958107494	0.05450069561407254	10
