comparison	feature_setting	runs	best_threshold	best_threshold_std	best_threshold_by_f1_mean	best_threshold_by_f1_std	best_threshold_by_mcc_mean	best_threshold_by_mcc_std	val_auroc_mean	val_auroc_std	val_auprc_mean	val_auprc_std	AUROC	test_auroc_std	AUPRC	test_auprc_std	val_mcc_at_best_threshold_mean	val_mcc_at_best_threshold_std	val_f1_at_best_threshold_mean	val_f1_at_best_threshold_std	val_precision_at_best_threshold_mean	val_precision_at_best_threshold_std	val_recall_at_best_threshold_mean	val_recall_at_best_threshold_std	MCC	test_mcc_at_best_threshold_std	F1	test_f1_at_best_threshold_std	Precision	test_precision_at_best_threshold_std	Recall	test_recall_at_best_threshold_std	test_specificity_at_best_threshold_mean	test_specificity_at_best_threshold_std	mean_mean	mean_std	std_mean	std_std	min_mean	min_std	max_mean	max_std	positive_class_mean_score_mean	positive_class_mean_score_std	negative_class_mean_score_mean	negative_class_mean_score_std
baseline concat	ORT_EXP_SUB_ESM2	5	0.657967412472	0.19674789116264335	0.6570591330529999	0.1787699774688593	0.657967412472	0.19674789116264335	0.9391619971564774	0.0015966732589786457	0.6670147070321564	0.011155439106409048	0.9176868176414494	0.0018887642673601698	0.5497912364916027	0.023021489632488023	0.5747503187297192	0.0079693422817638	0.605545599856111	0.007656820596731907	0.5715735026427982	0.10049296483237921	0.6854545454545455	0.1133414354582451	0.48335588298975923	0.030238589254308765	0.5210487045760269	0.03806493911852931	0.5068912152067454	0.07440174808548769	0.582648401826484	0.14170267480669455	0.936982520699172	0.02720510226793238	0.15041301398148474	0.022993566423915496	0.29464981929753276	0.014270553406943855	2.2336983797326172e-26	4.182052030282924e-26	0.9977955341339111	0.0009299067927565972	0.663024952446921	0.039875761838806735	0.0987745528389224	0.02132296586923496
old gated	ORT_EXP_SUB_ESM2_GATED	5	0.8281063437463999	0.07476721002730224	0.8433510661127999	0.02678805875444164	0.8281063437463999	0.07476721002730224	0.9315079033202307	0.0019317206899115294	0.6409182434216211	0.013918182362378566	0.913060536939253	0.0016355700608474192	0.5630633072860409	0.012690551397302246	0.5632965121589221	0.010976587297657946	0.5956502337536285	0.015755821507909308	0.6051532780944546	0.0907469838507298	0.6181818181818182	0.10802509656373054	0.47700255462947466	0.03269147851908006	0.5113482294836051	0.03779501958040454	0.5408466533466534	0.0737135526395953	0.5287671232876713	0.1544270364844874	0.9487580496780129	0.030123141108751146	0.19995794192093003	0.013379376666129735	0.3222300989147852	0.006402718136737331	4.148480921983833e-06	8.014389035036002e-06	0.9850487589836121	0.005513470475896214	0.7384348156063366	0.00746906737042486	0.14571395142548202	0.01468071364741774
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	5	0.625363445282	0.12150720641152313	0.5650951087475999	0.053018434274138215	0.625363445282	0.12150720641152313	0.9306515012126788	0.0016431025600113572	0.6518797611122844	0.009713858482317777	0.9156238316677378	0.0010859921668908811	0.5803851439063493	0.006285621445881126	0.5606972101594574	0.009512778016327007	0.5913342601742482	0.021781186147065677	0.6076582441844595	0.11005938545622487	0.6145454545454545	0.11068531821981399	0.4933732672897224	0.029315300451492044	0.5218788587037617	0.05819439232306852	0.571440618226007	0.11883497704219574	0.5378995433789954	0.14862014148996058	0.9514259429622814	0.024816167223046384	0.13278240362836796	0.009328128416764328	0.24716420857167032	0.003765268346531946	2.2527139250883015e-06	4.166366188910049e-06	0.9249080777168274	0.013684326136996354	0.5726935912686539	0.011916120295712677	0.08846752318070344	0.009619312477337959
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	5	0.7509915709498001	0.11211498268502226	0.712299478054	0.050265658012743686	0.7509915709498001	0.11211498268502226	0.9237166513339465	0.004696383529779709	0.613155727508101	0.00856872540581858	0.9053727531264044	0.0033161603301557875	0.5313238900724004	0.007657261611915488	0.5432023430035432	0.01049346602826998	0.5770620781510136	0.012907907840966057	0.560318435810645	0.1014124036020325	0.6363636363636365	0.11134044285378084	0.4780397753322226	0.03317790648051763	0.5157904239993745	0.041133643820527865	0.5111864164021482	0.0679840520812976	0.565296803652968	0.14578729536297627	0.9400183992640294	0.02741058108835722	0.1485332794781652	0.03727178215146748	0.29948462232738826	0.01935249611794313	8.944393340594326e-11	1.7256867714789654e-10	0.9975954413414001	0.0019233085080279518	0.6476769888910877	0.07139173178610081	0.09825155346094806	0.034023608739632345
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	5	0.5813779234888	0.07301117952280729	0.6135062575342	0.04199838587246377	0.5813779234888	0.07301117952280729	0.9282345069833571	0.0014589108256884075	0.6263828728412234	0.00664167621078553	0.9095970225117934	0.0007505117748130372	0.5364033649216589	0.013849129521747024	0.5361936119392798	0.004502194956464588	0.5770586473234681	0.007905295263217418	0.5138226331049605	0.04221662044165441	0.6690909090909092	0.060466505993875964	0.4720793555321971	0.02032828934484158	0.5195694757114194	0.01613758320683916	0.4741972658462754	0.030015715900812766	0.587214611872146	0.08368008174579218	0.9328426862925483	0.017784104631489234	0.13751709849025323	0.002459309992436869	0.255044984655471	0.0030470120522686182	8.475176066151095e-14	1.676768446306414e-13	0.969360888004303	0.018608406043032065	0.5763736655419284	0.005259287399389074	0.09330845627115626	0.0024242927983770136
