comparison	feature_setting	protocol	run_id	seed	metrics_path	predictions_path	split	mean	std	min	max	positive_class_mean_score	negative_class_mean_score
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1030/predictions.tsv	test	0.13235360039909097	0.2518497107687809	2.0206138984235625e-08	0.9265398383140564	0.583945926902217	0.08686200909081837
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/predictions.tsv	test	0.11815682939046196	0.24255810420922075	2.1174356490405444e-08	0.933601975440979	0.5503762789071752	0.07461678364797794
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1032/predictions.tsv	test	0.13457279101545008	0.24914822540964882	3.4699945672400645e-07	0.9347708225250244	0.5813985833111934	0.0895613611567712
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1033/predictions.tsv	test	0.13135814639512272	0.24942270924557247	2.9412831281661056e-07	0.9315021634101868	0.575708042106516	0.08659612838187748
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1029/predictions.tsv	test	0.12746046253186635	0.2993038776619715	4.841381431934048e-26	0.9986433386802672	0.624080816796579	0.07743292914457468
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1030/predictions.tsv	test	0.1885598061696103	0.3155412110966411	4.344392900978988e-10	0.9953906536102296	0.7178437455007719	0.1352418748386423
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1031/predictions.tsv	test	0.09978953511936435	0.26442380931079174	2.7557845981937365e-23	0.9992002844810486	0.5339855971643931	0.0560503733954171
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1032/predictions.tsv	test	0.1311787496917265	0.2990407555304616	2.753020397116618e-16	0.9995918869972228	0.6321180997833895	0.08071613806795731
residual gated	ORT_EXP_SUB_ESM2_GATED_RESIDUAL	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL/run_1033/predictions.tsv	test	0.1956778438782585	0.31911345803707536	1.2780101629750185e-11	0.9951510429382324	0.7303566852103055	0.1418164518581489
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1029/predictions.tsv	test	0.13951041341660783	0.25283362330272907	5.104339240572315e-18	0.9904289245605468	0.5740380308126191	0.09573785214258464
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1030/predictions.tsv	test	0.13398625247624496	0.2532800914966056	2.3502074733631724e-15	0.9531202912330629	0.5740029575285143	0.0896607426296732
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1031/predictions.tsv	test	0.13793290704868227	0.260560159359661	4.07312627467057e-16	0.993776559829712	0.5826341180571747	0.09313549894801078
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1032/predictions.tsv	test	0.13552856543947567	0.2524295619862338	4.201016975697442e-13	0.954598069190979	0.5690078255102452	0.0918616114581056
residual gated + WBCE	ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED_RESIDUAL_WBCE/run_1033/predictions.tsv	test	0.14062735407025553	0.2561214871321256	8.944812977397629e-16	0.9548805952072144	0.5821853958010889	0.09614657617740709
