raw_probe_id	mapped_gene_id	mapping_status	mapping_method
Q8IUH2	ENSG00000175874	mapped	alias_bridge
Q8IUH3	ENSG00000155636	mapped	alias_bridge
Q8IUH4	ENSG00000177054	mapped	alias_bridge
Q8IUH5	ENSG00000186908	mapped	alias_bridge
Q8IUH8	ENSG00000185294	mapped	alias_bridge
Q8IUI4		unmapped	none
Q8IUI8	ENSG00000176390	mapped	alias_bridge
Q8IUK5	ENSG00000161381	mapped	alias_bridge
Q8IUK8	ENSG00000141668	mapped	alias_bridge
Q8IUL8	ENSG00000160161	mapped	alias_bridge
Q8IUM7	ENSG00000174576	mapped	alias_bridge
Q8IUN9	ENSG00000132514	mapped	alias_bridge
Q8IUQ0	ENSG00000177182	mapped	alias_bridge
Q8IUQ4	ENSG00000196470	mapped	alias_bridge
Q8IUR0	ENSG00000181029	mapped	alias_bridge
Q8IUR5	ENSG00000133687	mapped	alias_bridge
Q8IUR6	ENSG00000164463	mapped	alias_bridge
Q8IUR7	ENSG00000114098	mapped	alias_bridge
Q8IUS5	ENSG00000172031	mapped	alias_bridge
Q8IUW3	ENSG00000158792	mapped	alias_bridge
Q8IUW5	ENSG00000181826	mapped	alias_bridge
Q8IUX1	ENSG00000171204	mapped	alias_bridge
Q8IUX4	ENSG00000128394	mapped	alias_bridge
Q8IUX7	ENSG00000106624	mapped	alias_bridge
Q8IUX8	ENSG00000198759	mapped	alias_bridge
