source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC167.03c	snu66	E	SPAC167.03c.1:pep	locus_exact	matched
PomBase	SPAC1687.01	rpc19	E	SPAC1687.01.1:pep	locus_exact	matched
PomBase	SPAC1687.02	rce1	E	SPAC1687.02.1:pep	locus_exact	matched
PomBase	SPAC1687.03c	rfc4	E	SPAC1687.03c.1:pep	locus_exact	matched
PomBase	SPAC1687.04	mcb1	E	SPAC1687.04.1:pep	locus_exact	matched
PomBase	SPAC1687.11	spb1	E	SPAC1687.11.1:pep	locus_exact	matched
PomBase	SPAC1687.12c	coq4	E	SPAC1687.12c.1:pep	locus_exact	matched
PomBase	SPAC1687.18c	ssl3	E	SPAC1687.18c.1:pep	locus_exact	matched
PomBase	SPAC1687.20c	mis6	E	SPAC1687.20c.1:pep	locus_exact	matched
PomBase	SPAC16A10.06c	nse2	E	SPAC16A10.06c.1:pep	locus_exact	matched
PomBase	SPAC16C9.03	nmd3	E	SPAC16C9.03.1:pep	locus_exact	matched
PomBase	SPAC16E8.02	mpo1	E	SPAC16E8.02.1:pep	locus_exact	matched
PomBase	SPAC16E8.03	gna1	E	SPAC16E8.03.1:pep	locus_exact	matched
PomBase	SPAC16E8.04c	aro7	E	SPAC16E8.04c.1:pep	locus_exact	matched
PomBase	SPAC16E8.07c	vph1	E	SPAC16E8.07c.1:pep	locus_exact	matched
PomBase	SPAC16E8.10c	rsm7	E	SPAC16E8.10c.1:pep	locus_exact	matched
PomBase	SPAC16E8.11c	tfb1	E	SPAC16E8.11c.1:pep	locus_exact	matched
PomBase	SPAC16E8.15	tif45	E	SPAC16E8.15.1:pep	locus_exact	matched
PomBase	SPAC16E8.16	sua7	E	SPAC16E8.16.1:pep	locus_exact	matched
PomBase	SPAC1751.02c	rsm19	E	SPAC1751.02c.1:pep	locus_exact	matched
PomBase	SPAC1751.03	tif313	E	SPAC1751.03.1:pep	locus_exact	matched
PomBase	SPAC1782.03	saf3	E	SPAC1782.03.1:pep	locus_exact	matched
PomBase	SPAC1782.10c	nhp2	E	SPAC1782.10c.1:pep	locus_exact	matched
PomBase	SPAC1783.03	fta2	E	SPAC1783.03.1:pep	locus_exact	matched
PomBase	SPAC1786.03	cut11	E	SPAC1786.03.1:pep	locus_exact	matched
PomBase	SPAC17A2.03c	vma6	E	SPAC17A2.03c.1:pep	locus_exact	matched
PomBase	SPAC17A2.04c	cns1	E	SPAC17A2.04c.1:pep	locus_exact	matched
PomBase	SPAC17A2.08c	ntr2	E	SPAC17A2.08c.1:pep	locus_exact	matched
PomBase	SPAC17A5.03	rpl301	E	SPAC17A5.03.1:pep	locus_exact	matched
PomBase	SPAC17A5.06	ptr8	E	SPAC17A5.06.1:pep	locus_exact	matched
PomBase	SPAC17A5.07c	ulp2	E	SPAC17A5.07c.1:pep	locus_exact	matched
PomBase	SPAC17A5.12	ucp7	E	SPAC17A5.12.1:pep	locus_exact	matched
PomBase	SPAC17A5.13	fol2	E	SPAC17A5.13.1:pep	locus_exact	matched
PomBase	SPAC17A5.15c	gus1	E	SPAC17A5.15c.1:pep	locus_exact	matched
PomBase	SPAC17C9.01c	nuc2	E	SPAC17C9.01c.1:pep	locus_exact	matched
PomBase	SPAC17C9.02c	lys7	E	SPAC17C9.02c.1:pep	locus_exact	matched
PomBase	SPAC17C9.03	tif471	E	SPAC17C9.03.1:pep	locus_exact	matched
PomBase	SPAC17C9.06	sam50	E	SPAC17C9.06.1:pep	locus_exact	matched
PomBase	SPAC17C9.13c	cut8	E	SPAC17C9.13c.1:pep	locus_exact	matched
PomBase	SPAC17D4.02	cdc45	E	SPAC17D4.02.1:pep	locus_exact	matched
PomBase	SPAC17G6.07c	use1	E	SPAC17G6.07c.1:pep	locus_exact	matched
PomBase	SPAC17G6.09	sec62	E	SPAC17G6.09.1:pep	locus_exact	matched
PomBase	SPAC17G6.10	ssr1	E	SPAC17G6.10.1:pep	locus_exact	matched
PomBase	SPAC17G6.11c	SPAC17G6.11c	E	SPAC17G6.11c.1:pep	locus_exact	matched
PomBase	SPAC17G6.12	cul1	E	SPAC17G6.12.1:pep	locus_exact	matched
PomBase	SPAC17G6.14c	uap56	E	SPAC17G6.14c.1:pep	locus_exact	matched
PomBase	SPAC17G6.16c	ysh1	E	SPAC17G6.16c.1:pep	locus_exact	matched
PomBase	SPAC17G8.01c	trl1	E	SPAC17G8.01c.1:pep	locus_exact	matched
PomBase	SPAC17G8.02	urh2	E	SPAC17G8.02.1:pep	locus_exact	matched
PomBase	SPAC17G8.03c	bur6	E	SPAC17G8.03c.1:pep	locus_exact	matched
PomBase	SPAC17G8.04c	arc5	E	SPAC17G8.04c.1:pep	locus_exact	matched
PomBase	SPAC17G8.12	sec3	E	SPAC17G8.12.1:pep	locus_exact	matched
PomBase	SPAC17H9.02	mtl1	E	SPAC17H9.02.1:pep	locus_exact	matched
PomBase	SPAC17H9.05	ebp2	E	SPAC17H9.05.1:pep	locus_exact	matched
PomBase	SPAC17H9.07	srp21	E	SPAC17H9.07.1:pep	locus_exact	matched
PomBase	SPAC17H9.16	tom22	E	SPAC17H9.16.1:pep	locus_exact	matched
PomBase	SPAC17H9.17c	mdm10	E	SPAC17H9.17c.1:pep	locus_exact	matched
PomBase	SPAC17H9.20	psc3	E	SPAC17H9.20.1:pep	locus_exact	matched
