gene_id	source_ref_db	source_locus	source_gene	match_type
YDL205C	SGD	S000002364	HEM3	locus_exact
YDL207W	SGD	S000002366	GLE1	locus_exact
YDL208W	SGD	S000002367	NHP2	locus_exact
YDL209C	SGD	S000002368	CWC2	locus_exact
YDL212W	SGD	S000002371	SHR3	locus_exact
YDL217C	SGD	S000002376	TIM22	locus_exact
YDL220C	SGD	S000002379	CDC13	locus_exact
YDL235C	SGD	S000002394	YPD1	locus_exact
YDR002W	SGD	S000002409	YRB1	locus_exact
YDR013W	SGD	S000002420	PSF1	locus_exact
YDR016C	SGD	S000002423	DAD1	locus_exact
YDR021W	SGD	S000002428	FAL1	locus_exact
YDR023W	SGD	S000002430	SES1	locus_exact
YDR037W	SGD	S000002444	KRS1	locus_exact
YDR041W	SGD	S000002448	RSM10	locus_exact
YDR044W	SGD	S000002451	HEM13	locus_exact
YDR045C	SGD	S000002452	RPC11	locus_exact
YDR050C	SGD	S000002457	TPI1	locus_exact
YDR052C	SGD	S000002459	DBF4	locus_exact
YDR054C	SGD	S000002461	CDC34	locus_exact
YDR060W	SGD	S000002467	MAK21	locus_exact
YDR062W	SGD	S000002469	LCB2	locus_exact
YDR064W	SGD	S000002471	RPS13	locus_exact
YDR081C	SGD	S000002488	PDC2	locus_exact
YDR082W	SGD	S000002489	STN1	locus_exact
YDR087C	SGD	S000002494	RRP1	locus_exact
YDR088C	SGD	S000002495	SLU7	locus_exact
YDR113C	SGD	S000002520	PDS1	locus_exact
YDR118W	SGD	S000002525	APC4	locus_exact
YDR141C	SGD	S000002548	DOP1	locus_exact
YDR145W	SGD	S000002552	TAF12	locus_exact
YDR164C	SGD	S000002571	SEC1	locus_exact
YDR167W	SGD	S000002574	TAF10	locus_exact
YDR168W	SGD	S000002575	CDC37	locus_exact
YDR170C	SGD	S000002577	SEC7	locus_exact
YDR172W	SGD	S000002579	SUP35	locus_exact
YDR180W	SGD	S000002588	SCC2	locus_exact
YDR182W	SGD	S000002590	CDC1	locus_exact
YDR188W	SGD	S000002596	CCT6	locus_exact
YDR189W	SGD	S000002597	SLY1	locus_exact
YDR190C	SGD	S000002598	RVB1	locus_exact
YDR196C	SGD	S000002604	CAB5	locus_exact
YDR201W	SGD	S000002609	SPC19	locus_exact
YDR208W	SGD	S000002616	MSS4	locus_exact
YDR211W	SGD	S000002619	GCD6	locus_exact
YDR212W	SGD	S000002620	TCP1	locus_exact
YDR228C	SGD	S000002636	PCF11	locus_exact
YDR232W	SGD	S000002640	HEM1	locus_exact
YDR235W	SGD	S000002643	PRP42	locus_exact
YDR236C	SGD	S000002644	FMN1	locus_exact
YDR238C	SGD	S000002646	SEC26	locus_exact
YDR240C	SGD	S000002648	SNU56	locus_exact
YDR243C	SGD	S000002651	PRP28	locus_exact
YDR246W	SGD	S000002654	TRS23	locus_exact
YDR267C	SGD	S000002675	CIA1	locus_exact
YDR280W	SGD	S000002688	RRP45	locus_exact
YDR288W	SGD	S000002696	NSE3	locus_exact
YDR299W	SGD	S000002707	BFR2	locus_exact
YDR301W	SGD	S000002709	CFT1	locus_exact
YDR302W	SGD	S000002710	GPI11	locus_exact
YDR308C	SGD	S000002716	SRB7	locus_exact
YDR311W	SGD	S000002719	TFB1	locus_exact
YDR320C-A	SGD	S000007604	DAD4	locus_exact
YDR324C	SGD	S000002732	UTP4	locus_exact
YDR325W	SGD	S000002733	YCG1	locus_exact
YDR328C	SGD	S000002736	SKP1	locus_exact
YDR331W	SGD	S000002739	GPI8	locus_exact
YDR339C	SGD	S000002747	FCF1	locus_exact
YDR341C	SGD	S000002749	NA	locus_exact
YDR353W	SGD	S000002761	TRR1	locus_exact
YDR356W	SGD	S000002764	SPC110	locus_exact
YDR361C	SGD	S000002769	BCP1	locus_exact
YDR362C	SGD	S000002770	TFC6	locus_exact
YDR365C	SGD	S000002773	ESF1	locus_exact
YDR367W	SGD	S000002775	KEI1	locus_exact
YDR373W	SGD	S000002781	FRQ1	locus_exact
YDR381W	SGD	S000002789	YRA1	locus_exact
YDR390C	SGD	S000002798	UBA2	locus_exact
YDR394W	SGD	S000002802	RPT3	locus_exact
YDR398W	SGD	S000002806	UTP5	locus_exact
YDR404C	SGD	S000002812	RPB7	locus_exact
YDR407C	SGD	S000002815	TRS120	locus_exact
YDR412W	SGD	S000002820	RRP17	locus_exact
YDR416W	SGD	S000002824	SYF1	locus_exact
YDR429C	SGD	S000002837	TIF35	locus_exact
YDR434W	SGD	S000002842	GPI17	locus_exact
YDR437W	SGD	S000002845	GPI19	locus_exact
YDR449C	SGD	S000002857	UTP6	locus_exact
YDR454C	SGD	S000002862	GUK1	locus_exact
YDR460W	SGD	S000002868	TFB3	locus_exact
YDR464W	SGD	S000002872	SPP41	locus_exact
YDR468C	SGD	S000002876	TLG1	locus_exact
YDR472W	SGD	S000002880	TRS31	locus_exact
YDR473C	SGD	S000002881	PRP3	locus_exact
YDR478W	SGD	S000002886	SNM1	locus_exact
YDR487C	SGD	S000002895	RIB3	locus_exact
YDR489W	SGD	S000002897	SLD5	locus_exact
YDR498C	SGD	S000002906	SEC20	locus_exact
YDR510W	SGD	S000002918	SMT3	locus_exact
YDR527W	SGD	S000002935	RBA50	locus_exact
