gene_id	source_ref_db	source_locus	source_gene	match_type
SPAC16A10.06c.1:pep	PomBase	SPAC16A10.06c	nse2	locus_exact
SPAC16C9.03.1:pep	PomBase	SPAC16C9.03	nmd3	locus_exact
SPAC16E8.02.1:pep	PomBase	SPAC16E8.02	mpo1	locus_exact
SPAC16E8.03.1:pep	PomBase	SPAC16E8.03	gna1	locus_exact
SPAC16E8.04c.1:pep	PomBase	SPAC16E8.04c	aro7	locus_exact
SPAC16E8.07c.1:pep	PomBase	SPAC16E8.07c	vph1	locus_exact
SPAC16E8.10c.1:pep	PomBase	SPAC16E8.10c	rsm7	locus_exact
SPAC16E8.11c.1:pep	PomBase	SPAC16E8.11c	tfb1	locus_exact
SPAC16E8.15.1:pep	PomBase	SPAC16E8.15	tif45	locus_exact
SPAC16E8.16.1:pep	PomBase	SPAC16E8.16	sua7	locus_exact
SPAC1751.02c.1:pep	PomBase	SPAC1751.02c	rsm19	locus_exact
SPAC1751.03.1:pep	PomBase	SPAC1751.03	tif313	locus_exact
SPAC1782.03.1:pep	PomBase	SPAC1782.03	saf3	locus_exact
SPAC1782.10c.1:pep	PomBase	SPAC1782.10c	nhp2	locus_exact
SPAC1783.03.1:pep	PomBase	SPAC1783.03	fta2	locus_exact
SPAC1786.03.1:pep	PomBase	SPAC1786.03	cut11	locus_exact
SPAC17A2.03c.1:pep	PomBase	SPAC17A2.03c	vma6	locus_exact
SPAC17A2.04c.1:pep	PomBase	SPAC17A2.04c	cns1	locus_exact
SPAC17A2.08c.1:pep	PomBase	SPAC17A2.08c	ntr2	locus_exact
SPAC17A5.03.1:pep	PomBase	SPAC17A5.03	rpl301	locus_exact
SPAC17A5.06.1:pep	PomBase	SPAC17A5.06	ptr8	locus_exact
SPAC17A5.07c.1:pep	PomBase	SPAC17A5.07c	ulp2	locus_exact
SPAC17A5.12.1:pep	PomBase	SPAC17A5.12	ucp7	locus_exact
SPAC17A5.13.1:pep	PomBase	SPAC17A5.13	fol2	locus_exact
SPAC17A5.15c.1:pep	PomBase	SPAC17A5.15c	gus1	locus_exact
SPAC17C9.01c.1:pep	PomBase	SPAC17C9.01c	nuc2	locus_exact
SPAC17C9.02c.1:pep	PomBase	SPAC17C9.02c	lys7	locus_exact
SPAC17C9.03.1:pep	PomBase	SPAC17C9.03	tif471	locus_exact
SPAC17C9.06.1:pep	PomBase	SPAC17C9.06	sam50	locus_exact
SPAC17C9.13c.1:pep	PomBase	SPAC17C9.13c	cut8	locus_exact
SPAC17D4.02.1:pep	PomBase	SPAC17D4.02	cdc45	locus_exact
SPAC17G6.07c.1:pep	PomBase	SPAC17G6.07c	use1	locus_exact
SPAC17G6.09.1:pep	PomBase	SPAC17G6.09	sec62	locus_exact
SPAC17G6.10.1:pep	PomBase	SPAC17G6.10	ssr1	locus_exact
SPAC17G6.11c.1:pep	PomBase	SPAC17G6.11c	SPAC17G6.11c	locus_exact
SPAC17G6.12.1:pep	PomBase	SPAC17G6.12	cul1	locus_exact
SPAC17G6.14c.1:pep	PomBase	SPAC17G6.14c	uap56	locus_exact
SPAC17G6.16c.1:pep	PomBase	SPAC17G6.16c	ysh1	locus_exact
SPAC17G8.01c.1:pep	PomBase	SPAC17G8.01c	trl1	locus_exact
SPAC17G8.02.1:pep	PomBase	SPAC17G8.02	urh2	locus_exact
SPAC17G8.03c.1:pep	PomBase	SPAC17G8.03c	bur6	locus_exact
SPAC17G8.04c.1:pep	PomBase	SPAC17G8.04c	arc5	locus_exact
SPAC17G8.12.1:pep	PomBase	SPAC17G8.12	sec3	locus_exact
SPAC17H9.02.1:pep	PomBase	SPAC17H9.02	mtl1	locus_exact
SPAC17H9.05.1:pep	PomBase	SPAC17H9.05	ebp2	locus_exact
SPAC17H9.07.1:pep	PomBase	SPAC17H9.07	srp21	locus_exact
SPAC17H9.16.1:pep	PomBase	SPAC17H9.16	tom22	locus_exact
SPAC17H9.17c.1:pep	PomBase	SPAC17H9.17c	mdm10	locus_exact
SPAC17H9.20.1:pep	PomBase	SPAC17H9.20	psc3	locus_exact
SPAC1805.17.1:pep	PomBase	SPAC1805.17	crm1	locus_exact
SPAC1834.01.1:pep	PomBase	SPAC1834.01	erf1	locus_exact
SPAC1834.02.1:pep	PomBase	SPAC1834.02	aro1	locus_exact
