raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
4932.YLR240W	74	S000004230(SGD_ID); S000004230(UniProt_DR_SGD)	S000004230	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB
4932.YLR241W	35	S000004231(SGD_ID); S000004231(UniProt_DR_SGD)	S000004231	mapped	alias_match	Ensembl_UniProt; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
4932.YLR242C	39	S000004232(SGD_ID); S000004232(UniProt_DR_SGD)	S000004232	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR243W	36	S000004233(SGD_ID); S000004233(UniProt_DR_SGD)	S000004233	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
4932.YLR244C	46	S000004234(SGD_ID); S000004234(UniProt_DR_SGD)	S000004234	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR245C	45			unmapped		Ensembl_PDB; UniProt_DR_PDB; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING
4932.YLR246W	41	S000004236(SGD_ID); S000004236(UniProt_DR_SGD)	S000004236	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR247C	41	S000004237(SGD_ID); S000004237(UniProt_DR_SGD)	S000004237	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; KEGG_EC; Ensembl_STRING; Ensembl_EntrezGene
4932.YLR248W	53	S000004238(SGD_ID); S000004238(UniProt_DR_SGD)	S000004238	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID
4932.YLR249W	64	S000004239(SGD_ID); S000004239(UniProt_DR_SGD)	S000004239	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR250W	37	S000004240(SGD_ID); S000004240(UniProt_DR_SGD)	S000004240	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR251W	37	S000004241(SGD_ID); S000004241(UniProt_DR_SGD)	S000004241	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR252W	15			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
